Open,High,Low,Close,Volume,Change
61200,61400,60600,60700,110824,-0.006546644844517169
61200,61300,60500,60900,145040,0.0032948929159801743
60600,60700,60000,60200,263878,-0.011494252873563204
60400,61100,60300,60400,212691,0.0033222591362125353
60800,60800,60200,60400,176256,0.0
60300,60700,59800,60200,151354,-0.0033112582781457123
60200,60300,59100,59500,167032,-0.011627906976744207
59500,59900,59200,59800,120704,0.005042016806722671
59500,61000,59500,60900,154602,0.018394648829431537
61100,61700,59800,59800,412036,-0.01806239737274218
60300,62000,60200,61700,374254,0.03177257525083621
62300,62300,60700,61400,195005,-0.004862236628849326
61600,61800,60800,61500,182617,0.0016286644951140072
61200,61800,61100,61600,132550,0.001626016260162677
61400,61900,61000,61800,181973,0.0032467532467532756
61900,62300,61600,62100,142386,0.004854368932038833
62100,62700,62100,62400,201535,0.004830917874396157
61800,62100,60700,61800,148029,-0.009615384615384581
61800,62200,61300,62200,117338,0.006472491909385036
62100,62700,61700,62500,149590,0.004823151125401992
61700,62300,60800,61300,209182,-0.019199999999999995
61400,62400,61400,62000,228148,0.011419249592169667
62200,62400,61700,62200,137212,0.003225806451612856
62200,62400,61400,61800,119855,-0.006430868167202619
61900,62600,61800,62300,141731,0.008090614886731462
62400,65600,61800,65300,423317,0.04815409309791341
65500,65500,63900,64000,188144,-0.019908116385911168
64100,65400,64100,64800,225921,0.012499999999999956
64900,67100,64800,66800,272247,0.030864197530864113
66500,66900,65300,66800,213971,0.0
66000,66400,64700,65700,176647,-0.01646706586826352
65300,65700,63600,63600,167866,-0.03196347031963476
64600,64800,63800,64600,125024,0.01572327044025168
64600,66500,64000,65800,187314,0.018575851393188847
65900,66400,65000,66300,186365,0.0075987841945288626
66000,66700,65800,66500,111904,0.003016591251885359
66500,69400,66500,67600,349730,0.016541353383458635
67100,68900,66700,68700,216134,0.016272189349112454
68700,71500,68200,70700,366088,0.02911208151382816
70600,71200,68700,69400,228726,-0.018387553041018356
68700,69600,66500,69400,282001,0.0
68700,70600,68700,70000,169207,0.008645533141210304
69500,70200,67600,68000,188431,-0.02857142857142858
67600,68900,66900,67500,222661,-0.007352941176470562
66800,67100,64200,66600,276021,-0.013333333333333308
66300,67100,63900,63900,305362,-0.04054054054054057
63300,64600,62500,63600,286967,-0.0046948356807511304
62900,63400,62100,63300,239919,-0.004716981132075526
63300,63700,61700,62300,186756,-0.01579778830963663
62500,63600,62200,62500,171499,0.0032102728731941976
