Open,High,Low,Close,Volume,Change
51954,53686,51305,52821,52944,0.03390162265849783
53253,53253,51737,52604,15500,-0.0041082145358853905
52604,52819,51521,52388,22817,-0.004106151623450738
52604,52819,51305,52388,21552,0.0
51521,51954,50222,50872,23640,-0.028937924715583763
50006,51305,50006,50440,15892,-0.008491901242333677
49789,50006,47407,48708,65777,-0.034337827121332265
49140,49573,48057,48708,27540,0.0
48491,49573,48274,49141,31420,0.008889710109222237
49140,49573,48491,48491,34531,-0.013227244052827603
48491,50006,48491,49573,40641,0.022313418984966304
49356,50006,48491,49790,27808,0.004377382849535039
49573,49573,48491,48708,27737,-0.02173127133962638
48706,49356,48057,48924,14481,0.0044345898004434225
48706,49140,47192,48274,31516,-0.013285912844411718
48274,48923,47192,47842,30226,-0.00894891660106889
48274,48274,46542,46759,70361,-0.022637013502780023
45676,48274,44810,47625,75939,0.018520498727517598
47624,50006,47192,49357,54769,0.03636745406824149
48923,50222,48706,50006,35901,0.013149097392467057
49789,51088,49356,50656,40536,0.01299844018717744
51088,51521,50222,50656,33800,0.0
50655,52170,50222,51739,61627,0.02137950094756791
51521,52170,50438,50872,66344,-0.0167571851021473
50872,50872,50006,50656,262829,-0.0042459506211668385
50655,53686,50222,53470,113420,0.05555116866708776
53036,53469,51521,52171,50990,-0.024293996633626302
52604,52604,51088,52171,28881,0.0
51305,51737,50438,51305,57083,-0.01659926012535695
50872,51305,49789,50656,36782,-0.01264983919695939
50222,50655,48491,50006,41111,-0.012831648768161674
49789,50006,48706,49790,31107,-0.0043194816622005305
49789,50438,48706,50006,30242,0.004338220526210135
49356,49789,48706,49141,29857,-0.017297924249090157
49140,50655,48491,50006,35407,0.017602409393378204
50006,51521,49356,51305,59300,0.025976882774067178
51521,51954,51088,51955,59204,0.012669330474612606
51954,52604,51305,52604,58743,0.012491579251275198
53036,56067,52170,55418,201675,0.05349403087217697
55634,56717,53686,54120,159129,-0.02342199285430724
54118,54768,52387,53254,96156,-0.01600147819660014
53469,56284,53469,55635,104929,0.04471025650655358
56067,56067,53902,54120,48622,-0.02723105958479377
53036,54118,52170,53470,38412,-0.012010347376200992
51521,52387,50438,52388,55796,-0.020235646156723353
53469,53686,48923,50223,40724,-0.04132625792166145
50438,50872,48923,49790,60700,-0.008621547896382142
45893,46109,41476,41694,547501,-0.1626029323157261
41995,42732,41216,42516,112411,0.01971506691610303
42948,42991,41476,42430,63668,-0.002022767899143907
41346,41909,41044,41261,81136,-0.02755126090030635
41173,42083,41173,41391,38675,0.00315067497152266
41520,41909,41476,41520,33459,0.0031166195549756637
41346,43944,41346,43512,132454,0.04797687861271682
43079,43944,41866,42819,50400,-0.015926640926640978
42862,42991,41476,41780,124704,-0.024264929120250356
41995,41995,41130,41261,53075,-0.012422211584490195
41606,41606,40177,40352,82488,-0.02203048883933978
40351,40653,38575,39183,90630,-0.028970063441712934
39009,39442,37667,37841,109027,-0.03424954699742233
37839,38099,36757,37148,79412,-0.018313469517190373
37320,37882,36324,36585,83996,-0.015155593840852855
36584,36930,36151,36628,45727,0.0011753450867841853
36411,37147,36237,36974,51801,0.009446325215682005
37017,38056,36974,37104,51776,0.0035159842051171175
37753,37926,37277,37927,40773,0.02218089693833547
37579,38272,37233,38273,48098,0.009122788514778435
37882,37970,35588,35892,161493,-0.062210958116687975
35848,36540,35198,36195,39970,0.008441992644600438
36194,36497,35372,35806,62762,-0.010747340792927162
36064,36064,35415,35460,31993,-0.009663184941071323
35242,35718,34333,34810,136606,-0.018330513254371072
35112,35415,34462,35069,47564,0.0074403906923297125
35069,35285,34246,34290,66519,-0.022213350822663847
33640,33856,32860,33078,100717,-0.03534558180227476
32687,34505,32687,34247,48084,0.035340709837354156
34636,37147,34636,36585,124122,0.06826875346745709
36584,37450,35501,36152,64527,-0.011835451687850163
35544,36497,35329,35589,34747,-0.01557313564947993
35935,35935,35198,35719,20607,0.003652814071763766
35718,35978,34679,35026,27989,-0.019401439010050647
34549,35069,34462,34550,35372,-0.013589904642265727
34765,34765,33120,33641,55317,-0.02630969609261935
33770,34073,33423,33901,34472,0.007728664427335774
33900,34116,33337,33381,37705,-0.015338780566944932
33423,33986,32817,32861,53170,-0.015577723854887537
32860,32947,32038,32212,48805,-0.01974985545175134
32384,33640,32255,33425,43281,0.037656773873090854
33466,34030,33163,33987,38251,0.01681376215407626
34073,34333,33640,34074,17291,0.0025598022773414275
34290,34376,33553,33727,14874,-0.010183717790690827
33770,33770,33207,33251,15455,-0.014113321671064716
33726,33856,33207,33511,23457,0.007819313704851005
33597,37103,33510,36714,176105,0.09558055563844703
37407,38965,37277,37797,178178,0.029498284033338873
39831,40177,37103,37797,247467,0.0
38142,39528,37103,38317,155153,0.013757705638013595
38099,38922,37536,38187,103368,-0.003392749954328367
38229,39268,37320,37450,121789,-0.01929976169900749
37667,37839,35458,35460,195313,-0.05313751668891853
36151,42429,36108,40698,376372,0.14771573604060917
42212,44377,41433,42993,393535,0.0563909774436091
39961,41995,39874,40265,281557,-0.06345218989137769
40307,44594,39355,43296,282238,0.0752762945486154
42862,43728,40653,41174,164243,-0.0490114560236512
41173,41390,38706,40265,156984,-0.022077038908048796
41346,41390,39182,39573,95262,-0.017186141810505373
39398,40653,38532,40655,103956,0.0273418745103986
42429,45676,41173,44595,281799,0.0969130488254828
45676,47841,43728,45028,269850,0.009709608700527061
42429,43728,40134,40135,276120,-0.10866571910811051
40264,42515,39614,40568,179850,0.010788588513765962
40741,41000,39182,40352,131992,-0.0053243936107276735
39874,39961,39095,39183,87298,-0.028970063441712934
38965,39095,37882,38057,115273,-0.028736952249700076
38663,38878,36843,37061,80042,-0.026171269411671916
33380,35978,33380,35675,245383,-0.03739780362105716
38316,45243,38316,42213,474283,0.1832655921513664
41995,42083,39138,39313,175664,-0.06869921588136352
39571,41520,38272,41261,164994,0.049551039096482175
40697,41087,39614,39745,97544,-0.03674171736021914
40048,40048,38532,38533,98303,-0.03049440181154861
39874,39874,37536,38317,104204,-0.005605584823398124
38402,39312,37450,39139,65677,0.021452618941983914
39138,39312,38186,38706,63774,-0.011063133958455706
38489,38532,37233,37234,71859,-0.038030279543223244
37536,38532,37103,38533,71340,0.03488746844282109
38359,38532,36454,36801,111348,-0.04494848571354426
35978,36237,34246,34247,124349,-0.06940028803565124
34246,35501,33683,33987,70839,-0.007591905860367287
33900,34679,33900,34204,61452,0.006384794186012233
33856,34593,32601,32732,61908,-0.04303590223365683
32384,33163,32384,33034,50760,0.009226445069045575
33034,33380,31735,31822,62362,-0.036689471453653866
31865,32167,30132,31606,133276,-0.006787756897743691
31821,32341,31388,31562,27553,-0.0013921407327722735
31518,32687,30999,31302,27537,-0.008237754261453678
31562,31562,30176,30220,45157,-0.034566481374991964
29786,30652,29484,29484,52949,-0.024354731965585685
29657,30566,29440,30307,66129,0.027913444580111246
30306,30392,28098,28229,73266,-0.06856501798264425
28531,28618,27102,27449,68523,-0.02763115944595984
27146,27968,26626,27103,46062,-0.012605195089074317
27015,27318,26063,26627,67453,-0.017562631443013732
26843,28271,26756,28013,46822,0.05205242798663012
27795,27795,25804,26497,112583,-0.05411773105343942
26539,27492,26409,26540,39152,0.001622825225497282
26323,26583,25890,26454,51577,-0.0032403918613413962
26323,26453,25284,25371,131622,-0.04093898843275123
25414,25544,25024,25415,95008,0.001734263529226343
25544,26107,25457,25631,50681,0.008498917961833552
25976,26843,25673,25934,72155,0.0118216222543015
26150,26236,25111,25371,36603,-0.021708953497339367
25370,25544,24808,25111,30852,-0.010247920854518977
24851,25197,24591,24895,26600,-0.008601807972601683
24937,25284,24245,24332,35352,-0.022614982928298888
24028,25933,24028,25631,51735,0.05338648693079073
