Date,Open,High,Low,Close,Volume,Change
2017-12-01,5800,5820,5500,5530,2380521,-0.05470085470085473
2017-12-04,5560,5570,5370,5370,2271889,-0.02893309222423146
2017-12-05,5390,5400,5260,5260,3326196,-0.020484171322160183
2017-12-06,5290,5330,5210,5310,1607154,0.009505703422053147
2017-12-07,5300,5300,5180,5220,1726075,-0.016949152542372836
2017-12-08,5230,5290,5140,5170,1034967,-0.009578544061302652
2017-12-11,5170,5280,5160,5250,660458,0.015473887814313247
2017-12-12,5230,5240,5120,5190,928514,-0.011428571428571455
2017-12-13,5200,5200,5100,5150,823412,-0.0077071290944122905
2017-12-14,5190,5190,5100,5130,565223,-0.003883495145631022
2017-12-15,5120,5280,5110,5240,987990,0.021442495126705596
2017-12-18,5240,5240,5120,5120,837715,-0.022900763358778664
2017-12-19,5110,5120,4995,5020,1257622,-0.01953125
2017-12-20,5000,5020,4925,4930,1170848,-0.017928286852589626
2017-12-21,4920,4925,4720,4725,1705382,-0.04158215010141986
2017-12-22,4670,4825,4610,4720,2074099,-0.0010582010582010914
2017-12-26,4720,4850,4710,4760,1158980,0.008474576271186418
2017-12-27,4800,5010,4780,4970,4053766,0.044117647058823595
2017-12-28,4970,5040,4955,5020,1371314,0.010060362173038184
2018-01-02,5110,5190,5000,5010,34200664,-0.0019920318725099584
2018-01-03,5030,5040,4730,4790,9789137,-0.043912175648702645
2018-01-04,4770,4770,4615,4625,7564802,-0.034446764091857984
2018-01-05,4635,4670,4550,4635,5455001,0.00216216216216214
2018-01-08,4680,4685,4500,4520,5185456,-0.02481121898597627
2018-01-09,4540,4545,4335,4425,8108948,-0.021017699115044253
2018-01-10,4405,4605,4345,4585,5714907,0.0361581920903955
2018-01-11,4575,4595,4480,4510,2256464,-0.016357688113413316
2018-01-12,4595,4665,4540,4660,3596327,0.03325942350332589
2018-01-15,4690,4770,4620,4665,2563452,0.0010729613733906351
2018-01-16,4620,4690,4590,4620,656211,-0.009646302250803873
2018-01-17,0,0,0,4620,0,0.0
2018-01-18,0,0,0,4620,0,0.0
2018-01-19,0,0,0,4620,0,0.0
2018-01-22,0,0,0,4620,0,0.0
2018-01-23,0,0,0,4620,0,0.0
2018-01-24,0,0,0,4620,0,0.0
2018-01-25,0,0,0,4620,0,0.0
2018-01-26,0,0,0,4620,0,0.0
2018-01-29,0,0,0,4620,0,0.0
2018-01-30,0,0,0,4620,0,0.0
2018-01-31,0,0,0,4620,0,0.0
2018-02-01,0,0,0,4620,0,0.0
2018-02-02,4780,5040,4745,4800,13958231,0.03896103896103886
2018-02-05,4730,4730,4500,4510,4672756,-0.060416666666666674
2018-02-06,4300,4350,4225,4350,4018346,-0.03547671840354771
2018-02-07,4400,4450,4235,4235,2396670,-0.02643678160919538
2018-02-08,4235,4300,4145,4200,2404295,-0.008264462809917328
2018-02-09,4070,4095,4010,4040,2873330,-0.03809523809523807
2018-02-12,4115,4160,4005,4080,2662687,0.00990099009900991
2018-02-13,4100,4270,4070,4155,2145965,0.018382352941176405
2018-02-14,4135,4365,4130,4300,2208771,0.03489771359807459
2018-02-19,4350,4485,4325,4470,2288209,0.03953488372093017
2018-02-20,4450,4545,4345,4365,1927429,-0.023489932885906062
2018-02-21,4350,4435,4350,4390,923917,0.00572737686139746
2018-02-22,4390,4390,4260,4280,1251889,-0.02505694760820043
2018-02-23,4280,4370,4180,4365,1235911,0.01985981308411211
2018-02-26,4420,4455,4360,4370,1154044,0.001145475372279492
2018-02-27,4425,4425,4300,4300,857599,-0.016018306636155555
2018-02-28,4315,4365,4245,4365,761695,0.015116279069767424
2018-03-02,4300,4305,4210,4215,1309044,-0.03436426116838487
2018-03-05,4240,4370,4160,4235,1441272,0.004744958481613271
2018-03-06,4275,4360,4220,4355,1487589,0.02833530106257376
2018-03-07,4655,4690,4375,4390,6103146,0.008036739380022917
2018-03-08,4395,4415,4240,4275,2204603,-0.026195899772209597
2018-03-09,4350,4535,4290,4380,7678223,0.024561403508772006
2018-03-12,4445,4475,4315,4380,2033013,0.0
2018-03-13,4380,4480,4355,4440,2233267,0.013698630136986356
2018-03-14,4400,4460,4340,4355,1576017,-0.019144144144144115
2018-03-15,4320,4330,4240,4305,1616676,-0.01148105625717566
2018-03-16,4310,4425,4300,4335,2884779,0.006968641114982521
2018-03-19,4340,4425,4265,4285,2651916,-0.011534025374855816
2018-03-20,4295,4415,4285,4390,1865037,0.02450408401400228
2018-03-21,4415,4460,4340,4380,2130948,-0.002277904328018221
2018-03-22,4370,4455,4370,4425,2156127,0.010273972602739656
2018-03-23,4360,4400,4250,4270,2357143,-0.03502824858757059
2018-03-26,4230,4335,4230,4310,1312871,0.00936768149882905
2018-03-27,4320,4440,4295,4435,1804840,0.029002320185614883
2018-03-28,4395,4485,4315,4320,3291904,-0.025930101465614475
2018-03-29,4300,4395,4300,4365,1327174,0.01041666666666674
2018-03-30,4405,4405,4335,4375,1044668,0.002290950744558984
2018-04-02,4375,4470,4375,4420,2311458,0.010285714285714231
2018-04-03,4375,4490,4370,4450,2583588,0.006787330316742057
2018-04-04,4470,4700,4405,4485,8690777,0.00786516853932584
2018-04-05,4530,5650,4510,5150,71697983,0.1482720178372352
2018-04-06,5300,5480,5010,5180,21018367,0.005825242718446644
2018-04-09,5180,5180,4850,4875,9478692,-0.05888030888030893
2018-04-10,4835,4840,4640,4690,8126863,-0.0379487179487179
2018-04-11,4805,4825,4715,4780,4805445,0.019189765458422103
2018-04-12,4805,4970,4775,4790,6367437,0.0020920502092049986
2018-04-13,4805,4825,4685,4740,3427677,-0.01043841336116913
2018-04-16,4715,4715,4535,4600,5261617,-0.029535864978902926
2018-04-17,4600,4675,4535,4575,3813199,-0.005434782608695676
2018-04-18,4620,4815,4600,4815,9082223,0.05245901639344264
2018-04-19,4900,5040,4850,4955,15809005,0.029075804776739433
2018-04-20,5020,5030,4805,4895,5667010,-0.012108980827447047
2018-04-23,5040,5340,4895,5190,28778966,0.06026557711950975
2018-04-24,5220,5220,4980,5040,7477743,-0.028901734104046284
2018-04-25,5000,5030,4880,4900,5041518,-0.02777777777777779
2018-04-26,4905,5340,4905,5280,17980456,0.07755102040816331
2018-04-27,5390,5420,5090,5260,15182607,-0.0037878787878787845
2018-04-30,5300,6540,5140,6070,69084199,0.1539923954372624
2018-05-02,6300,6620,5900,6100,31402922,0.0049423393739702615
2018-05-03,5930,5970,5680,5800,11688589,-0.049180327868852514
2018-05-04,5750,6080,5580,5910,10698098,0.018965517241379404
2018-05-08,5730,5910,5570,5570,7503974,-0.05752961082910324
2018-05-09,5600,5750,5300,5670,7859274,0.01795332136445249
2018-05-10,5750,5970,5670,5730,7128058,0.010582010582010692
2018-05-11,5730,5800,5570,5780,4691935,0.008726003490401313
2018-05-14,5950,6360,5890,6180,21392613,0.0692041522491349
2018-05-15,6260,6650,6060,6440,23600217,0.04207119741100329
2018-05-16,5900,6340,5900,6010,16784297,-0.06677018633540377
2018-05-17,5980,6230,5960,6050,8697091,0.006655574043261225
2018-05-18,6050,6100,5840,6000,5581805,-0.008264462809917328
2018-05-21,6000,6060,5900,6000,3168281,0.0
2018-05-23,5870,6060,5710,5980,4953512,-0.0033333333333332993
2018-05-24,6080,6090,5800,5870,3597501,-0.018394648829431426
2018-05-25,5220,5520,5190,5390,9794335,-0.08177172061328786
2018-05-28,6130,6840,6000,6600,46346415,0.22448979591836737
2018-05-29,6580,6580,6090,6140,15179916,-0.0696969696969697
2018-05-30,6140,6250,5960,6070,6670692,-0.01140065146579805
2018-05-31,6080,6150,5760,5910,7924579,-0.02635914332784184
2018-06-01,5910,5970,5650,5670,5524909,-0.040609137055837574
2018-06-04,5810,5890,5600,5730,3724556,0.010582010582010692
2018-06-05,5680,5810,5600,5810,2721019,0.013961605584642323
2018-06-07,5810,5830,5720,5740,2186421,-0.012048192771084376
2018-06-08,5770,5780,5580,5660,3001757,-0.013937282229965153
2018-06-11,5660,5800,5640,5780,2449969,0.021201413427561766
2018-06-12,5850,5860,5510,5620,4280194,-0.02768166089965396
2018-06-14,5430,5510,5250,5330,4592129,-0.051601423487544484
2018-06-15,5400,5660,5400,5470,3444263,0.026266416510319024
2018-06-18,5580,5720,5360,5450,3726123,-0.003656307129798919
2018-06-19,5450,5590,5150,5160,3188721,-0.053211009174311874
2018-06-20,5160,5390,5050,5390,2357346,0.04457364341085279
2018-06-21,5400,5410,5130,5160,1653062,-0.042671614100185495
2018-06-22,5200,5300,5130,5250,1725741,0.01744186046511631
2018-06-25,5280,5330,5150,5280,1311471,0.005714285714285783
2018-06-26,5200,5270,5110,5130,1602155,-0.02840909090909094
2018-06-27,5160,5180,4900,4930,3303044,-0.03898635477582846
2018-06-28,4860,5050,4825,4830,1625765,-0.020283975659229236
2018-06-29,4870,5030,4800,5030,1637367,0.04140786749482395
2018-07-02,5000,5010,4750,4750,1819063,-0.055666003976143186
2018-07-03,4755,4825,4660,4790,1429719,0.008421052631578885
2018-07-04,4755,4815,4705,4780,883069,-0.0020876826722338038
2018-07-05,4780,4780,4610,4670,1274748,-0.023012552301255207
2018-07-06,4675,4765,4600,4730,1421833,0.012847965738758127
2018-07-09,4600,4610,4475,4505,2153415,-0.04756871035940802
2018-07-10,4515,4610,4510,4580,1016145,0.01664816870144281
2018-07-11,4580,4645,4525,4610,1060545,0.0065502183406114245
2018-07-12,4635,4670,4555,4570,1051809,-0.008676789587852451
2018-07-13,4610,4635,4565,4625,1059279,0.012035010940919078
2018-07-16,4700,4700,4620,4625,626296,0.0
2018-07-17,4665,4825,4625,4695,1287547,0.015135135135135203
2018-07-18,4710,4710,4510,4545,1072354,-0.03194888178913735
2018-07-19,4545,4570,4465,4485,1046460,-0.01320132013201325
2018-07-20,4500,4510,4385,4460,1126187,-0.005574136008918651
2018-07-23,4450,4450,4265,4285,1346301,-0.039237668161434924
2018-07-24,4310,4495,4310,4445,1291982,0.037339556592765444
2018-07-25,4470,4510,4390,4410,862485,-0.007874015748031482
2018-07-26,4410,4630,4405,4590,1385551,0.04081632653061229
2018-07-27,4595,4610,4505,4580,675518,-0.002178649237472796
2018-07-30,4580,4805,4565,4805,2061287,0.04912663755458513
