Date,Open,High,Low,Close,Volume,Change
2017-12-01,59600,59800,58000,58300,926368,-0.026711185308848084
2017-12-04,59000,60000,58900,60000,927535,0.029159519725557415
2017-12-05,60100,60300,59700,59900,888643,-0.0016666666666667052
2017-12-06,60400,60400,59900,60200,835200,0.005008347245408995
2017-12-07,60200,60500,59200,59200,1336522,-0.01661129568106312
2017-12-08,59100,60100,59100,59500,831476,0.0050675675675675436
2017-12-11,59200,59700,59000,59000,765995,-0.008403361344537785
2017-12-12,59200,59400,58300,58300,1096411,-0.011864406779661052
2017-12-13,58000,60900,58000,60800,1319487,0.04288164665523153
2017-12-14,60800,63000,60500,61400,2709007,0.009868421052631637
2017-12-15,61600,62800,61400,62600,1321839,0.019543973941368087
2017-12-18,62200,62600,61700,62300,714933,-0.004792332268370614
2017-12-19,61900,63000,61800,62400,801714,0.0016051364365972098
2017-12-20,61900,63000,61000,62800,791993,0.0064102564102563875
2017-12-21,62900,63500,61800,61900,1016727,-0.014331210191082855
2017-12-22,62600,63300,62300,62300,667299,0.00646203554119551
2017-12-26,63000,64000,62400,63800,926002,0.024077046548956593
2017-12-27,62100,63100,61400,63000,720168,-0.01253918495297801
2017-12-28,63600,63600,62500,63400,617834,0.006349206349206327
2018-01-02,63900,63900,62400,63100,576658,-0.004731861198738141
2018-01-03,62100,63500,62100,63100,684227,0.0
2018-01-04,63400,63900,62800,63000,674521,-0.0015847860538826808
2018-01-05,63000,64400,63000,64100,718208,0.0174603174603174
2018-01-08,64500,67100,64300,66600,1044425,0.03900156006240252
2018-01-09,67400,67900,66400,67200,943705,0.009009009009008917
2018-01-10,67000,68100,66000,66000,899922,-0.017857142857142905
2018-01-11,67600,68100,66600,67700,1035915,0.025757575757575868
2018-01-12,69200,69200,67500,67700,926019,0.0
2018-01-15,67900,68900,67400,67600,740957,-0.001477104874446078
2018-01-16,67600,67900,65800,65800,992214,-0.026627218934911268
2018-01-17,66000,66600,65300,65400,1370204,-0.006079027355623046
