Date,Open,High,Low,Close,Volume,Change
2017-12-01,28606,28699,27359,27544,4988083,-0.035607996918875395
2017-12-04,27544,28422,27267,28330,4209243,0.0285361603252976
2017-12-05,28236,28467,27913,28283,2902599,-0.0016590187080832708
2017-12-06,28329,28560,27774,27821,3352856,-0.01633490082381639
2017-12-07,27682,27867,27312,27636,2867703,-0.006649653139714551
2017-12-08,27728,28098,27358,27405,2480140,-0.008358662613981771
2017-12-11,27451,27589,27220,27405,1578789,0.0
2017-12-12,27636,28237,27544,27729,2644084,0.011822660098522064
2017-12-13,27867,27913,27451,27590,2237229,-0.005012802481156875
2017-12-14,27774,28236,27543,27636,4398030,0.0016672707502718431
2017-12-15,27774,28098,27774,28098,2022780,0.016717325227963542
2017-12-18,27913,28144,27312,27451,2646545,-0.023026549932379514
2017-12-19,27451,27497,27174,27174,2580947,-0.010090707078066363
2017-12-20,27220,27544,26989,27313,1994913,0.005115183631412279
2017-12-21,27220,27498,27128,27267,1942210,-0.0016841796946508447
2017-12-22,27405,27867,27128,27729,2529037,0.016943558147210824
2017-12-26,27959,28329,27220,27220,5145463,-0.018356233546106937
2017-12-27,27590,27913,27451,27498,2337914,0.010213078618662719
2017-12-28,27728,27913,27451,27636,1731488,0.005018546803403856
2018-01-02,27774,27867,27405,27590,1892979,-0.0016644955854682175
2018-01-03,27682,28606,27589,28468,5106740,0.031823124320405904
2018-01-04,28653,28838,27913,27960,3484386,-0.017844597442742693
2018-01-05,28052,28144,27544,27729,2942929,-0.008261802575107335
2018-01-08,28051,28144,27682,27867,2342408,0.004976739153954357
2018-01-09,27913,28237,27636,27729,2906026,-0.00495209387447515
2018-01-10,27867,27913,27312,27544,2945780,-0.006671715532475031
2018-01-11,27543,27774,27405,27590,2114666,0.0016700551844321954
2018-01-12,27497,27543,26573,26758,5099659,-0.03015585357013406
2018-01-15,26665,26850,26295,26804,2973055,0.0017191120412587413
2018-01-16,26896,28745,26804,28653,8711182,0.06898224145649912
2018-01-17,28745,29299,28329,29115,6744685,0.016123966076850627
2018-01-18,29253,29484,28329,28468,4737196,-0.022222222222222254
2018-01-19,28468,28792,27913,28145,3052868,-0.011346072783476213
2018-01-22,28190,28699,27821,28422,3176257,0.009841890211405246
2018-01-23,27960,30224,27821,30086,10767898,0.058546196608261214
2018-01-24,30548,31148,30270,30733,8156097,0.021505018945689125
2018-01-25,30732,30870,30085,30455,3802291,-0.009045651254351972
2018-01-26,30455,30594,29716,30040,3476834,-0.013626662288622526
2018-01-29,30363,30871,30178,30548,2512375,0.016910785619174362
2018-01-30,30548,30640,29947,30086,2246679,-0.015123739688359339
2018-01-31,29993,30224,29484,29762,3170771,-0.010769128498304914
2018-02-01,29577,29623,29022,29254,3554350,-0.017068745380014794
2018-02-02,29253,29669,28791,29069,3021402,-0.006323921515006492
2018-02-05,28560,28884,28375,28422,2249071,-0.022257387595032485
2018-02-06,27497,28329,27497,28145,3251155,-0.009745971430581979
2018-02-07,28653,28699,27544,27544,2953193,-0.02135370403268788
2018-02-08,27682,28052,27590,27729,1742075,0.006716526285216462
2018-02-09,27266,28145,27128,27914,2607076,0.00667171553247492
2018-02-12,27913,28005,27451,27590,1413545,-0.011607078885147226
2018-02-13,27821,28930,27589,28237,3196927,0.023450525552736412
2018-02-14,28468,28699,27729,27914,1468514,-0.011438892233594178
2018-02-19,28421,28560,27866,28098,1606131,0.00659167442860209
2018-02-20,28098,28422,27913,28191,1163876,0.0033098441170189563
2018-02-21,28422,28699,28098,28422,1782734,0.00819410450143665
2018-02-22,28329,28561,27636,27914,1600262,-0.01787347829146435
2018-02-23,27914,28052,27636,27683,2032318,-0.008275417353299397
2018-02-26,27774,28005,27543,27636,1746078,-0.001697792869269965
2018-02-27,27867,28190,27590,27590,1737729,-0.0016644955854682175
2018-02-28,27497,27728,27497,27590,1341257,0.0
2018-03-02,27220,27313,26897,27036,2316389,-0.02007973903588256
2018-03-05,27081,27127,26573,26758,1469954,-0.010282586181387776
2018-03-06,26943,26989,26204,26389,3053706,-0.013790268330966415
2018-03-07,26388,26435,25557,25557,3332490,-0.031528288301943985
2018-03-08,25602,25926,25279,25926,2663530,0.014438314356145066
2018-03-09,25926,26157,25741,25788,2340691,-0.00532284193473731
2018-03-12,26065,26804,26019,26435,3517922,0.02508918876997046
2018-03-13,26435,26619,26203,26435,1665209,0.0
2018-03-14,26250,26296,25834,26019,2068368,-0.01573671269150745
2018-03-15,26064,26249,25879,25926,1704267,-0.003574311080364323
2018-03-16,26065,26111,25880,26065,1391250,0.0053614132531050185
2018-03-19,26018,26064,25649,25649,1884086,-0.015960099750623402
2018-03-20,25556,25603,25140,25372,2726578,-0.010799641311552088
2018-03-21,25371,25694,25279,25279,1821261,-0.003665457985180476
2018-03-22,25463,25602,24955,25094,2926507,-0.007318327465485219
2018-03-23,24632,24725,24124,24263,3026886,-0.03311548577349166
2018-03-26,24077,24493,23985,24170,2302880,-0.003832996744013495
2018-03-27,24031,24169,23476,23754,5040155,-0.017211419114604887
2018-03-28,23569,24124,23569,23893,2423343,0.005851646038562031
2018-03-29,23708,23893,23523,23893,1657872,0.0
2018-03-30,24262,24632,23938,24170,3016228,0.01159335370192105
2018-04-02,24077,24077,23569,23754,2168702,-0.017211419114604887
2018-04-03,23200,23569,23107,23385,2191748,-0.015534225814599623
2018-04-04,23292,23384,22691,22784,3511004,-0.025700235193500065
2018-04-05,22876,23384,22829,23061,1995151,0.012157654494381998
2018-04-06,22921,22921,22644,22737,1735247,-0.014049694289059445
2018-04-09,22876,23800,22876,23616,2722249,0.03865945375379343
2018-04-10,23292,23523,22922,23246,2353612,-0.015667344173441733
2018-04-11,23200,23200,22876,22969,1803263,-0.011916028564054049
2018-04-12,22876,23431,22830,23200,2236534,0.010057033392833814
2018-04-13,23476,23708,23014,23061,1231365,-0.00599137931034488
2018-04-16,23014,23292,22968,23061,909686,0.0
2018-04-17,23199,23938,23153,23800,2484530,0.032045444690169456
2018-04-18,24031,24216,23800,24078,2639946,0.011680672268907566
2018-04-19,24077,24124,23477,23477,2373243,-0.0249605448957555
2018-04-20,23384,23477,23107,23200,1623325,-0.011798781786429235
2018-04-23,23014,23246,22830,23015,1608436,-0.00797413793103452
2018-04-24,22922,23107,22783,22876,1357906,-0.00603953943080604
2018-04-25,22691,23245,22460,22830,2322009,-0.0020108410561286982
2018-04-26,22783,22829,21858,22090,4729288,-0.03241349102058699
2018-04-27,21997,22413,21997,22044,3274191,-0.0020823902218197743
2018-04-30,21998,21998,21351,21675,3074004,-0.016739248775176963
2018-05-02,21674,21997,21581,21628,2574672,-0.002168396770472869
2018-05-03,21674,21951,21581,21628,2482258,0.0
2018-05-04,21535,21628,20981,21120,3737180,-0.023488071019049372
2018-05-08,21027,21305,20611,20658,3641389,-0.021874999999999978
2018-05-09,20472,20888,20380,20796,2349087,0.0066802207377287814
2018-05-10,20750,21258,20565,20704,2310541,-0.0044239276783997195
2018-05-11,20842,21674,20796,21536,2534513,0.040185471406491535
2018-05-14,21628,22090,21443,21536,2139445,0.0
2018-05-15,21674,21905,21350,21397,1742428,-0.006454309063892993
2018-05-16,21258,21304,20888,21212,1500523,-0.008646071879235384
2018-05-17,21350,21581,21119,21212,1421531,0.0
2018-05-18,21074,21259,20796,21028,1659935,-0.008674335281915857
2018-05-21,21027,21073,20657,20796,1126617,-0.011032908502948469
2018-05-23,20657,21258,20657,20981,2202579,0.008895941527216733
2018-05-24,21027,21027,20657,20704,1171504,-0.013202421238263207
2018-05-25,20658,20750,20288,20381,1990033,-0.015600850077279738
2018-05-28,20426,20518,20056,20334,1726949,-0.0023060693783425457
