Date,Open,High,Low,Close,Volume,Change
2017-12-01,1208000,1217000,1186000,1209000,26975,0.03069053708439906
2017-12-04,1222000,1237000,1220000,1234000,38172,0.02067824648469818
2017-12-05,1235000,1235000,1221000,1226000,24264,-0.00648298217179899
2017-12-06,1235000,1235000,1212000,1227000,18240,0.0008156606851550396
2017-12-07,1230000,1233000,1180000,1180000,31064,-0.03830480847595763
2017-12-08,1190000,1205000,1173000,1188000,35861,0.006779661016949046
2017-12-11,1181000,1195000,1160000,1188000,25491,0.0
2017-12-12,1179000,1185000,1141000,1154000,32867,-0.028619528619528656
2017-12-13,1158000,1192000,1143000,1183000,31128,0.02512998266897748
2017-12-14,1196000,1230000,1183000,1202000,58582,0.01606086221470826
2017-12-15,1185000,1202000,1181000,1185000,34392,-0.014143094841930104
2017-12-18,1199000,1232000,1191000,1214000,19096,0.024472573839662504
2017-12-19,1227000,1227000,1185000,1198000,20664,-0.01317957166392092
2017-12-20,1196000,1214000,1160000,1198000,29273,0.0
2017-12-21,1188000,1206000,1180000,1187000,23757,-0.00918196994991649
2017-12-22,1194000,1194000,1161000,1178000,19657,-0.0075821398483572056
2017-12-26,1190000,1207000,1175000,1182000,20274,0.00339558573853993
2017-12-27,1182000,1183000,1158000,1174000,13404,-0.006768189509306244
2017-12-28,1190000,1199000,1176000,1189000,15075,0.0127768313458263
2018-01-02,1195000,1208000,1191000,1200000,14662,0.00925147182506314
2018-01-03,1175000,1199000,1175000,1188000,16103,-0.010000000000000009
2018-01-04,1199000,1199000,1164000,1167000,24714,-0.017676767676767624
2018-01-05,1174000,1184000,1153000,1158000,23314,-0.007712082262210762
2018-01-08,1168000,1172000,1155000,1164000,17562,0.005181347150259086
2018-01-09,1175000,1180000,1138000,1148000,39422,-0.013745704467353903
2018-01-10,1177000,1225000,1152000,1222000,53136,0.06445993031358888
2018-01-11,1234000,1264000,1225000,1250000,46073,0.022913256955810146
2018-01-12,1230000,1235000,1204000,1214000,19835,-0.028800000000000048
2018-01-15,1229000,1240000,1203000,1240000,20485,0.021416803953871577
2018-01-16,1226000,1258000,1220000,1233000,18665,-0.005645161290322553
2018-01-17,1216000,1249000,1216000,1233000,18751,0.0
2018-01-18,1233000,1244000,1215000,1222000,13504,-0.008921330089213253
2018-01-19,1215000,1251000,1212000,1244000,22142,0.018003273322422242
2018-01-22,1245000,1267000,1213000,1228000,26023,-0.012861736334405127
2018-01-23,1249000,1264000,1195000,1202000,56092,-0.021172638436482094
2018-01-24,1194000,1200000,1123000,1150000,140552,-0.043261231281197965
2018-01-25,1149000,1180000,1132000,1174000,60640,0.02086956521739136
2018-01-26,1157000,1184000,1157000,1174000,31248,0.0
2018-01-29,1174000,1184000,1160000,1170000,39237,-0.0034071550255536653
2018-01-30,1170000,1183000,1159000,1161000,34977,-0.007692307692307665
2018-01-31,1157000,1180000,1140000,1177000,39277,0.013781223083548566
2018-02-01,1180000,1189000,1165000,1188000,37644,0.009345794392523255
2018-02-02,1194000,1203000,1156000,1160000,51398,-0.023569023569023573
