Open,High,Low,Close,Volume,Change
14000,14000,13750,13850,1966568,0.0
13950,14550,13900,14200,4286125,0.025270758122743597
14450,14950,14350,14850,3897750,0.045774647887323994
14950,14950,14400,14550,3344060,-0.02020202020202022
14500,15050,14300,14500,3275596,-0.0034364261168384758
14550,14600,13700,13700,3663185,-0.05517241379310345
13750,14100,13700,14100,1629088,0.029197080291970767
14100,14100,13700,13850,1193415,-0.01773049645390068
13900,14700,13750,14550,2563821,0.05054151624548742
14600,14900,14400,14400,2976747,-0.010309278350515427
14500,14900,14450,14600,1852639,0.01388888888888884
14650,14850,14200,14450,1265602,-0.010273972602739767
14350,14550,14050,14250,1318814,-0.01384083044982698
14100,14300,14000,14150,1531833,-0.007017543859649145
14150,14450,14050,14400,1208824,0.0176678445229681
14450,14550,14200,14400,1120026,0.0
14400,14650,14350,14450,1453424,0.003472222222222321
14200,14400,13800,14350,1197220,-0.00692041522491349
14300,14500,14000,14000,997478,-0.024390243902439046
14000,14200,13900,14050,1181090,0.0035714285714285587
14000,14300,13950,14200,1126109,0.01067615658362997
14150,14200,13900,13900,1451970,-0.021126760563380254
13850,14100,13750,14050,1168086,0.010791366906474753
14100,14150,13900,14050,850858,0.0
14000,15300,14000,15150,3807655,0.07829181494661919
15250,15300,14900,14900,2057762,-0.01650165016501648
15000,15250,14750,14800,1585626,-0.006711409395973145
14850,15000,14550,14950,1301406,0.010135135135135087
15000,15050,14600,14800,1452458,-0.010033444816053505
14850,14950,14700,14750,972712,-0.0033783783783783994
14650,14900,14300,14400,1802361,-0.023728813559321993
14600,15400,14550,15050,3853961,0.04513888888888884
15050,15700,14800,15600,2169214,0.03654485049833878
15500,15600,15150,15300,1676053,-0.019230769230769273
15400,15800,15200,15400,1654174,0.006535947712418277
15500,15700,15350,15350,1042037,-0.0032467532467532756
15250,15350,14800,14900,2505863,-0.02931596091205213
14850,15200,14800,15000,2003143,0.006711409395973256
15150,15150,14850,14900,1424122,-0.00666666666666671
14850,15050,14700,14700,1554217,-0.01342281879194629
14650,14850,14300,14300,2456882,-0.027210884353741527
14300,14500,14150,14300,2344652,0.0
14300,14550,14100,14450,1991942,0.010489510489510412
14200,14450,13850,13850,1707131,-0.04152249134948094
13400,13700,13250,13650,1938164,-0.014440433212996373
13800,13850,13050,13050,3427259,-0.04395604395604391
12900,13350,12900,13100,2031804,0.003831417624521105
12850,13450,12800,13050,2142420,-0.003816793893129722
13100,13150,12800,12950,1763392,-0.007662835249042099
13000,13150,12900,13000,1310260,0.0038610038610038533
13100,13350,12950,13100,1620359,0.007692307692307665
13300,13350,13150,13200,969919,0.007633587786259444
13200,13400,12950,13000,1007640,-0.015151515151515138
13000,13050,12800,12850,2340764,-0.011538461538461497
12850,12950,12550,12750,2430401,-0.0077821011673151474
12750,12850,12600,12750,1264479,0.0
12750,13000,12700,12950,1279290,0.015686274509803866
13050,13100,12900,12900,823047,-0.0038610038610038533
12850,13000,12550,12550,1873595,-0.027131782945736482
12500,12550,12300,12400,1171235,-0.01195219123505975
12400,12700,12400,12600,1026756,0.016129032258064502
12750,12900,12550,12650,1816835,0.003968253968253954
12600,12650,12300,12300,1504147,-0.02766798418972327
12350,12450,12150,12200,1342254,-0.008130081300813052
12300,12600,12150,12400,2107992,0.016393442622950838
12500,12750,12450,12600,1272395,0.016129032258064502
12600,12750,12500,12650,1525447,0.003968253968253954
12600,12650,12300,12300,1930724,-0.02766798418972327
12300,12550,12300,12450,1157715,0.012195121951219523
12450,13000,12400,12850,2580405,0.032128514056224855
12950,13100,12800,13050,1826578,0.015564202334630295
12950,12950,12650,12700,1753005,-0.026819923371647514
12750,13000,12700,12750,1452703,0.003937007874015741
12750,12850,12500,12600,1487710,-0.0117647058823529
12400,12550,12300,12400,1259756,-0.015873015873015928
12300,12400,12150,12300,1431532,-0.008064516129032251
12350,12550,12300,12400,1203295,0.008130081300812941
12350,12350,12200,12250,1158256,-0.012096774193548376
12200,12300,12150,12300,1405882,0.004081632653061273
12350,12350,12200,12250,1123032,-0.004065040650406471
12250,12400,12150,12250,1475552,0.0
12150,12500,12150,12450,1735224,0.01632653061224487
12500,12800,12350,12550,1841081,0.008032128514056325
12500,12600,12350,12450,1473911,-0.007968127490039834
12450,12500,12250,12400,1040190,-0.004016064257028162
12350,12700,12300,12650,1276623,0.02016129032258074
12600,12900,12600,12750,1461149,0.007905138339920903
12750,12950,12650,12750,1677631,0.0
12800,12850,12400,12450,1887798,-0.02352941176470591
12300,12400,11700,11900,4540918,-0.04417670682730923
11750,11950,11700,11900,1794178,0.0
11950,12050,11900,11950,1269286,0.004201680672268893
11900,12200,11900,12100,1555741,0.012552301255230214
12100,12200,11950,12000,981919,-0.008264462809917328
11950,12100,11850,12050,1007555,0.004166666666666652
12050,12150,11950,12100,720376,0.004149377593360981
12050,12250,12050,12150,755537,0.004132231404958775
12200,12250,12050,12250,884763,0.008230452674897082
12250,12250,12050,12100,899482,-0.01224489795918371
12050,12450,12050,12350,1281455,0.02066115702479343
12350,12400,12150,12300,1155074,-0.004048582995951455
12250,12650,12200,12500,1223893,0.016260162601626105
12550,12950,12450,12900,1630352,0.03200000000000003
12950,13050,12750,12850,1603899,-0.003875968992248069
13050,13200,12900,12900,2329882,0.0038910505836575737
12900,12950,12450,12650,1693945,-0.019379844961240345
12550,12900,12550,12900,1085282,0.01976284584980248
12850,12900,12700,12700,728027,-0.015503875968992276
12650,12850,12450,12600,1899078,-0.007874015748031482
12600,12850,12600,12750,901656,0.011904761904761862
12650,12750,12550,12700,779453,-0.0039215686274509665
12600,12650,12400,12500,1001032,-0.015748031496062964
12400,12800,12400,12700,978384,0.016000000000000014
12800,12900,12600,12750,725000,0.003937007874015741
12750,12800,12550,12700,1213269,-0.0039215686274509665
12650,12800,12500,12800,1090833,0.007874015748031482
12700,12750,12450,12700,1488625,-0.0078125
12700,12750,12500,12500,910437,-0.015748031496062964
12550,12600,12300,12300,1341565,-0.016000000000000014
12300,12400,12000,12050,1996025,-0.020325203252032575
12100,12150,11700,11700,2945461,-0.02904564315352698
11800,12050,11800,11900,1542521,0.017094017094017033
11950,12500,11950,12400,1710787,0.04201680672268915
12400,12800,12400,12500,2480314,0.008064516129032251
12500,12700,12450,12450,1210412,-0.0040000000000000036
