Open,High,Low,Close,Volume,Change
13800,13800,13550,13650,542697,0.003676470588235281
13700,13800,13600,13750,687799,0.0073260073260073
13750,14050,13650,14000,772413,0.018181818181818077
14000,14150,13800,13850,712598,-0.010714285714285676
13900,14050,13750,13750,635971,-0.0072202166064981865
13750,13900,13650,13700,430593,-0.0036363636363636598
13750,13900,13700,13900,321835,0.014598540145985384
13850,13900,13750,13800,459842,-0.007194244604316502
13800,14100,13800,14000,561260,0.01449275362318847
14050,14400,13950,14150,1348344,0.010714285714285676
14200,14400,14150,14250,751005,0.007067137809187329
14200,14200,13700,13900,1025673,-0.024561403508771895
13950,14150,13900,14150,1101936,0.017985611510791477
14050,14200,13900,14000,539318,-0.010600706713780883
13950,14000,13850,13900,692298,-0.0071428571428571175
13950,14050,13850,14000,644369,0.007194244604316502
14050,14350,14000,14250,1871148,0.017857142857142794
14100,14200,13750,13850,1261832,-0.028070175438596467
13800,13950,13800,13900,779225,0.0036101083032491488
13950,14050,13850,14000,546840,0.007194244604316502
13950,14050,13900,13950,644072,-0.0035714285714285587
14050,14050,13850,13950,583168,0.0
14000,14450,13950,14400,1498404,0.032258064516129004
14500,15300,14450,15250,3137590,0.05902777777777768
15200,15450,15000,15200,1634529,-0.003278688524590123
15150,15400,15000,15250,1210011,0.00328947368421062
15200,15300,14950,15050,1140931,-0.013114754098360604
15200,16250,15200,16000,3133270,0.06312292358803995
16400,16600,15850,15900,1988221,-0.006249999999999978
16000,16000,15500,15850,1422813,-0.0031446540880503138
15800,16000,15600,15800,986980,-0.003154574132492094
16050,16500,15750,15850,1765976,0.0031645569620253333
15800,15850,15600,15700,811410,-0.009463722397476393
15700,15850,15450,15850,950544,0.009554140127388644
15950,16900,15950,16850,2486622,0.06309148264984232
16800,17000,16700,16750,1457747,-0.005934718100890191
16750,17100,16700,16850,1001356,0.005970149253731405
16850,17050,16600,16950,1104809,0.005934718100890191
17150,17650,16950,17000,1936494,0.002949852507374562
16900,17400,16800,17000,1375803,0.0
16600,16900,16350,16800,1778884,-0.0117647058823529
16850,17200,16550,16800,963569,0.0
16850,16900,16000,16050,1861404,-0.044642857142857095
15700,15850,15350,15650,1477560,-0.024922118380062308
15000,15550,14800,15400,1921206,-0.015974440894568676
15800,15850,14950,15000,1279560,-0.025974025974025983
15100,15300,14950,15050,1308130,0.0033333333333334103
14450,14700,14350,14450,1644714,-0.039867109634551534
14650,15050,14500,14850,2064822,0.02768166089965396
15000,15100,14550,14600,1329819,-0.01683501683501687
14650,14800,14300,14650,1155478,0.003424657534246478
14950,15150,14750,14950,1469629,0.020477815699658786
14900,15000,14450,14550,858102,-0.026755852842809347
14550,14750,14350,14700,1080588,0.010309278350515427
14500,14650,14150,14250,1410622,-0.030612244897959218
14300,14700,14200,14700,1294946,0.03157894736842115
14900,14900,14450,14550,974305,-0.010204081632653073
14750,14850,14450,14500,640685,-0.0034364261168384758
14400,14500,14000,14300,1456567,-0.01379310344827589
13950,14400,13900,14250,913698,-0.0034965034965035446
14350,14350,13800,13800,797196,-0.03157894736842104
14050,14400,14000,14250,1082241,0.032608695652173836
14250,14400,13950,14000,867314,-0.01754385964912286
14100,14250,13950,14200,841307,0.014285714285714235
14350,15100,14300,14850,2670207,0.045774647887323994
15100,15200,14900,15000,1494659,0.010101010101010166
14900,14900,14550,14750,1242711,-0.01666666666666672
14600,14700,14400,14500,836924,-0.016949152542372836
14450,14550,14200,14450,660354,-0.0034482758620689724
14450,14800,14450,14800,842022,0.02422145328719716
14850,14850,14400,14450,766538,-0.023648648648648685
14300,14500,14150,14500,980463,0.0034602076124568004
14500,14550,14350,14400,451020,-0.006896551724137945
14450,15100,14450,14600,1647523,0.01388888888888884
14050,14200,13600,13650,2589159,-0.06506849315068497
13600,13950,13550,13900,848090,0.01831501831501825
14200,14250,13900,13900,989660,0.0
13700,13800,13450,13550,1071403,-0.025179856115107868
13600,14000,13450,13950,790007,0.029520295202952074
