Date,Open,High,Low,Close,Volume,Change
2017-12-01,120000,120500,118000,119000,198599,-0.004184100418409997
2017-12-04,119000,120000,118000,120000,151107,0.008403361344537785
2017-12-05,119500,124000,119000,123500,374065,0.029166666666666563
2017-12-06,123500,124000,121000,122000,200353,-0.012145748987854255
2017-12-07,122000,122000,118000,118500,295838,-0.02868852459016391
2017-12-08,119500,120000,118500,119000,153760,0.00421940928270037
2017-12-11,120000,120000,118000,119000,154955,0.0
2017-12-12,118500,119500,118000,119000,182470,0.0
2017-12-13,119000,122500,118500,122500,274165,0.02941176470588225
2017-12-14,123000,125000,121000,121000,462542,-0.01224489795918371
2017-12-15,122500,124000,121000,123500,344932,0.02066115702479343
2017-12-18,124500,124500,123000,124000,164064,0.004048582995951344
2017-12-19,124500,125000,123000,124000,217866,0.0
2017-12-20,124000,125000,123500,124500,185287,0.0040322580645162365
2017-12-21,124000,124500,123000,124000,269583,-0.004016064257028162
2017-12-22,124000,125000,124000,124500,248456,0.0040322580645162365
2017-12-26,125000,125500,123500,124500,781442,0.0
2017-12-27,120000,120500,116500,118000,626559,-0.052208835341365445
2017-12-28,118000,118000,116000,117000,328500,-0.008474576271186418
2018-01-02,117000,118000,116500,117000,158674,0.0
2018-01-03,116500,117000,112000,113500,468519,-0.02991452991452992
2018-01-04,114000,115000,112000,113500,328862,0.0
2018-01-05,113500,115000,112000,113000,313688,-0.004405286343612369
2018-01-08,113500,114000,110500,111500,386891,-0.013274336283185861
2018-01-09,111500,114000,111000,114000,350083,0.022421524663677195
2018-01-10,114000,118500,113000,117500,541025,0.030701754385964897
2018-01-11,117500,117500,114500,116000,428143,-0.012765957446808529
2018-01-12,117000,117500,112500,113500,263361,-0.02155172413793105
2018-01-15,114000,114500,113000,113000,127029,-0.004405286343612369
2018-01-16,113000,113000,111000,113000,232617,0.0
2018-01-17,112500,114000,111500,113500,242877,0.004424778761061843
2018-01-18,113500,113500,109500,110500,388720,-0.026431718061673992
2018-01-19,110500,113000,110000,113000,196625,0.02262443438914019
2018-01-22,115000,118000,114000,118000,587223,0.04424778761061954
2018-01-23,117500,119000,116500,118500,328391,0.004237288135593209
2018-01-24,119000,119000,117500,118000,174876,-0.00421940928270037
2018-01-25,118000,118500,116000,116500,248381,-0.012711864406779627
2018-01-26,116000,117000,114500,115500,199661,-0.008583690987124415
2018-01-29,116000,125000,116000,123500,875023,0.06926406926406936
2018-01-30,123500,126500,123500,125500,551811,0.0161943319838056
2018-01-31,124000,125500,121000,123000,339673,-0.019920318725099584
2018-02-01,123500,125500,123000,124000,256782,0.008130081300812941
2018-02-02,124000,124500,121500,123000,178606,-0.008064516129032251
2018-02-05,121500,126000,118500,121500,371059,-0.012195121951219523
2018-02-06,118500,120500,116000,119500,359685,-0.016460905349794275
2018-02-07,120500,121000,115500,115500,252434,-0.03347280334728031
2018-02-08,115000,118000,114000,116000,239097,0.0043290043290042934
2018-02-09,112000,114000,111500,113500,236028,-0.02155172413793105
2018-02-12,113500,115500,111000,115000,157272,0.013215859030837107
2018-02-13,115000,116500,113500,114500,152420,-0.004347826086956497
2018-02-14,114000,115000,112500,113000,162083,-0.013100436681222738
2018-02-19,115500,120000,115000,120000,228518,0.06194690265486735
2018-02-20,119500,120000,117500,119500,105273,-0.004166666666666652
2018-02-21,119500,121000,117500,119500,178765,0.0
2018-02-22,118000,118500,115000,116000,220677,-0.029288702928870314
2018-02-23,117500,119000,117000,119000,155372,0.02586206896551735
2018-02-26,121000,125000,120500,123500,330735,0.037815126050420256
2018-02-27,124500,125500,123000,123000,305912,-0.004048582995951455
2018-02-28,122500,126000,122000,123500,378059,0.004065040650406582
2018-03-02,123000,126500,121500,126000,401467,0.020242914979757165
2018-03-05,126500,127500,124500,124500,232262,-0.011904761904761862
2018-03-06,126500,126500,122000,123000,199055,-0.012048192771084376
2018-03-07,121500,123000,119000,122500,252697,-0.004065040650406471
2018-03-08,121000,122500,118000,121000,401198,-0.01224489795918371
2018-03-09,121000,123000,120500,122000,216283,0.008264462809917328
2018-03-12,124000,125500,123000,125000,167700,0.024590163934426146
2018-03-13,123500,125000,121500,123500,193839,-0.01200000000000001
2018-03-14,121500,124000,121500,123000,102259,-0.004048582995951455
2018-03-15,123500,123500,120500,120500,172934,-0.020325203252032575
2018-03-16,121000,122000,119500,119500,214924,-0.008298755186721962
2018-03-19,120500,121000,119000,120000,183017,0.004184100418409997
2018-03-20,119000,119500,116500,117000,320764,-0.025000000000000022
2018-03-21,117500,118000,115500,117500,244454,0.004273504273504258
2018-03-22,119000,119500,117500,119500,339469,0.017021276595744705
2018-03-23,116500,117500,116000,117000,211631,-0.02092050209205021
2018-03-26,116500,119500,115500,119000,223461,0.017094017094017033
2018-03-27,119500,119500,117000,118000,277401,-0.008403361344537785
2018-03-28,117000,118000,116000,117000,174225,-0.008474576271186418
2018-03-29,117500,119500,117000,119500,234713,0.02136752136752129
2018-03-30,121000,121000,119500,120000,148137,0.004184100418409997
2018-04-02,120500,123000,119500,121000,202265,0.008333333333333304
2018-04-03,120000,121000,119000,120000,120037,-0.008264462809917328
