Open,High,Low,Close,Volume,Change
292000,293500,287500,291500,88464,-0.001712328767123239
291500,298000,291000,297500,96630,0.020583190394511064
297000,300000,296000,298000,61929,0.001680672268907557
299000,299500,295000,296500,82969,-0.005033557046979831
296500,299000,295500,298500,101326,0.006745362563237878
298500,299500,294500,295500,80610,-0.01005025125628145
294000,295000,287000,288000,108283,-0.025380710659898442
288000,289000,282000,285500,94131,-0.00868055555555558
284000,288500,283500,286000,111223,0.0017513134851139256
289500,294000,287000,287000,240282,0.0034965034965035446
286500,287500,270000,284000,421115,-0.010452961672473893
283000,285500,277500,279500,101518,-0.015845070422535246
280000,283500,277000,278500,70559,-0.003577817531305927
278000,288000,277500,285000,140686,0.02333931777378817
282000,283500,276000,278500,112164,-0.02280701754385961
281000,281500,277500,278500,75010,0.0
281000,282000,277500,279500,135083,0.0035906642728904536
275000,279000,274000,279000,71390,-0.0017889087656529634
281000,284000,276000,283000,93028,0.014336917562723928
283000,284500,279000,283000,72788,0.0
277000,282000,277000,280000,85200,-0.010600706713780883
282000,284500,278000,281000,90041,0.0035714285714285587
281500,289000,279500,288500,106137,0.026690391459074814
291500,291500,284000,288500,92007,0.0
287500,297000,287000,291500,97786,0.010398613518197486
291000,295500,290000,291000,88898,-0.0017152658662092923
291500,292500,285500,285500,121745,-0.018900343642611728
287000,289500,283000,288500,92494,0.01050788091068311
287500,288500,284000,287000,64716,-0.005199306759098743
285500,291000,285000,290500,81662,0.012195121951219523
289500,292500,287500,288500,90848,-0.0068846815834767705
287500,298000,287000,296000,112308,0.025996533795493937
293000,297000,292500,295500,66906,-0.0016891891891891442
296000,297000,290500,296000,60116,0.0016920473773265332
296000,302500,294000,302500,120671,0.02195945945945943
301500,305000,300500,305000,87726,0.008264462809917328
306000,321500,305500,319500,210974,0.04754098360655745
318500,326000,318500,324000,148777,0.014084507042253502
327000,330500,321500,328500,128701,0.01388888888888884
331000,331000,320000,320500,130618,-0.0243531202435312
319000,321000,314000,318500,110463,-0.006240249609984372
315500,325000,315500,318500,94747,0.0
317000,320000,310000,313500,95989,-0.015698587127158548
313500,314000,304000,307500,110130,-0.019138755980861233
303000,307000,291500,299000,167513,-0.027642276422764178
301500,301500,287500,289000,124800,-0.03344481605351168
288000,298500,288000,294000,143887,0.01730103806228378
287000,292000,283500,287000,163039,-0.023809523809523836
288000,291000,285500,289000,76372,0.006968641114982521
289500,297500,288000,291000,92133,0.006920415224913601
291500,294000,288000,290500,72070,-0.0017182130584192379
296000,298000,292000,295000,57534,0.015490533562822817
292000,296500,291000,292000,61471,-0.01016949152542368
292000,292000,286500,288000,113556,-0.013698630136986356
285500,287000,280000,283000,91573,-0.01736111111111116
285500,292500,283500,291500,88827,0.030035335689045928
295000,295500,288000,290000,72541,-0.005145797598627766
291000,301500,290500,292500,134836,0.008620689655172376
291000,293500,284500,284500,177420,-0.027350427350427364
280000,282000,276500,279500,97152,-0.017574692442882234
279000,285000,277000,280000,56440,0.0017889087656528524
287500,300000,287000,295500,178629,0.05535714285714288
292000,298500,291500,293500,91451,-0.006768189509306244
293000,298000,291000,296000,110292,0.008517887563884052
296500,306000,294000,302000,99042,0.020270270270270174
304500,307500,301500,303000,80947,0.0033112582781456013
298000,309500,296000,307000,107671,0.013201320132013139
305000,312500,302500,312000,86395,0.016286644951140072
312000,312000,304000,306000,106887,-0.019230769230769273
306500,313500,305500,313500,138731,0.02450980392156854
313500,314000,307000,309500,67622,-0.012759170653907526
305000,310000,305000,310000,50449,0.001615508885298933
310500,311500,302000,308000,90224,-0.006451612903225823
306000,310000,303500,307000,80700,-0.0032467532467532756
300000,301000,292500,295500,111113,-0.037459283387622166
294500,297500,288500,296500,85904,0.0033840947546530664
300500,301500,295500,298000,66898,0.005059021922428242
295500,297000,291000,295000,60993,-0.010067114093959773
293000,298500,291000,298500,101072,0.011864406779660941
