Open,High,Low,Close,Volume,Change
82000,85000,73900,76000,8764092,
77900,80500,68000,68000,6863151,-0.10526315789473684
68400,69400,61900,62700,4481654,-0.07794117647058818
61900,72100,61500,68700,7312303,0.09569377990430628
67400,70200,65500,66000,3301896,-0.0393013100436681
64000,69300,63700,66000,11832989,0.0
66800,68200,65500,65600,2244270,-0.0060606060606061
66700,67800,64600,64600,2294736,-0.015243902439024404
64500,65100,62800,65100,3184427,0.007739938080495445
64100,64900,63200,63300,1443615,-0.027649769585253448
63300,64400,63000,63000,1178159,-0.004739336492891044
62600,62800,60600,60600,1917405,-0.03809523809523807
59500,60900,58000,58200,2260768,-0.03960396039603964
59000,59400,56100,56400,2564560,-0.030927835051546393
55800,59300,54700,57000,3344436,0.010638297872340496
56600,60100,55900,58400,2704260,0.024561403508772006
58800,61600,58200,60900,2579600,0.042808219178082085
61700,65900,61200,65700,4156492,0.07881773399014769
65400,65700,63700,64900,2251218,-0.0121765601217656
65100,67200,65100,65800,1920024,0.013867488443759735
66300,66600,64000,65200,1205094,-0.00911854103343468
65400,65400,63900,64800,1100056,-0.006134969325153339
65300,65800,64500,64500,986784,-0.00462962962962965
64800,68500,64800,66400,2543077,0.029457364341085368
66900,67300,65200,66500,1123222,0.001506024096385561
66800,70300,65900,70000,3183183,0.05263157894736836
69700,70500,67400,67600,2733991,-0.03428571428571425
65900,66300,61300,61700,3617004,-0.08727810650887569
62600,62600,59700,61000,2312174,-0.011345218800648316
60400,60800,57400,57500,2262799,-0.05737704918032782
58000,59500,56700,57200,1645760,-0.00521739130434784
57800,60900,57800,59400,2164247,0.03846153846153855
59500,59700,57800,58000,1094076,-0.023569023569023573
57000,59800,57000,59000,1422881,0.01724137931034475
58700,59700,58200,59300,915485,0.005084745762711895
59900,63900,59800,62900,2986345,0.06070826306914001
62200,63700,61000,62300,1539452,-0.009538950715421324
62600,63500,61500,62500,1170461,0.0032102728731941976
61800,62800,59900,60800,1728551,-0.027200000000000002
60100,60700,59100,59200,1084225,-0.02631578947368418
59500,59700,56600,56700,1874355,-0.042229729729729715
57300,58500,56700,57200,1164928,0.008818342151675429
57400,57700,54800,54800,1770666,-0.04195804195804198
55100,55300,51500,55000,2728488,0.0036496350364962904
56100,57000,55600,56200,1411048,0.021818181818181737
55600,57800,55300,56900,1314467,0.01245551601423478
57200,59000,55500,58200,1446356,0.02284710017574687
58500,59700,57400,58600,1209806,0.0068728522336769515
59300,60300,58600,59800,1110182,0.020477815699658786
