Date,Open,High,Low,Close,Volume,Change
2017-12-01,45894,46067,45290,45722,917963,0.003776070252469843
2017-12-04,46239,46584,45808,46499,1002681,0.016994007261274646
2017-12-05,46153,47706,46067,47534,1640449,0.022258543194477287
2017-12-06,47533,47965,47274,47534,1199324,0.0
2017-12-07,47447,48223,47188,47879,1328375,0.00725796272142043
2017-12-08,47620,48568,46584,46844,1509183,-0.02161699283610774
2017-12-11,46584,47533,46498,47361,732791,0.011036632226112175
2017-12-12,47361,47533,46498,46585,959392,-0.01638478917252595
2017-12-13,46498,48137,46326,47706,1018000,0.02406353976601916
2017-12-14,47620,48655,47102,47361,1806437,-0.007231794742799669
2017-12-15,47706,48310,47447,47793,815306,0.009121429023880356
2017-12-18,48137,48137,46671,47016,1148187,-0.01625761094720979
2017-12-19,47102,47533,46757,47102,597005,0.001829164539731254
2017-12-20,46843,47447,46843,46930,725302,-0.0036516496114814556
2017-12-21,46757,47361,46757,46930,839469,0.0
2017-12-22,47274,47620,46929,47275,658661,0.007351374387385423
2017-12-26,47447,48137,47274,47965,1088194,0.014595452141723975
2017-12-27,46584,46671,45894,46153,870176,-0.0377775461273846
2017-12-28,46326,46412,45808,46067,662371,-0.0018633674950707668
2018-01-02,46067,46498,45722,45808,488488,-0.005622245859291941
2018-01-03,45722,45980,45031,45205,1089909,-0.013163639538945171
2018-01-04,45290,45377,44686,44773,1193337,-0.009556464992810487
2018-01-05,44686,46326,44686,46153,1358218,0.030822147276260203
2018-01-08,46239,46239,45463,45895,654755,-0.0055901024852121894
2018-01-09,45894,47792,45722,47620,1527388,0.037585793659439926
2018-01-10,47361,47533,46153,46326,1315555,-0.027173456530869333
2018-01-11,46498,47102,46239,46326,1128058,0.0
2018-01-12,46153,46412,45894,46067,914329,-0.005590812934421319
2018-01-15,46067,46239,45549,45895,816640,-0.003733692230881158
2018-01-16,45894,46326,45635,45895,555703,0.0
2018-01-17,45894,47102,45894,45981,979104,0.0018738424664996867
2018-01-18,46757,48223,46153,47965,1676986,0.04314825688871493
2018-01-19,47706,48568,47102,48310,1090031,0.007192744709684229
2018-01-22,48310,48310,47274,47275,618791,-0.0214241357896916
2018-01-23,47620,48310,47188,47275,956059,0.0
2018-01-24,47274,47706,46843,47275,734622,0.0
2018-01-25,47016,47102,45808,45981,1575656,-0.02737176097303018
2018-01-26,45722,46326,45463,46153,857234,0.0037406754964006694
2018-01-29,46326,46757,45722,45808,1046892,-0.007475137044179125
2018-01-30,45722,46412,45722,46067,1062796,0.005654034229828797
2018-01-31,45894,46326,45031,45808,1175399,-0.005622245859291941
2018-02-01,45722,46067,45118,45118,986662,-0.015062871114215892
2018-02-02,45204,45635,45031,45205,824099,0.0019282769626314256
2018-02-05,45031,45377,44514,44859,931166,-0.007654020572945508
2018-02-06,44514,44514,43306,44083,1014818,-0.017298646871307888
2018-02-07,43737,43910,42443,42789,1890164,-0.029353719120749466
2018-02-08,42185,42789,41926,42099,1435640,-0.016125639767229916
2018-02-09,41408,42098,40804,41409,1376516,-0.016389938003278037
2018-02-12,41494,41667,40977,41409,875473,0.0
2018-02-13,41581,41840,40891,41495,1038199,0.0020768431983384517
2018-02-14,41840,42530,41581,42099,687646,0.014555970598867374
2018-02-19,42789,42789,41753,42013,586468,-0.002042803867075227
2018-02-20,42098,42616,42012,42271,605571,0.006140956370647155
2018-02-21,42702,42702,42098,42444,741450,0.004092640344444121
2018-02-22,42185,42271,41149,41409,1229886,-0.02438507209499574
2018-02-23,41408,41667,41236,41668,787938,0.006254678934531244
2018-02-26,41581,41667,41149,41322,928541,-0.008303734280503017
2018-02-27,41494,42012,41322,41581,879200,0.006267847635641921
2018-02-28,41494,41581,41149,41409,823102,-0.004136504653567741
2018-03-02,40891,40977,40114,40460,1022457,-0.022917723200270523
2018-03-05,40287,40804,40200,40374,570633,-0.0021255561047948124
2018-03-06,40546,40718,39769,40028,1482163,-0.008569871699608655
2018-03-07,39769,40373,39510,40028,914567,0.0
2018-03-08,40459,40459,39510,39597,1639301,-0.01076746277605678
2018-03-09,39769,40632,39769,40287,974172,0.017425562542616957
2018-03-12,40459,40977,40028,40719,962887,0.010723062029935226
2018-03-13,40373,40977,40200,40546,1301529,-0.004248630860286373
2018-03-14,40287,40459,39855,40115,929398,-0.010629901839885547
2018-03-15,40114,41063,39942,40805,922820,0.017200548423283113
2018-03-16,40891,41840,40891,41322,1248079,0.012670015929420408
2018-03-19,41322,41322,40718,41236,1119086,-0.0020812158172401896
2018-03-20,40804,40804,40028,40115,1311735,-0.027184983994567813
2018-03-21,39942,40373,39683,39683,1458811,-0.0107690390128381
2018-03-22,39769,40114,39683,39942,836427,0.006526724289998231
2018-03-23,39683,39769,39252,39425,1098592,-0.012943768464273142
2018-03-26,39252,39338,38648,39079,1068708,-0.00877615726062142
2018-03-27,39165,39769,38734,39338,785365,0.006627600501548203
2018-03-28,39079,39338,38648,39079,786472,-0.006583964614367832
2018-03-29,39165,39855,39079,39683,891418,0.01545587143990379
2018-03-30,39942,40546,39769,40287,888961,0.015220623440768133
2018-04-02,40287,40718,40200,40546,692747,0.006428872837391797
2018-04-03,40287,41149,40114,40891,1225887,0.008508854140975686
2018-04-04,40632,40891,40200,40460,930372,-0.010540216673595615
2018-04-05,40459,40718,40028,40201,917691,-0.006401384083045025
2018-04-06,40028,40373,39769,40115,796887,-0.0021392502674062452
2018-04-09,40028,40804,39942,40546,804706,0.01074411068178982
2018-04-10,40200,40373,39855,40115,1021993,-0.010629901839885547
2018-04-11,39855,40114,39769,39856,1113893,-0.006456437741493182
2018-04-12,39769,39942,39510,39511,1480674,-0.008656162183861893
2018-04-13,39079,39252,38303,38648,2542884,-0.02184201867834279
2018-04-16,38648,38906,38303,38907,996248,0.006701511074311828
2018-04-17,38648,38993,38303,38562,1012395,-0.008867298943634805
2018-04-18,38389,38734,38130,38303,1291907,-0.006716456615320832
2018-04-19,38303,38820,38216,38303,1205085,0.0
2018-04-20,38648,38993,38303,38821,967727,0.013523744876380528
2018-04-23,38906,39079,38648,38993,747912,0.004430591690064656
2018-04-24,39079,39079,38475,38562,873729,-0.01105326597081524
2018-04-25,38734,39252,38648,39079,857524,0.013406980965717574
2018-04-26,39079,39079,38303,38389,1233288,-0.017656541876711285
2018-04-27,38303,39079,38216,39079,1102568,0.017973898773085972
2018-04-30,39338,39424,38906,39425,832039,0.008853860129481417
2018-05-02,39424,39424,38993,39425,899886,0.0
2018-05-03,39252,40114,39165,39942,945436,0.01311350665821176
2018-05-04,39510,40114,39424,39770,1088374,-0.004306244053878139
2018-05-08,39510,39941,39252,39338,906945,-0.010862459140055347
2018-05-09,39165,39597,38734,38993,1671961,-0.008770145914891447
2018-05-10,39079,39079,38389,38389,1550114,-0.015489959736362913
2018-05-11,38475,38820,38389,38734,574424,0.008986949386543097
2018-05-14,38561,38648,37957,38131,1268411,-0.015567718283678422
2018-05-15,38044,38303,37785,38044,658082,-0.002281608140358271
2018-05-16,38044,38303,37957,38131,654581,0.0022868257806749615
2018-05-17,38216,38389,38044,38303,505499,0.0045107655188691975
2018-05-18,38303,38475,38130,38476,491299,0.004516617497323905
2018-05-21,38475,38561,38130,38389,423430,-0.0022611498076723358
2018-05-23,38561,38820,38389,38734,1528866,0.008986949386543097
2018-05-24,38734,38820,38389,38648,716626,-0.0022202715960137898
2018-05-25,38820,39338,38475,39252,1380254,0.015628234320016476
2018-05-28,39252,39252,38734,39252,548093,0.0
2018-05-29,39079,39338,38906,39252,512095,0.0
2018-05-30,38906,38906,38303,38476,1049466,-0.019769693264037547
2018-05-31,38389,38648,38130,38303,1197006,-0.004496309387670205
2018-06-01,38648,38648,38130,38303,491294,0.0
