Open,High,Low,Close,Volume,Change
487500,487500,479000,480000,42333,-0.01336073997944498
485000,486000,474500,479000,45131,-0.002083333333333326
477000,492000,477000,485000,47938,0.012526096033402823
488000,488000,470500,470500,50718,-0.02989690721649485
470500,471500,465000,470500,27261,0.0
469000,471500,464000,464000,34651,-0.01381509032943673
465000,469500,464500,469500,19796,0.0118534482758621
466000,471500,464000,470500,23330,0.0021299254526092604
470500,478500,470500,475000,24986,0.009564293304994642
476500,480500,475500,476000,46943,0.002105263157894832
481500,488000,477500,482000,40000,0.012605042016806678
480000,485000,478000,485000,23390,0.006224066390041472
483000,486500,479000,481500,24376,-0.007216494845360799
481500,492000,481500,490000,27140,0.017653167185877505
486500,492000,482000,487000,33988,-0.006122448979591799
490000,490000,481000,483000,22770,-0.008213552361396315
483000,493500,482500,489500,29658,0.013457556935817738
486000,490500,482000,489500,15947,0.0
493000,493000,487500,493000,12157,0.007150153217568844
495500,502000,495500,499500,25009,0.013184584178498993
475000,496500,475000,487500,32678,-0.024024024024024038
492000,492000,479000,481000,38146,-0.013333333333333308
484000,493000,479500,489500,37821,0.017671517671517645
488000,499500,485500,499000,33562,0.019407558733401498
499500,530000,499500,529000,86740,0.060120240480961984
531000,539000,522000,537000,58357,0.01512287334593565
539000,539000,518000,521000,35141,-0.029795158286778367
526000,533000,514000,526000,24087,0.009596928982725572
533000,534000,520000,521000,20071,-0.009505703422053258
521000,523000,516000,521000,25115,0.0
516000,521000,508000,516000,27694,-0.009596928982725572
513000,521000,506000,509000,23991,-0.013565891472868241
509000,515000,507000,515000,24513,0.011787819253438192
519000,520000,505000,511000,22887,-0.007766990291262155
514000,514000,506000,511000,29060,0.0
514000,522000,512000,519000,57960,0.015655577299412915
521000,529000,519000,522000,76937,0.005780346820809301
528000,530000,519000,523000,49055,0.0019157088122605526
526000,531000,522000,529000,43673,0.011472275334607929
533000,540000,526000,530000,48725,0.001890359168241984
528000,528000,504000,515000,42418,-0.028301886792452824
515000,527000,510000,514000,30671,-0.001941747572815511
512000,515000,492000,494500,54992,-0.037937743190661455
495000,498000,491000,496000,40744,0.0030333670374114163
490000,499500,482500,496000,52269,0.0
497000,513000,495500,495500,61067,-0.0010080645161290036
497000,507000,493500,499500,45812,0.008072653884964698
488500,495000,484000,491000,51916,-0.017017017017016967
491500,504000,484000,494000,46560,0.006109979633401208
495000,501000,493500,493500,29704,-0.0010121457489878916
495000,507000,494000,505000,40535,0.023302938196555267
509000,519000,506000,511000,36092,0.011881188118811892
506000,527000,505000,520000,48442,0.017612524461839474
520000,527000,510000,525000,46029,0.009615384615384581
517000,523000,511000,520000,31942,-0.00952380952380949
519000,527000,514000,518000,32328,-0.0038461538461538325
523000,523000,513000,516000,43728,-0.0038610038610038533
515000,524000,515000,517000,41083,0.0019379844961240345
514000,516000,505000,512000,33917,-0.009671179883945835
508000,508000,495500,501000,26741,-0.021484375
501000,508000,491500,491500,15622,-0.01896207584830334
494500,497000,483000,491500,34690,0.0
491500,510000,491500,507000,41164,0.03153611393692768
501000,507000,496000,500000,40975,-0.013806706114398382
500000,503000,495500,497500,28733,-0.0050000000000000044
500000,503000,495500,495500,28509,-0.004020100502512558
492000,493000,487500,489500,53167,-0.012108980827447047
486500,487500,482500,485500,45073,-0.008171603677221695
487500,487500,478500,484000,50644,-0.003089598352214229
482000,485500,478500,480000,47478,-0.008264462809917328
481000,487000,473500,476000,53219,-0.008333333333333304
476500,481000,476000,478000,21572,0.004201680672268893
476500,486500,476500,486500,36071,0.01778242677824271
485000,489000,482000,488500,29499,0.004110996916752319
482000,484500,474500,477000,30448,-0.023541453428863823
476000,480000,473000,475500,22825,-0.0031446540880503138
478000,484000,475500,483500,21788,0.016824395373291168
