Open,High,Low,Close,Volume,Change
89500,91000,87400,90900,182963,0.016778523489932917
91900,91900,89500,91000,102617,0.0011001100110010764
89800,92200,89800,90600,121383,-0.00439560439560438
90200,91600,87800,88000,158691,-0.028697571743929395
87200,87900,84900,86300,276269,-0.01931818181818179
86400,87900,84500,86200,155500,-0.0011587485515642815
85000,91700,85000,90200,235509,0.04640371229698381
90000,90000,87500,88300,97120,-0.02106430155210648
88000,89500,86900,89300,114141,0.011325028312570762
90700,94000,88400,93300,309565,0.044792833146696465
93500,94600,92000,93400,169314,0.001071811361200492
94000,96200,93000,93500,199528,0.0010706638115631772
96500,99800,95200,96100,283127,0.027807486631016065
96000,100000,95800,99700,229549,0.037460978147762836
99700,100000,95600,97200,133787,-0.025075225677031132
98600,98600,95300,96800,96153,-0.004115226337448541
95500,99400,95500,97000,106145,0.0020661157024792765
96300,98400,96300,97800,114791,0.008247422680412342
97100,101000,96900,99500,102501,0.017382413087934534
99400,104000,97500,103500,123963,0.04020100502512558
102500,104500,100500,103000,101127,-0.004830917874396157
105000,110000,103500,104500,253837,0.014563106796116498
104500,109000,103000,108500,136803,0.038277511961722466
108000,109000,103500,108500,146028,0.0
108000,108000,104000,106500,202816,-0.018433179723502335
105500,110000,104500,107000,173252,0.0046948356807512415
107500,108500,103500,108500,159353,0.014018691588784993
107000,108000,100000,103500,342417,-0.04608294930875578
103000,103000,99700,101000,287122,-0.024154589371980673
100500,103000,98500,101000,211072,0.0
101000,102000,99000,101500,114828,0.004950495049504955
101000,101500,99200,100000,267861,-0.014778325123152691
101000,107000,100500,106500,214735,0.06499999999999995
106000,111500,106000,107500,254863,0.009389671361502261
106000,107500,103000,105500,114805,-0.018604651162790753
105500,108500,104000,104500,113370,-0.009478672985781977
104500,106500,103000,104500,97338,0.0
104000,104500,102000,103500,98560,-0.009569377990430672
103500,109500,103500,106500,204327,0.02898550724637672
105000,106500,100000,101000,199610,-0.05164319248826288
99400,103500,98100,103000,216900,0.01980198019801982
102000,105500,102000,103000,167108,0.0
107500,111500,104000,106000,557289,0.029126213592232997
103500,106000,101500,102500,169171,-0.03301886792452835
99900,100500,94200,100000,362977,-0.024390243902439046
101000,102000,90100,90100,383269,-0.09899999999999998
91400,93500,89300,90000,237908,-0.0011098779134295356
87000,92800,86400,90500,263322,0.005555555555555536
90600,90700,84700,86800,454196,-0.04088397790055254
87600,91300,87200,89100,272219,0.026497695852534475
90700,92000,89000,91100,203130,0.022446689113355678
93000,95400,92200,95000,210828,0.04281009879253572
94200,94700,90600,90900,174649,-0.04315789473684206
91000,91400,89100,91200,152450,0.0033003300330032292
90000,91000,88500,88500,133667,-0.02960526315789469
89000,90200,88100,88600,189100,0.001129943502824915
89700,94900,89600,92800,271427,0.04740406320541757
93800,94400,92300,93300,182268,0.005387931034482651
91500,92900,89100,90600,195228,-0.02893890675241162
88500,90300,88100,89500,122346,-0.012141280353200834
89000,89400,83100,83500,358114,-0.06703910614525144
85200,86800,84700,86500,206358,0.03592814371257491
86500,90200,86200,88800,280289,0.026589595375722475
88800,94400,88800,91500,292139,0.030405405405405483
91900,94300,89000,90600,169048,-0.00983606557377048
92200,94500,91000,93500,157727,0.03200883002207511
95000,97400,94000,94700,160937,0.012834224598930577
94100,95600,92400,93300,104537,-0.014783526927138357
94600,95500,92400,95000,121568,0.018220793140407254
95800,95800,93600,93900,109641,-0.011578947368421022
93300,93900,89700,92000,180042,-0.020234291799786974
91500,93000,90200,91900,118016,-0.0010869565217391797
92000,99800,92000,97800,347310,0.06420021762785644
98800,101000,97300,99600,194829,0.018404907975460016
96000,98000,95400,95800,143696,-0.0381526104417671
96900,97900,93500,97800,144577,0.02087682672233826
98100,98800,95400,96100,112716,-0.017382413087934534
96900,97900,94700,96100,147104,0.0
95800,97100,95100,96800,68889,0.007284079084287187
96800,97200,94600,96400,73440,-0.004132231404958664
95700,98000,95300,95800,70001,-0.006224066390041472
95500,98700,94600,98300,93108,0.02609603340292277
97700,97800,92000,92200,172903,-0.06205493387589012
93100,96600,93100,95400,128663,0.03470715835141003
95000,95400,90500,91400,146214,-0.04192872117400415
91100,93700,91100,93500,106948,0.02297592997811826
93000,95300,92000,94800,73422,0.013903743315508033
