Open,High,Low,Close,Volume,Change
33650,33850,33000,33150,857798,-0.014858841010401136
33100,33150,32700,33100,585569,-0.0015082956259426794
33000,33950,33000,33750,782290,0.01963746223564944
33750,34400,33750,33900,931273,0.004444444444444473
33900,33950,33200,33250,978272,-0.019174041297935096
33200,33450,32600,33000,1038301,-0.007518796992481258
33000,33050,32000,32450,1407108,-0.01666666666666672
32050,32700,32050,32700,726255,0.007704160246533087
32700,33100,32450,33100,625442,0.012232415902140747
33150,33700,32500,32500,1356754,-0.01812688821752262
32950,33350,32800,33250,981550,0.023076923076922995
33300,33400,32800,33300,444833,0.0015037593984963404
33300,33350,32900,33150,623539,-0.0045045045045044585
33050,33500,33000,33300,729718,0.004524886877828038
33150,33250,32850,32900,640274,-0.012012012012011963
33250,33250,32800,33100,805051,0.006079027355623046
33100,33450,33050,33200,879607,0.0030211480362538623
32800,33350,32500,33350,662689,0.004518072289156683
33200,33500,32750,33500,643394,0.004497751124437732
33000,33100,32550,32800,972622,-0.020895522388059695
32450,32900,32450,32600,787854,-0.0060975609756097615
32500,32650,31550,31550,1657605,-0.03220858895705525
31550,32050,31400,31950,802986,0.01267828843106189
31900,32400,31850,32400,807776,0.014084507042253502
32200,32650,32200,32500,695703,0.0030864197530864335
32450,33150,32400,33050,1078128,0.01692307692307682
32950,33000,32450,32500,644852,-0.016641452344931973
32500,32600,32000,32100,846474,-0.012307692307692353
32000,32250,31700,32050,754784,-0.0015576323987538387
31950,32850,31950,32650,662985,0.018720748829953227
32600,33200,32600,32850,751898,0.006125574272588086
32850,33000,32600,32700,722094,-0.004566210045662156
32650,34250,32650,34050,1814883,0.041284403669724856
34000,34700,33600,33750,986254,-0.008810572687224627
33700,34300,33300,33800,1155073,0.001481481481481417
33600,33900,33500,33900,714997,0.002958579881656709
33900,34200,33400,33900,923134,0.0
33350,33550,32400,33500,1561669,-0.01179941002949858
33500,34000,33100,33900,975573,0.011940298507462588
33950,34450,33700,34200,1130200,0.008849557522123908
33900,34700,33250,34650,1682466,0.013157894736842035
34300,34650,34050,34350,991076,-0.008658008658008698
34450,35400,34400,35250,2782820,0.026200873362445476
35200,35800,34750,34950,1740812,-0.008510638297872353
34400,34850,33850,34400,1349706,-0.01573676680972813
34350,34650,33700,34050,1378801,-0.01017441860465118
34050,34550,33750,33900,1240162,-0.004405286343612369
33250,33500,32900,33050,1227493,-0.02507374631268433
33100,33300,32600,32850,1674127,-0.006051437216338829
32850,33100,32100,32100,1247887,-0.022831050228310557
32200,32650,32200,32600,697820,0.015576323987538832
32900,33300,32850,33100,691519,0.015337423312883347
33050,33250,32650,32800,727987,-0.009063444108761365
32800,34150,32500,33850,1160172,0.03201219512195119
33650,34150,33500,33650,821623,-0.005908419497784312
33900,34150,33450,34000,1023856,0.010401188707280795
34000,34400,33600,34200,723488,0.00588235294117645
34400,34800,34300,34450,890367,0.007309941520467822
34150,34750,34100,34350,1296410,-0.002902757619738794
33850,34000,33200,33500,986194,-0.024745269286754024
33150,33500,33150,33400,1032377,-0.0029850746268657025
33550,34000,33400,34000,954808,0.017964071856287456
33250,33500,32800,33100,1280357,-0.026470588235294135
32900,33300,32750,33300,1191978,0.0060422960725075026
32950,33200,32650,32900,1027323,-0.012012012012011963
32900,33100,32650,32850,845346,-0.001519756838905817
32800,32950,32400,32550,1137613,-0.0091324200913242
32400,32900,32150,32800,772435,0.007680491551459223
32600,32850,32200,32350,915217,-0.013719512195121908
32500,32800,32400,32550,957890,0.0061823802163833985
32350,32350,31350,31400,1730053,-0.03533026113671278
31450,32100,31100,31950,922985,0.01751592356687892
31700,32250,31700,31800,904997,-0.0046948356807511304
31700,32000,31500,31900,1021674,0.003144654088050425
31450,31550,31100,31300,1229184,-0.018808777429467072
31250,31650,30850,31450,1225570,0.004792332268370503
31350,32300,31350,31750,995268,0.009538950715421324
31700,33150,31600,33000,2116368,0.03937007874015741
33250,33300,31500,31850,1693857,-0.034848484848484795
31950,31950,30900,31000,1656357,-0.026687598116169498
31050,31350,30950,31200,877141,0.006451612903225712
31200,31900,31000,31750,4535459,0.017628205128205066
31900,32950,31900,32550,1562430,0.025196850393700787
32650,32850,31800,32350,921885,-0.006144393241167445
