Open,High,Low,Close,Volume,Change
170000,184000,170000,183000,617111,0.08284023668639051
183000,187000,181500,186000,331679,0.016393442622950838
184500,185000,178000,182500,297149,-0.018817204301075252
180000,187000,180000,183000,281721,0.00273972602739736
186500,186500,179000,182000,298715,-0.005464480874316946
182000,186000,181000,185500,332765,0.019230769230769162
186000,189500,186000,188000,369858,0.013477088948786964
188500,192500,187000,192500,357803,0.02393617021276606
191000,200000,191000,198500,703577,0.03116883116883118
199000,200000,193500,199500,1878360,0.005037783375314797
197500,197500,189500,191000,621734,-0.04260651629072687
190000,194000,188500,190500,321564,-0.002617801047120394
188000,192000,186500,188000,240933,-0.013123359580052507
187000,188000,180000,181000,390223,-0.037234042553191515
179500,181000,178000,178500,216249,-0.013812154696132617
180000,184500,178500,183000,230688,0.025210084033613356
183000,185500,181500,184500,232325,0.008196721311475308
185000,189500,182000,189500,185701,0.027100271002709952
190500,193500,186500,188500,147604,-0.00527704485488123
188500,191000,187000,188500,116732,0.0
184000,186000,180000,181000,339535,-0.03978779840848812
180000,180000,170500,171500,617781,-0.0524861878453039
171500,172000,165000,166500,548947,-0.029154518950437303
168500,169000,164000,165500,319328,-0.006006006006005982
166000,169500,165500,168500,282347,0.01812688821752273
169500,170000,165000,168000,277028,-0.0029673590504450953
168500,169000,165500,166000,256453,-0.011904761904761862
168000,169000,159500,161500,476619,-0.027108433734939763
164000,167000,162500,163500,275891,0.01238390092879249
163000,167000,162000,166500,192237,0.0183486238532109
165000,169000,163500,168500,235947,0.012012012012011963
166500,169000,166000,166500,236254,-0.011869436201780381
166000,170000,164500,167500,252453,0.006006006006006093
169500,169500,163000,164000,184331,-0.020895522388059695
163000,169000,163000,167500,198715,0.021341463414634054
166500,168500,165500,167500,139936,0.0
166000,169000,165000,165500,157691,-0.011940298507462699
165000,176000,165000,175500,635249,0.06042296072507547
175000,175000,171000,172000,238003,-0.019943019943019946
173000,175000,170000,170000,172204,-0.011627906976744207
169000,174500,168000,174000,200071,0.0235294117647058
173000,178000,172000,173500,174593,-0.002873563218390829
173000,174000,168500,169500,163586,-0.023054755043227626
165500,168000,160000,161000,257288,-0.05014749262536877
154500,157500,149500,153000,459578,-0.0496894409937888
153500,154000,140500,140500,1037686,-0.0816993464052288
140500,142000,136000,140500,392298,0.0
136000,139500,135000,136000,354694,-0.03202846975088969
137500,143500,137000,142500,274326,0.047794117647058876
145500,148000,143500,146000,472444,0.024561403508772006
146000,146500,141500,142500,258855,-0.023972602739726012
146500,148500,143500,147500,208728,0.03508771929824572
146500,148000,144000,144000,176958,-0.023728813559321993
143500,149500,142500,148500,188547,0.03125
147500,152500,146000,151500,231471,0.02020202020202011
151500,158000,151500,158000,262177,0.04290429042904287
159000,160000,155000,159000,244569,0.006329113924050667
157000,158500,155000,156000,202309,-0.018867924528301883
155000,155500,147000,147500,899146,-0.054487179487179516
145000,151500,144500,150000,178473,0.016949152542372836
147500,149000,142500,143000,270337,-0.046666666666666634
144000,146500,142500,144000,252933,0.006993006993007089
147000,148500,141500,142000,268632,-0.01388888888888884
142000,145500,141500,145000,272121,0.021126760563380254
148000,155000,146500,151500,459122,0.04482758620689653
152500,154500,150000,151500,231306,0.0
150500,152000,148000,148500,202796,-0.01980198019801982
147000,148500,144500,147000,129347,-0.010101010101010055
147500,148500,147000,147500,166750,0.00340136054421758
149500,152500,147500,149500,210624,0.013559322033898313
149500,150500,146000,146000,135759,-0.02341137123745818
144500,151000,144000,148000,185968,0.013698630136986356
148000,152000,148000,149000,171749,0.006756756756756799
149500,151500,147500,148000,93791,-0.006711409395973145
143500,146000,142500,143000,204733,-0.03378378378378377
142500,147000,141000,146000,210746,0.020979020979021046
147500,148000,145000,145500,187474,-0.003424657534246589
143500,147000,143500,145000,134381,-0.0034364261168384758
147000,147500,145000,147000,231934,0.01379310344827589
150000,160500,149500,153000,725123,0.04081632653061229
