Date,Open,High,Low,Close,Volume,Change
2017-12-01,20457,20489,19808,19939,659760,-0.019136166863439552
2017-12-04,19938,20198,19841,20133,417971,0.009729675510306457
2017-12-05,20198,21008,20100,20782,789985,0.03223563304028221
2017-12-06,20684,21300,20554,20587,1028565,-0.00938312000769892
2017-12-07,20910,21203,20522,20620,909709,0.0016029533200563328
2017-12-08,20651,20684,20035,20458,760954,-0.007856450048496555
2017-12-11,20522,20651,20198,20425,527607,-0.001613060905269359
2017-12-12,20360,20489,20035,20101,592898,-0.015862913096695186
2017-12-13,20295,21527,20262,21463,1669018,0.06775782299388089
2017-12-14,21462,22240,21332,21754,2075397,0.013558216465545447
2017-12-15,21948,22175,21591,21982,636315,0.01048083111151965
2017-12-18,22175,22175,21754,21851,462594,-0.005959421344736593
2017-12-19,21980,22370,21916,22273,698514,0.019312617271520782
2017-12-20,22304,22304,21786,21949,364621,-0.014546760651910406
2017-12-21,21948,21948,21300,21301,691072,-0.029522985101826937
2017-12-22,21332,21591,21170,21495,353054,0.009107553635979482
2017-12-26,21462,21851,21332,21722,517429,0.010560595487322688
2017-12-27,21591,21883,21397,21689,394608,-0.0015191971273363913
2017-12-28,21721,22078,21559,21949,405858,0.011987643505924739
2018-01-02,22110,23407,22110,23278,1360084,0.060549455556061726
2018-01-03,23309,23440,23050,23181,497403,-0.004167024658475849
2018-01-04,23018,23309,22629,22630,571308,-0.023769466373323
2018-01-05,22856,22856,22337,22630,489822,0.0
2018-01-08,22759,23440,22759,23408,841491,0.03437914273088816
2018-01-09,23342,23893,23116,23538,583993,0.005553656869446311
2018-01-10,23342,23440,23083,23181,590370,-0.015166964058118793
2018-01-11,23147,23504,22985,23311,769974,0.005608041068116076
2018-01-12,23309,23991,23278,23829,695593,0.022221268928831917
2018-01-15,23828,24541,23666,24381,939552,0.02316505098829147
2018-01-16,24541,24736,24120,24219,519667,-0.006644518272425293
2018-01-17,24250,24347,23699,24283,533348,0.0026425533671909918
2018-01-18,24412,24445,23504,23764,701894,-0.021372976979780134
2018-01-19,23796,24315,23699,23991,481361,0.009552263928631621
2018-01-22,24055,24153,23212,23570,592419,-0.01754824725938897
2018-01-23,23537,23958,23504,23602,451533,0.0013576580398813043
2018-01-24,23602,24639,23472,24543,899844,0.03986950258452682
2018-01-25,24672,24801,24347,24640,647240,0.003952247076559612
2018-01-26,24574,25093,24510,24996,642255,0.014448051948051877
2018-01-29,25190,25612,24801,24867,769458,-0.00516082573211718
2018-01-30,24898,25158,24379,24510,563361,-0.014356375919893805
2018-01-31,24282,24996,24185,24996,524647,0.019828641370869038
2018-02-01,24931,25158,24541,24867,401909,-0.00516082573211718
2018-02-02,24639,24866,24120,24283,580167,-0.023484939880162425
2018-02-05,23828,23861,23083,23376,865010,-0.03735123337314172
2018-02-06,22435,23309,22175,23149,1057475,-0.009710814510609178
2018-02-07,23666,23828,22759,22857,687366,-0.012613935807162302
2018-02-08,23018,23440,22856,23019,661918,0.00708754429715186
2018-02-09,22337,23440,22304,23343,593051,0.014075329075980747
2018-02-12,23537,23764,23278,23473,518581,0.005569121364006335
2018-02-13,23602,23699,22953,22954,462148,-0.022110509947599333
2018-02-14,23083,23375,22661,22954,360404,0.0
2018-02-19,23278,23634,23212,23602,378645,0.028230373791060304
2018-02-20,23634,23634,22921,22954,342697,-0.027455300398271376
2018-02-21,22921,23309,22791,22921,237279,-0.0014376579245447552
2018-02-22,22726,22985,22564,22695,260174,-0.009859953754199235
2018-02-23,22823,22953,22402,22792,321125,0.004274069178233031
