Open,High,Low,Close,Volume,Change
35550,35650,34500,34550,218105,-0.02812939521800284
35250,35300,34650,35150,194841,0.01736613603473236
36300,37600,35950,36850,623531,0.04836415362731161
37250,37250,35800,35800,143348,-0.028493894165535938
34200,35550,33950,34700,4784993,-0.030726256983240274
35000,35300,34100,34150,233676,-0.015850144092218965
34650,34750,34100,34150,187930,0.0
34150,34950,34150,34750,127346,0.017569546120058455
34700,35100,34600,34600,186012,-0.004316546762589968
34550,34850,34250,34250,259819,-0.010115606936416222
34300,34550,34100,34100,338765,-0.004379562043795637
34350,34800,34300,34400,236443,0.008797653958944274
34450,34550,34050,34100,172674,-0.008720930232558155
34150,35150,34150,34900,187067,0.02346041055718473
35850,36000,35050,35550,262872,0.018624641833810962
35850,35850,35100,35100,100040,-0.012658227848101222
35200,35800,35200,35500,99840,0.01139601139601143
35050,35650,34150,35400,152878,-0.0028169014084507005
35450,35850,34900,35800,152496,0.011299435028248483
35950,36400,35650,36100,280269,0.008379888268156499
36100,36500,35650,36250,250953,0.0041551246537396835
36450,36450,34000,35500,219288,-0.020689655172413834
35650,35900,35600,35750,304371,0.007042253521126751
35800,35800,34900,35200,330277,-0.01538461538461533
35000,35200,34500,34500,313487,-0.019886363636363646
34900,35750,34500,35350,263085,0.02463768115942022
35700,35800,35450,35750,210754,0.011315417256011262
35950,36750,35800,36350,359947,0.016783216783216703
36750,36950,36050,36050,244211,-0.008253094910591452
36250,36500,35950,36100,181548,0.001386962552011095
36200,36200,34900,35200,227074,-0.024930747922437657
35350,35800,35200,35800,162491,0.017045454545454586
35950,35950,35600,35650,137660,-0.0041899441340782495
35700,35800,35150,35450,128178,-0.005610098176718092
35900,35900,35150,35650,136952,0.005641748942172065
35600,35700,35050,35050,243952,-0.016830294530154277
35150,35950,35150,35750,203593,0.0199714693295292
35850,36950,35650,36800,310233,0.029370629370629286
37000,37500,36050,36900,255706,0.0027173913043478937
36900,37500,36350,36950,236111,0.0013550135501354532
37100,37700,36650,37000,251199,0.0013531799729364913
37250,37300,36250,36350,173446,-0.01756756756756761
36400,36650,35850,36050,120810,-0.008253094910591452
35650,36200,35200,35700,137782,-0.009708737864077666
34450,35300,34450,34800,185965,-0.025210084033613467
35500,36350,34550,34600,223362,-0.005747126436781658
34900,36700,34900,36300,317016,0.049132947976878505
35600,36750,35500,36650,173113,0.009641873278236845
36950,37400,35850,36100,186741,-0.01500682128240105
36900,37300,34700,34700,368870,-0.03878116343490301
34900,35400,34850,35300,84725,0.01729106628242083
35450,35850,35150,35150,104612,-0.004249291784702569
35200,35400,35150,35350,88576,0.005689900426742556
35700,35700,35000,35500,92659,0.004243281471004279
35300,35300,34800,35000,103185,-0.014084507042253502
34900,35200,34600,34650,105653,-0.010000000000000009
34650,34800,34000,34200,243427,-0.012987012987012991
34450,34700,34300,34500,189613,0.00877192982456143
34350,34400,33850,34000,190889,-0.01449275362318836
33900,33900,32950,33200,408230,-0.02352941176470591
33200,33250,31850,31950,431000,-0.03765060240963858
32200,32750,31950,32150,176958,0.006259780907668322
32200,32600,31050,31600,500580,-0.017107309486780742
31900,32300,31400,31950,143689,0.011075949367088667
31950,32250,31650,31750,229339,-0.006259780907668211
31650,32300,31650,31900,310609,0.0047244094488188
32450,32450,31950,32250,209966,0.01097178683385569
32250,32900,32200,32750,194998,0.015503875968992276
32800,32950,32200,32350,99376,-0.012213740458015265
32500,33100,32450,33050,169466,0.021638330757341562
33050,33150,32800,33100,137521,0.001512859304084735
32450,32850,31950,32850,216456,-0.007552870090634434
32900,32900,32050,32150,198516,-0.0213089802130898
32150,32350,32000,32300,125104,0.004665629860031162
31600,32100,31300,31600,128192,-0.021671826625387025
31000,31700,30750,31550,138999,-0.0015822784810126667
31850,32750,31700,32000,259313,0.014263074484944571
31750,32250,31400,31650,92299,-0.010937500000000044
31400,31650,31150,31550,86496,-0.003159557661927326
31900,31950,31400,31400,92216,-0.004754358161648153
31450,31550,30850,31000,174917,-0.01273885350318471
30900,31050,30250,30800,179271,-0.006451612903225823
30800,30850,30500,30700,86963,-0.0032467532467532756
30450,30950,30150,30650,124261,-0.0016286644951140072
30650,31600,30350,31250,167044,0.019575856443719397
31100,31150,30500,31050,160079,-0.006399999999999961
31050,32200,30600,32200,216968,0.03703703703703698
31600,31700,31050,31050,195763,-0.0357142857142857
31350,31950,31200,31250,187902,0.006441223832528209
31550,31650,31100,31250,97756,0.0
31100,31600,31100,31400,74856,0.0047999999999999154
31550,31750,31050,31200,108746,-0.006369426751592355
31400,31900,31200,31300,146323,0.0032051282051281937
31550,32450,31550,32050,292121,0.023961661341852958
32600,32650,32050,32300,115715,0.007800312012480548
32500,32600,31700,32200,127949,-0.003095975232198178
32100,32500,31650,31700,76618,-0.01552795031055898
31500,31600,31050,31300,154476,-0.012618296529968487
31400,32200,31200,31650,96610,0.011182108626198062
32150,32350,31500,31550,141974,-0.003159557661927326
31900,32700,31700,32600,336738,0.033280507131537185
33200,33200,32150,32600,211585,0.0
32500,32750,32000,32250,244469,-0.010736196319018454
32250,32700,31850,31950,136066,-0.009302325581395321
32300,32700,31800,31800,125332,-0.0046948356807511304
31750,32450,31600,32050,151878,0.007861635220125729
32100,32500,31400,32050,303405,0.0
32150,32800,31850,32550,242939,0.015600624024961096
32600,33100,31950,32400,373566,-0.004608294930875556
32500,33050,32200,32700,148808,0.0092592592592593
32300,32600,32000,32500,119951,-0.006116207951070374
32500,32650,32300,32300,84341,-0.006153846153846176
32400,33200,32100,33200,205477,0.02786377708978338
33300,33650,33000,33000,154989,-0.0060240963855421326
33000,33100,32400,32500,155999,-0.015151515151515138
32450,33400,32300,33200,186025,0.021538461538461506
33200,34550,32850,34100,736311,0.027108433734939652
33950,34650,33700,34600,238882,0.014662756598240456
34650,34650,33550,34200,195995,-0.011560693641618491
34000,34150,32900,32950,236147,-0.03654970760233922
33400,33950,33150,33900,326398,0.028831562974203306
33800,34200,33250,33950,194712,0.001474926253687281
34050,34300,33550,33800,188641,-0.004418262150220897
33800,34650,33250,34600,165492,0.023668639053254337
34700,34750,34050,34300,213850,-0.00867052023121384
34700,34700,33650,34000,167879,-0.008746355685131157
34000,34500,33900,34200,171402,0.00588235294117645
34200,34350,33450,33950,414771,-0.007309941520467822
33950,34000,32300,32300,1291817,-0.048600883652430094
32300,32450,31250,31450,428787,-0.02631578947368418
31500,31900,30950,31150,212758,-0.009538950715421324
31100,31600,30600,30650,241112,-0.0160513643659711
30550,31250,30500,30650,263044,0.0
30600,31300,30600,31000,225546,0.011419249592169667
30700,31200,30400,30950,174403,-0.001612903225806428
30950,32250,30750,32100,214899,0.037156704361873905
31850,32450,31600,32250,157381,0.004672897196261738
32000,32550,30900,31100,203252,-0.03565891472868221
31100,31400,30800,31000,97308,-0.003215434083601254
31350,32150,30800,32000,158785,0.032258064516129004
32150,32300,31100,31100,96678,-0.028124999999999956
31100,31450,30850,31150,92413,0.001607717041800738
30850,31800,30800,31650,61416,0.01605136436597121
31300,31700,30500,30850,91341,-0.025276461295418606
30650,31450,30650,31400,66346,0.017828200972447306
31350,31500,30800,31050,82549,-0.011146496815286677
31050,31200,30600,30850,145658,-0.006441223832528209
30550,30850,30300,30400,137114,-0.014586709886547866
30550,30700,30150,30150,249215,-0.008223684210526327
30200,30650,30200,30450,155462,0.00995024875621886
30400,30800,30200,30700,130601,0.008210180623973828
30450,30800,30450,30750,111114,0.0016286644951140072
30800,30900,30150,30200,99602,-0.01788617886178867
30250,30550,29600,30000,191943,-0.0066225165562914245
30000,30400,29900,30250,92155,0.008333333333333304
30650,30950,30150,30550,117800,0.009917355371900749
30800,30850,30250,30850,119070,0.009819967266775809
30900,31250,30750,30850,133425,0.0
31300,31750,31100,31400,154403,0.017828200972447306
31700,32450,31150,32350,209403,0.030254777070063632
32200,33300,32150,33200,206635,0.026275115919629055
33350,33550,32650,33250,190188,0.001506024096385561
33500,33650,32950,33200,139879,-0.0015037593984962294
33200,33550,32550,32750,124209,-0.013554216867469826
32700,33250,32550,33100,150078,0.010687022900763399
33100,33700,33100,33550,153500,0.013595166163141936
33050,33700,32950,33700,110275,0.0044709388971684305
33300,33800,33050,33750,109959,0.0014836795252226587
33750,34000,33400,34000,123508,0.007407407407407307
34000,34000,33500,33750,118588,-0.007352941176470562
33750,33900,33400,33650,173045,-0.002962962962962945
33650,34350,33400,34300,117000,0.019316493313521477
34450,34550,33850,34450,153636,0.004373177842565523
34750,34950,34300,34550,228688,0.002902757619738683
34900,34900,34300,34600,217752,0.0014471780028944004
34300,34950,34300,34800,148103,0.005780346820809301
34350,34850,33750,34600,115006,-0.005747126436781658
34850,35000,34600,35000,137195,0.011560693641618602
34900,35100,34500,34850,128801,-0.004285714285714337
34600,35050,34550,34900,135639,0.0014347202295552641
34600,35500,34600,35500,340394,0.017191977077363862
35600,35600,34800,34800,10684681,-0.019718309859154903
34200,34350,33200,33650,639216,-0.033045977011494254
33800,35600,33500,35600,1625917,0.05794947994056465
35600,36050,35200,35650,1104675,0.001404494382022392
35600,36000,34250,34650,249294,-0.028050490883590462
34500,36000,34500,35650,280723,0.02886002886002892
35500,35750,34700,35600,183898,-0.0014025245441795509
36100,36100,35600,36000,212134,0.011235955056179803
35700,36150,35600,36150,176632,0.004166666666666652
35650,36400,35650,36400,126352,0.006915629322268302
36350,36550,35750,36050,166320,-0.009615384615384581
36500,36800,36350,36600,243498,0.015256588072122046
36800,36800,35750,36200,200659,-0.010928961748633892
35800,36700,35750,36650,108514,0.012430939226519389
36000,36750,35800,36600,121911,-0.0013642564802183177
36150,36750,36050,36700,165148,0.002732240437158362
36500,37750,36500,37750,261306,0.028610354223433276
38200,38550,37500,38550,267379,0.02119205298013238
38450,40100,38350,40100,374354,0.04020752269779515
40600,41300,40050,40400,380463,0.007481296758104827
40400,41050,39600,40000,231237,-0.00990099009900991
39550,40000,39200,39700,122644,-0.007499999999999951
40300,40750,39550,39850,265908,0.0037783375314861534
40000,40400,39550,40000,144807,0.0037641154328733606
40000,40200,39350,39850,176205,-0.003750000000000031
40300,40500,38400,38600,295444,-0.031367628607277265
37400,38900,37400,38050,266818,-0.014248704663212486
38550,38550,36700,37850,386213,-0.005256241787122251
37950,39000,37300,38650,178372,0.021136063408190298
38550,39000,38000,38600,110811,-0.001293661060802087
39250,39250,37900,38450,128285,-0.0038860103626943143
38450,39450,38100,38800,168876,0.00910273081924573
38800,39100,37800,38500,199019,-0.0077319587628865705
37850,38800,37650,38500,119387,0.0
38100,38800,36500,37350,134700,-0.029870129870129825
37950,38000,35600,36200,362180,-0.030789825970548912
35600,36700,34600,35050,367986,-0.03176795580110492
35100,35700,34400,34900,303972,-0.004279600570613384
34900,35600,34400,34700,313510,-0.005730659025787954
35150,35450,34050,34750,316494,0.0014409221902016434
34850,35850,34350,35200,380828,0.012949640287769792
35050,35800,34800,34850,358726,-0.009943181818181768
34850,35900,34650,35600,303031,0.021520803443328518
35950,36100,34900,35350,213419,-0.0070224719101124045
35900,37200,35900,36700,392349,0.03818953323903829
36700,37550,34850,35450,364468,-0.0340599455040872
36900,37300,36350,36550,344507,0.031029619181946355
36200,36950,35650,35750,161254,-0.02188782489740082
35850,36550,35850,36250,190194,0.013986013986013957
36250,36750,35350,36200,159162,-0.0013793103448276334
36200,37100,36200,36900,141946,0.01933701657458564
36700,37050,36400,37000,156194,0.0027100271002709064
37150,37200,36650,37000,94208,0.0
36500,37900,36300,36800,223876,-0.00540540540540535
36850,37400,36350,36900,179486,0.0027173913043478937
36950,37100,36500,36650,145294,-0.006775067750677488
36600,36950,36500,36800,64304,0.004092769440654953
36650,36850,35850,36300,79439,-0.013586956521739135
36700,37000,35000,35300,572569,-0.02754820936639113
35300,35400,34250,34650,293473,-0.018413597733711096
34950,35500,34800,35050,205818,0.011544011544011523
35500,36150,35000,35450,252293,0.011412268188302432
34150,34200,32400,32850,5744519,-0.07334273624823695
33400,33550,32950,33200,772028,0.010654490106544845
33250,33700,33000,33500,880230,0.009036144578313143
32900,33250,32800,33000,296994,-0.014925373134328401
33000,33100,32050,32400,227569,-0.018181818181818188
32700,32950,32250,32500,162364,0.0030864197530864335
31850,32250,31750,32050,230862,-0.013846153846153841
32050,32650,31550,32300,286174,0.007800312012480548
32800,33200,32300,33050,453842,0.023219814241486114
32700,33800,32650,33300,1063209,0.0075642965204236745
33300,33500,32700,32900,401173,-0.012012012012011963
33000,33700,32300,32500,347909,-0.012158054711246202
32350,33300,32300,33050,291857,0.01692307692307682
32800,33250,32500,32900,209985,-0.004538577912254205
32700,32800,31650,32150,270195,-0.022796352583586588
32300,32600,31900,32150,163286,0.0
32000,32300,31550,32050,152842,-0.0031104199066873672
31600,32000,30800,31100,153429,-0.029641185647425905
31050,31300,30100,30850,236931,-0.008038585209003246
31300,31850,31100,31500,183625,0.021069692058346856
31450,31700,30450,30700,123805,-0.025396825396825418
30450,31200,30350,30500,181488,-0.006514657980456029
30600,30900,30200,30700,162639,0.006557377049180246
31150,32000,31050,31800,176630,0.03583061889250816
31650,31900,31400,31600,117123,-0.0062893081761006275
31500,33150,31500,32900,249939,0.04113924050632911
32650,33200,32150,32950,461576,0.001519756838905817
32750,33250,32300,32700,456790,-0.007587253414264028
32250,32800,32000,32500,165887,-0.006116207951070374
32800,33450,32550,33350,170102,0.026153846153846194
33350,33700,33000,33650,219080,0.008995502248875464
33300,33750,33100,33400,164215,-0.007429420505200568
33750,33900,33200,33750,191919,0.010479041916167775
33800,33950,33050,33700,157494,-0.001481481481481528
33600,33850,32950,33600,135306,-0.0029673590504450953
33450,33800,33250,33650,127834,0.0014880952380953438
