Open,High,Low,Close,Volume,Change
12584,12584,12163,12241,759687,-0.02438829999202996
12239,12354,12163,12317,446936,0.0062086430847152485
12469,13616,12469,13426,3946903,0.09003815864252651
13425,13502,12775,12968,2017690,-0.034112915239088326
13425,13655,12622,12776,2109503,-0.014805675508945071
12736,12736,12009,12087,1819164,-0.05392924232936758
12163,12354,12048,12087,616912,0.0
12087,12201,12009,12126,504346,0.0032266070985356166
12124,12354,12124,12241,514186,0.009483753917202797
12277,12507,12163,12164,998741,-0.006290335756882648
12239,12393,12163,12317,646078,0.012578099309437762
12316,12354,12048,12050,697020,-0.021677356499147482
12048,12239,12009,12126,517422,0.00630705394190878
12087,12277,12048,12241,373913,0.009483753917202797
12201,12277,12087,12126,446842,-0.009394657299240272
12201,12201,11857,11973,623672,-0.012617516081147917
12009,12201,12009,12126,659923,0.012778752192432963
11895,12048,11742,11820,646691,-0.025235032162295945
11742,11895,11666,11744,571802,-0.006429780033840982
11703,11933,11513,11935,698328,0.01626362397820169
11857,12277,11857,11973,759444,0.0031839128613322387
12087,12430,11971,12355,952964,0.031905119853002484
12354,12469,12201,12355,578239,0.0
12316,12545,12316,12355,824488,0.0
12354,12699,12354,12623,785576,0.02169162282476722
12812,13463,12775,13159,2693779,0.04246217222530291
13234,13311,12928,13006,831536,-0.011627023330040287
13005,13425,13005,13159,994313,0.011763801322466572
13234,13387,12852,12929,510985,-0.01747853180332848
12852,13158,12507,12585,915158,-0.026606852811508985
12545,12584,10938,12241,5304503,-0.027334127930075502
12201,12239,11818,11935,1044683,-0.024997957683195793
11857,12048,11703,12011,697340,0.0063678257226644774
11933,12048,11781,11820,540829,-0.015902089751061554
11781,12163,11781,12164,585545,0.029103214890016993
12239,12469,12124,12241,750787,0.006330154554422984
12239,12430,12239,12317,1087426,0.0062086430847152485
12393,12469,12048,12355,826588,0.0030851668425753154
12430,13119,12393,12929,2392035,0.04645892351274794
13005,13234,12736,12815,995788,-0.008817387268930332
12699,13005,12354,13006,941348,0.014904408895825227
13005,13119,12775,12776,425967,-0.01768414577887134
12812,12890,12316,12433,673637,-0.026847213525360014
12163,12239,12048,12050,730957,-0.030805115418643947
11742,11857,11513,11781,1246055,-0.02232365145228221
11971,12009,11781,11857,725419,0.006451065274594603
11933,12009,11513,11552,1037310,-0.02572320148435525
11360,11703,11168,11629,856744,0.006665512465374057
11627,11703,11398,11438,561487,-0.016424456101126528
11474,11551,11054,11054,833032,-0.03357230285014867
11092,11206,10978,11094,552014,0.0036185996019539868
11092,11398,11054,11400,433950,0.02758247701460248
11398,11933,11360,11705,725526,0.026754385964912197
11742,11818,11551,11590,360541,-0.009824861170440014
11551,11666,11398,11438,318446,-0.013114754098360604
11513,11589,11360,11552,466711,0.009966777408637828
11742,11781,11551,11744,381581,0.016620498614958512
11742,11818,11590,11590,306646,-0.013113079019073548
11474,11666,11321,11438,515770,-0.013114754098360604
11284,11398,11168,11208,425368,-0.020108410561286982
11206,11360,11092,11132,411260,-0.006780870806566752
11168,11284,11054,11132,487624,0.0
11130,11245,10978,11017,531589,-0.010330578512396715
11054,11360,10978,11361,755321,0.03122447127167116
11360,11666,11284,11514,715073,0.013467124372854578
11703,11818,11551,11629,678848,0.009987840889352118
11551,11781,11513,11629,480574,0.0
11703,12239,11513,11590,3168797,-0.0033536847536331793
11168,11474,11130,11246,1592581,-0.02968075927523728
11284,11703,11245,11590,999213,0.03058865374355335
11666,11781,11513,11629,646325,0.003364969801552986
11551,11781,11513,11667,444844,0.003267692836873337
11666,12201,11666,11857,1062067,0.01628524899288597
12048,12239,11857,11935,904732,0.006578392510753206
11742,11895,11436,11476,869106,-0.03845831587767068
11703,11895,11436,11705,560902,0.019954688044614866
12124,12736,11933,12661,2929042,0.08167449807774463
12584,12852,12163,12393,1301368,-0.021167364347208006
12354,12430,11933,12164,1189083,-0.018478173162269074
12201,12354,12087,12164,692095,0.0
12277,12354,11627,11705,1333653,-0.037734297928313065
11513,11895,11513,11820,693439,0.009824861170439902
11857,11857,11436,11476,893061,-0.029103214890016882
11590,11666,11474,11590,497077,0.009933774834437026
11590,11666,11360,11438,613496,-0.013114754098360604
11436,11513,11245,11361,554735,-0.006731946144430845
11321,11474,11168,11400,502125,0.003432796408766814
11436,11513,11321,11438,382964,0.0033333333333334103
11474,11551,11321,11438,426317,0.0
11436,11513,11245,11284,614433,-0.01346389228886169
11436,11513,11360,11438,507956,0.013647642679900818
11513,11666,11436,11590,525525,0.013289036544850585
11666,12430,11627,12279,2406033,0.05944779982743742
12316,12622,12163,12547,1329569,0.021825881586448492
12622,13081,12469,12929,2451435,0.03044552482665175
13158,13387,12699,13006,3050890,0.005955603681645938
12890,12966,12393,12929,1097586,-0.005920344456404769
12736,13119,12736,12891,828490,-0.002939129089643444
12966,13196,12660,13045,948068,0.011946319137382755
13119,13463,13005,13197,1515196,0.011651973936374072
13387,13884,13348,13694,3114728,0.0376600742593014
14151,14343,13578,13885,2252341,0.013947714327442684
13884,14840,13731,14115,3550511,0.016564638098667706
14497,14879,14228,14689,2198935,0.04066595820049601
14687,14840,14305,14345,1587210,-0.023418884879842006
14420,14497,13884,14154,1214935,-0.013314743813175323
14381,15070,14343,14994,2328568,0.05934718100890213
15184,15184,14458,14842,1897014,-0.010137388288648741
15184,15759,15031,15683,2424714,0.05666352243632944
15912,16447,15606,16258,3395739,0.03666390358987437
15452,16141,15414,15646,1950653,-0.037643006519867184
15797,16295,15376,15530,1369051,-0.007414035536239316
15682,15912,15223,15606,940828,0.004893754024468677
15530,15682,15108,15224,1012236,-0.024477764962194004
14994,15376,14458,15224,1863507,0.0
15223,15376,14649,14842,1026188,-0.02509196006305836
13808,14687,13808,14230,1835008,-0.04123433499528362
14994,15682,14879,15148,2504935,0.0645115952213633
14994,14994,14228,14307,1689053,-0.055518880380248214
14228,14420,13884,14268,1564233,-0.00272593835185575
14381,14803,14037,14613,1910782,0.02417998317914205
14649,14879,14114,14268,587256,-0.023609115171422723
14534,14534,14075,14154,544842,-0.007989907485281722
14228,14573,14037,14574,798794,0.029673590504450953
14458,14840,14191,14497,1034043,-0.005283381364073025
14497,14534,14267,14268,435483,-0.01579637166310266
14228,14840,14228,14536,799480,0.01878329128118872
14687,14726,14267,14307,756074,-0.01575399009356082
14228,14228,13387,13465,1665092,-0.05885231005801361
13463,13731,13348,13579,944319,0.00846639435573704
13234,13425,12852,13045,1285968,-0.0393254289712055
12660,12890,12163,12203,3144064,-0.06454580298965118
12124,12430,12009,12433,1430411,0.018847824305498584
12277,12430,11818,11857,1136589,-0.04632831979409635
11666,12087,11666,11973,1053024,0.009783250400607235
11895,12239,11857,12011,868412,0.00317380773406839
11857,12469,11781,12203,1077217,0.015985346765464925
12201,12277,11703,11744,1096613,-0.037613701548799505
11666,12124,11666,11744,982363,0.0
11857,12048,11666,11973,649809,0.019499318801089904
12009,12048,11015,11094,2182526,-0.07341518416436987
11245,11360,10938,11246,845591,0.013701099693528063
11054,11321,11054,11170,435221,-0.006757958385203655
11206,11245,10748,10941,775822,-0.02050134288272154
11054,11513,11015,11400,829058,0.0419522895530573
