Date,Open,High,Low,Close,Volume,Change
2017-12-01,60100,60300,59200,59200,1752615,-0.0373983739837398
2017-12-04,59800,60200,59500,59800,261475,0.010135135135135087
2017-12-05,60200,60500,59400,60400,260402,0.010033444816053505
2017-12-06,60400,60900,59900,60200,219823,-0.0033112582781457123
2017-12-07,60100,60300,59600,59700,244981,-0.00830564784053156
2017-12-08,59800,60000,58500,58900,295932,-0.01340033500837523
2017-12-11,59300,59500,58500,58800,221554,-0.001697792869269965
2017-12-12,59000,59200,58500,59000,193794,0.00340136054421758
2017-12-13,59300,62200,59300,61300,500001,0.03898305084745757
2017-12-14,61800,63000,61300,63000,855357,0.027732463295269127
2017-12-15,62600,63000,61600,62200,306356,-0.012698412698412653
2017-12-18,61900,62600,61500,62000,175104,-0.003215434083601254
2017-12-19,61600,62400,61100,61700,163212,-0.004838709677419395
2017-12-20,61800,62000,61100,62000,142331,0.004862236628849326
2017-12-21,61500,62200,61000,61000,190532,-0.016129032258064502
2017-12-22,61500,62500,59900,61900,260000,0.014754098360655776
2017-12-26,64700,66500,63500,65500,790010,0.05815831987075937
2017-12-27,65600,65900,63900,65500,205798,0.0
2017-12-28,65300,65700,64700,65100,145630,-0.006106870229007688
2018-01-02,65300,65700,64400,65500,162357,0.006144393241167334
2018-01-03,68000,69500,67000,69400,846812,0.05954198473282446
2018-01-04,70100,73200,69100,71700,723016,0.033141210374639796
2018-01-05,72000,72800,69700,70000,325152,-0.023709902370990243
2018-01-08,70500,71400,68200,68500,317055,-0.021428571428571463
2018-01-09,68500,69900,67900,68200,208855,-0.004379562043795637
2018-01-10,68000,69000,67700,68800,175277,0.008797653958944274
2018-01-11,69100,69200,68400,68400,146213,-0.005813953488372103
2018-01-12,69000,69200,67100,67200,194272,-0.01754385964912286
2018-01-15,67900,68000,66600,67100,165106,-0.0014880952380952328
2018-01-16,67200,67700,66600,66700,178930,-0.005961251862891204
2018-01-17,66700,68800,66500,68300,254310,0.02398800599700146
2018-01-18,68100,68400,67500,67700,114011,-0.008784773060029227
2018-01-19,67600,68000,67100,67200,135893,-0.00738552437223039
2018-01-22,67300,67500,66000,66200,186741,-0.014880952380952328
2018-01-23,66000,67100,65700,66900,121715,0.010574018126888296
2018-01-24,66900,68300,66800,67500,139549,0.008968609865470878
2018-01-25,67600,68200,67300,67800,118152,0.004444444444444473
2018-01-26,67800,69300,67800,69200,210384,0.020648967551622377
2018-01-29,69900,71600,69700,71000,354037,0.026011560693641522
2018-01-30,71300,71400,70000,70000,205139,-0.014084507042253502
2018-01-31,69400,71000,68500,69800,192462,-0.0028571428571428914
2018-02-01,69300,70500,69300,70200,116688,0.005730659025787954
2018-02-02,69800,70700,68700,69100,136830,-0.015669515669515688
2018-02-05,68100,69100,67400,68600,189314,-0.00723589001447178
2018-02-06,66500,67800,65700,66500,270865,-0.030612244897959218
2018-02-07,67300,67800,65000,65700,262494,-0.012030075187969946
2018-02-08,66000,66200,64300,64700,210687,-0.015220700152207
