Date,Open,High,Low,Close,Volume,Change
2017-12-01,8360,8370,8260,8331,630521,-0.0035880875493361497
2017-12-04,8330,8340,8250,8281,960606,-0.006001680470531734
2017-12-05,8280,8410,8270,8381,483222,0.012075836251660421
2017-12-06,8370,8430,8350,8381,295293,0.0
2017-12-07,8380,8400,8340,8371,261009,-0.0011931750387781381
2017-12-08,8370,8370,8340,8371,245547,0.0
2017-12-11,8370,8380,8320,8351,283878,-0.002389200812328296
2017-12-12,8350,8350,8300,8301,219733,-0.005987306909352119
2017-12-13,8320,8340,8300,8341,193818,0.004818696542585155
2017-12-14,8340,8350,8300,8341,165199,0.0
2017-12-15,8350,8380,8330,8371,167595,0.0035966910442393196
2017-12-18,8360,8380,8290,8361,322829,-0.001194600406164148
2017-12-19,8360,8400,8360,8391,239767,0.0035880875493361497
2017-12-20,8410,8410,8370,8381,3722917,-0.0011917530687641786
2017-12-21,8400,8420,8390,8401,454570,0.0023863500775562763
2017-12-22,8420,8430,8400,8421,621591,0.0023806689679799486
2017-12-26,8420,8490,8420,8470,1473707,0.005818786367414841
2017-12-27,8250,8260,8181,8181,1324807,-0.034120425029515955
2017-12-28,8250,8250,8211,8231,223034,0.006111722283339338
2018-01-02,8240,8250,8191,8201,341417,-0.0036447576236180446
2018-01-03,8201,8240,8191,8211,346980,0.0012193634922570418
2018-01-04,8201,8211,8131,8161,709650,-0.006089392278650574
2018-01-05,8191,8191,8111,8151,674602,-0.0012253400318588126
2018-01-08,8151,8151,8101,8121,550753,-0.003680529996319515
2018-01-09,8131,8131,8091,8111,421379,-0.0012313754463736393
2018-01-10,8121,8191,8121,8161,463474,0.006164468006411017
2018-01-11,8171,8201,8111,8161,460002,0.0
2018-01-12,8161,8161,8111,8141,643644,-0.002450680063717736
2018-01-15,8121,8141,8091,8091,712264,-0.00614175162756414
2018-01-16,8081,8091,8031,8031,918985,-0.0074156470152020315
2018-01-17,8031,8101,8031,8081,557848,0.006225874735400261
