Open,High,Low,Close,Volume,Change
213500,217000,211500,214500,240475,0.011792452830188704
215500,217500,212000,214000,306716,-0.002331002331002363
210500,211500,202000,204000,514290,-0.04672897196261683
204000,207500,201500,202500,304323,-0.007352941176470562
204500,209000,203000,208000,382306,0.02716049382716057
209000,211500,207500,209500,227996,0.007211538461538547
211500,212000,208000,210000,186698,0.0023866348448686736
213000,218000,209500,213500,356468,0.016666666666666607
215000,217000,211500,217000,284118,0.016393442622950838
217500,218000,210500,210500,410541,-0.02995391705069128
213500,216000,209000,209000,242106,-0.0071258907363420665
210500,211000,205000,208000,152505,-0.004784688995215336
210000,213500,208000,209000,211626,0.004807692307692291
209500,212500,208000,211000,181309,0.009569377990430672
210000,210000,201000,202000,281320,-0.042654028436018954
201500,204500,199500,202500,260801,0.0024752475247524774
202500,203000,195000,195000,388845,-0.03703703703703709
195000,199500,195000,197500,286908,0.012820512820512775
196500,205500,196500,204500,263440,0.03544303797468351
207500,212500,206500,212000,256209,0.03667481662591676
209500,213000,207000,207500,243427,-0.021226415094339646
210000,211500,207000,208500,288525,0.004819277108433662
209500,221000,209500,220500,631052,0.05755395683453246
224500,227000,222000,225500,395868,0.0226757369614512
225000,227000,217000,219500,318641,-0.026607538802660757
221500,221500,211000,213500,320655,-0.02733485193621865
216000,217000,211500,214500,344856,0.004683840749414525
217500,218500,212000,215500,207713,0.004662004662004726
213000,215500,211000,213000,197666,-0.011600928074245953
215500,217500,213500,216500,215395,0.016431924882629012
216500,219000,212000,214500,296120,-0.009237875288683584
218500,223500,216000,218000,378700,0.01631701631701632
218000,220500,202000,204000,969072,-0.06422018348623848
202000,205000,198000,203000,580327,-0.004901960784313708
204000,205000,199500,201000,608934,-0.009852216748768461
207500,210500,204500,208000,645722,0.03482587064676612
215000,215500,209000,210000,642179,0.009615384615384581
211000,212000,204500,207000,384321,-0.014285714285714235
209000,210000,208000,209000,200975,0.009661835748792313
207500,208000,203500,204500,359741,-0.021531100478468845
202500,203000,196000,197000,889811,-0.03667481662591687
197000,198000,185000,187500,1296858,-0.048223350253807085
184500,185000,175000,179000,1541960,-0.04533333333333334
174000,176000,171000,175000,1147535,-0.022346368715083775
169000,177500,168500,177000,685967,0.011428571428571344
179500,180000,172000,172000,662100,-0.02824858757062143
171500,177500,171500,175000,458644,0.01744186046511631
169000,171500,168000,170000,382665,-0.02857142857142858
171500,176000,170500,174000,348174,0.0235294117647058
176500,177000,172000,172500,364983,-0.008620689655172376
174500,180500,174000,180500,386259,0.04637681159420293
184000,185000,180000,182500,282469,0.011080332409972193
182000,182500,178500,179500,223122,-0.016438356164383605
179000,180000,177000,178000,220036,-0.00835654596100277
176500,179500,176000,179000,150548,0.00561797752808979
180500,183000,180000,182000,179995,0.016759776536312776
184000,184000,175500,177000,329449,-0.027472527472527486
178000,179500,175000,175500,298657,-0.008474576271186418
174000,174500,170000,171000,380856,-0.02564102564102566
