Open,High,Low,Close,Volume,Change
130000,130000,126000,126000,189076,-0.015625
126000,128000,125500,127000,160904,0.007936507936507908
126000,126500,122500,123500,427902,-0.027559055118110187
124000,124000,122000,122500,340431,-0.0080971659919028
122500,125000,122500,124500,228913,0.01632653061224487
123500,124500,122000,124000,222206,-0.004016064257028162
125000,127500,124000,127000,225290,0.024193548387096753
125500,126000,123500,124000,195312,-0.023622047244094446
123500,125000,123500,125000,202034,0.008064516129032251
125500,127000,122500,122500,473652,-0.020000000000000018
123500,126000,123500,124500,319716,0.01632653061224487
126000,126000,124500,125000,72889,0.004016064257028162
124500,126000,123500,124000,107262,-0.008000000000000007
123000,125000,123000,124500,142562,0.0040322580645162365
124000,125000,123500,124500,142821,0.0
125000,125000,120500,122000,208619,-0.02008032128514059
122500,124500,122500,124000,175461,0.016393442622950838
122500,123500,121000,123500,144013,-0.0040322580645161255
123500,124500,122500,124500,135814,0.00809716599190291
124500,125000,122000,122500,115903,-0.016064257028112428
121500,123000,121500,122500,157983,0.0
122500,123000,120500,120500,211786,-0.01632653061224487
121000,122000,120500,121500,138766,0.008298755186721962
122000,123500,121000,123000,163911,0.012345679012345734
122500,126500,122500,126500,280022,0.028455284552845628
127500,127500,124500,125000,275255,-0.011857707509881465
125000,126500,124000,124000,232940,-0.008000000000000007
124500,126000,124500,124500,229029,0.0040322580645162365
125000,130000,124500,129000,443373,0.03614457831325302
129000,131000,126500,129500,302240,0.003875968992248069
129000,130000,128000,129500,153577,0.0
130000,131000,129000,130500,194936,0.007722007722007707
130000,134000,130000,133500,329533,0.02298850574712641
134000,134500,130500,132000,273331,-0.011235955056179803
132500,134000,130500,133500,220147,0.011363636363636465
132500,133500,129500,130000,195664,-0.02621722846441943
129500,131500,128500,129500,174067,-0.0038461538461538325
128500,130000,127500,130000,156749,0.0038610038610038533
129500,133000,129500,130500,197222,0.0038461538461538325
127000,128000,124000,125000,785334,-0.04214559386973182
124000,129500,122500,129000,633456,0.03200000000000003
128000,131000,128000,128500,178047,-0.003875968992248069
128500,131500,128000,128500,244379,0.0
129000,130000,125000,128000,346462,-0.0038910505836575737
127000,129500,125000,126500,344542,-0.01171875
127000,128500,125500,125500,299816,-0.007905138339920903
125000,127000,123000,123000,300937,-0.019920318725099584
