Date,Open,High,Low,Close,Volume,Change
2017-12-01,100500,103000,99700,102500,489120,0.02499999999999991
2017-12-04,102500,103000,99000,100500,826989,-0.019512195121951237
2017-12-05,100000,101000,98600,100000,415913,-0.00497512437810943
2017-12-06,100000,101000,97500,97500,996778,-0.025000000000000022
2017-12-07,97500,99500,97400,99000,505920,0.01538461538461533
2017-12-08,99400,101000,99300,99600,423096,0.0060606060606061
2017-12-11,101500,101500,99500,100500,301089,0.009036144578313143
2017-12-12,100500,100500,98400,98800,447408,-0.01691542288557213
2017-12-13,99200,100500,98500,99600,314098,0.00809716599190291
2017-12-14,100000,101500,98000,98000,745321,-0.016064257028112428
2017-12-15,99700,101500,99600,100500,545369,0.025510204081632626
2017-12-18,101500,101500,99400,99500,443166,-0.00995024875621886
2017-12-19,101000,103500,100500,102000,965455,0.025125628140703515
2017-12-20,101500,102500,100500,102000,335712,0.0
2017-12-21,102500,103000,98500,98700,899665,-0.032352941176470584
2017-12-22,98900,100500,97000,99800,543559,0.011144883485308954
2017-12-26,100000,100000,96700,96700,982523,-0.03106212424849697
2017-12-27,97000,99100,96900,98500,490596,0.018614270941054833
2017-12-28,98400,100000,96900,100000,568856,0.015228426395939021
2018-01-02,100000,101500,99500,101000,450651,0.010000000000000009
2018-01-03,101500,102000,99700,100000,424305,-0.00990099009900991
2018-01-04,101000,101000,98700,98800,407340,-0.01200000000000001
2018-01-05,99900,107000,99400,107000,2045463,0.082995951417004
2018-01-08,108000,109500,106000,108500,1202536,0.014018691588784993
2018-01-09,109000,109500,105500,107000,719512,-0.01382488479262678
2018-01-10,107500,108000,101000,103000,1102888,-0.03738317757009346
2018-01-11,103000,105000,101500,105000,569806,0.01941747572815533
2018-01-12,105000,106000,102500,104500,749325,-0.004761904761904745
2018-01-15,105000,106000,103000,104500,451938,0.0
2018-01-16,104500,107000,102500,107000,783683,0.02392344497607657
2018-01-17,107500,107500,104500,105000,548328,-0.01869158878504673
2018-01-18,106000,109000,103500,103500,880014,-0.014285714285714235
2018-01-19,104000,107000,100500,101500,1096995,-0.019323671497584516
2018-01-22,101000,101500,98600,98800,1056405,-0.026600985221674867
2018-01-23,99700,101000,98800,100500,686888,0.0172064777327936
2018-01-24,100000,101000,99600,100500,365150,0.0
2018-01-25,101000,104000,101000,103000,760927,0.02487562189054726
2018-01-26,104000,105500,103000,104500,596747,0.014563106796116498
2018-01-29,105000,109500,104000,108500,1503200,0.038277511961722466
2018-01-30,109000,109500,105500,105500,911392,-0.027649769585253448
2018-01-31,105000,108500,104500,106500,1351625,0.009478672985782088
2018-02-01,107500,108500,102000,103000,1289387,-0.032863849765258246
2018-02-02,102500,103000,100000,101000,967324,-0.01941747572815533
2018-02-05,98000,99500,97500,99200,908776,-0.017821782178217838
2018-02-06,95400,97900,94800,97200,996205,-0.020161290322580627
2018-02-07,99400,99500,94700,94900,794658,-0.02366255144032925
2018-02-08,94300,96500,94300,95500,582009,0.006322444678608985
2018-02-09,92500,93700,92100,92300,603433,-0.03350785340314133
2018-02-12,93100,96600,93100,95800,548966,0.037919826652220934
2018-02-13,97200,97400,94300,94700,509521,-0.011482254697286032
2018-02-14,95800,97300,95500,97300,401147,0.02745512143611406
2018-02-19,98500,98800,96900,98100,476791,0.008221993833504637
2018-02-20,98300,98700,95500,95900,494375,-0.022426095820591185
2018-02-21,96000,96400,94800,96100,420658,0.002085505735140769
2018-02-22,96100,97200,95600,95900,476378,-0.002081165452653466
2018-02-23,96100,97500,96100,97100,388361,0.012513034410844615
2018-02-26,98300,98400,95000,95400,602031,-0.01750772399588052
2018-02-27,96300,96500,94500,94700,469458,-0.007337526205450695
2018-02-28,94300,95300,92200,92600,811455,-0.022175290390707536
2018-03-02,91100,91800,90100,91000,645289,-0.017278617710583144
2018-03-05,90600,91100,88900,89000,745131,-0.02197802197802201
2018-03-06,90400,92500,90200,92100,577360,0.03483146067415732
2018-03-07,92400,93500,90300,91600,621541,-0.005428881650380024
2018-03-08,93000,93100,91000,92400,592541,0.008733624454148492
2018-03-09,92400,96200,92200,95800,933502,0.03679653679653683
2018-03-12,98300,98300,95800,96300,857594,0.005219206680584509
2018-03-13,96300,96400,94100,94700,718429,-0.01661474558670817
2018-03-14,95100,96900,94900,96600,619066,0.020063357972544882
2018-03-15,96300,97000,95400,96800,330118,0.0020703933747412417
2018-03-16,97200,97500,95700,97500,493469,0.00723140495867769
2018-03-19,98100,100500,97900,99200,1027422,0.017435897435897463
2018-03-20,99700,100500,98200,100500,711504,0.013104838709677491
2018-03-21,101500,102000,100000,101000,529636,0.004975124378109541
2018-03-22,101000,104000,100000,103500,981309,0.024752475247524774
2018-03-23,100000,104500,99700,101000,1273666,-0.024154589371980673
2018-03-26,101500,104500,100000,104500,1053061,0.034653465346534684
2018-03-27,107000,108500,106000,107500,1297754,0.028708133971291794
2018-03-28,106500,107500,104000,104500,829183,-0.027906976744186074
2018-03-29,105000,107000,104500,107000,610215,0.02392344497607657
2018-03-30,108000,108000,105500,105500,469977,-0.014018691588784993
2018-04-02,105500,106000,102000,103000,537532,-0.023696682464455
2018-04-03,101000,107000,101000,106500,756439,0.03398058252427183
2018-04-04,107500,108000,102500,103000,770801,-0.032863849765258246
2018-04-05,104500,106000,103500,105500,395149,0.024271844660194164
2018-04-06,104500,107000,104000,106000,453281,0.004739336492890933
2018-04-09,105000,107000,104500,106000,347661,0.0
2018-04-10,106500,109000,105500,109000,1156433,0.028301886792452935
2018-04-11,109000,109500,107500,108000,683675,-0.00917431192660545
2018-04-12,109500,116000,108000,115500,2888785,0.06944444444444442
2018-04-13,118500,120500,116500,118500,1841133,0.025974025974025983
2018-04-16,119500,126000,118000,126000,1931596,0.06329113924050622
2018-04-17,126000,129000,124500,128000,1487326,0.015873015873015817
2018-04-18,127000,128500,124000,128000,1183504,0.0
2018-04-19,128000,129500,123500,124000,814517,-0.03125
2018-04-20,123000,127500,121500,122000,999005,-0.016129032258064502
2018-04-23,123500,125500,122000,123500,616783,0.012295081967213184
2018-04-24,123500,124000,116500,117000,1365265,-0.052631578947368474
2018-04-25,115500,119000,114000,117500,1098724,0.004273504273504258
2018-04-26,118000,123000,116000,118500,1451854,0.008510638297872353
2018-04-27,122000,123500,119000,121500,895252,0.025316455696202445
2018-04-30,122500,123500,117000,118500,783512,-0.024691358024691357
2018-05-02,118500,120500,116000,117000,717939,-0.012658227848101222
2018-05-03,117500,118000,109000,110500,2001664,-0.05555555555555558
2018-05-04,111500,116500,111000,115000,1046778,0.040723981900452566
2018-05-08,116500,120000,116000,116000,747531,0.008695652173912993
2018-05-09,117500,123000,117000,121500,1287493,0.047413793103448176
2018-05-10,122500,124000,120500,123000,749772,0.012345679012345734
2018-05-11,124000,124000,121000,124000,487366,0.008130081300812941
2018-05-14,123500,125500,119500,125000,750408,0.008064516129032251
2018-05-15,126500,127000,124500,125500,572997,0.0040000000000000036
2018-05-16,124000,125500,121000,123500,497901,-0.015936254980079667
2018-05-17,124000,125500,117500,118500,1036518,-0.04048582995951422
2018-05-18,120500,122500,119000,120000,580941,0.012658227848101333
2018-05-21,121500,125500,119000,125500,892586,0.04583333333333339
2018-05-23,126500,129000,126000,128000,817172,0.019920318725099584
2018-05-24,129000,130000,127000,129000,439665,0.0078125
2018-05-25,128000,130000,127000,130000,705159,0.007751937984496138
2018-05-28,130500,130500,126500,130000,468126,0.0
2018-05-29,129500,132000,128000,129000,366984,-0.007692307692307665
2018-05-30,127500,129000,125000,127500,713957,-0.011627906976744207
2018-05-31,129500,134000,128500,134000,1310135,0.050980392156862786
2018-06-01,134000,139500,134000,138500,1083841,0.033582089552238736
2018-06-04,140000,141000,137500,140500,620404,0.014440433212996373
2018-06-05,141000,141000,138000,139000,401539,-0.010676156583629859
2018-06-07,143000,145000,142000,145000,819096,0.043165467625899234
2018-06-08,146000,146500,143500,146000,634296,0.006896551724137945
2018-06-11,145000,147000,143000,145500,454893,-0.003424657534246589
2018-06-12,146000,149000,143000,145000,534440,-0.0034364261168384758
2018-06-14,145500,149000,143500,146000,596822,0.006896551724137945
2018-06-15,148000,148500,139500,146500,884175,0.003424657534246478
2018-06-18,146500,148000,139500,142000,640980,-0.030716723549488067
2018-06-19,142500,146000,141500,142000,562581,0.0
2018-06-20,145000,153000,143000,152000,1186214,0.07042253521126751
2018-06-21,155500,158000,153500,154500,1107114,0.016447368421052655
2018-06-22,153500,156000,148500,151000,866945,-0.02265372168284785
2018-06-25,152500,153500,148500,153500,637697,0.01655629139072845
2018-06-26,151000,151000,145500,148000,1349560,-0.03583061889250816
2018-06-27,147500,153000,147000,149000,642899,0.006756756756756799
2018-06-28,149500,152000,147000,149500,404532,0.003355704697986628
2018-06-29,150000,151000,145000,148500,540056,-0.006688963210702337
