Date,Open,High,Low,Close,Volume,Change
2017-12-01,41920,42719,41660,41920,49211,0.0
2017-12-04,41920,42380,40880,41580,55848,-0.008110687022900742
2017-12-05,41100,41660,40900,41320,26989,-0.006253006253006288
2017-12-06,41580,41580,40040,40040,38134,-0.030977734753146136
2017-12-07,40040,41040,40040,40500,51694,0.011488511488511488
2017-12-08,41400,41760,41300,41500,50176,0.024691358024691468
2017-12-11,42140,42140,41500,41500,21375,0.0
2017-12-12,41520,41900,41520,41700,29033,0.004819277108433662
2017-12-13,41700,41760,40960,41120,27282,-0.013908872901678637
2017-12-14,41140,41580,41140,41380,36573,0.006322957198443557
2017-12-15,41380,41480,40540,40540,47924,-0.020299661672305458
2017-12-18,40800,40900,40200,40760,27858,0.005426739023187022
2017-12-19,41100,41540,40980,41200,40587,0.01079489695780178
2017-12-20,41360,41360,40540,40540,30006,-0.016019417475728104
2017-12-21,40540,40700,39120,39120,37236,-0.0350271336951159
2017-12-22,39400,40100,39300,40040,29208,0.023517382413087873
2017-12-26,40060,40200,39160,39160,28542,-0.02197802197802201
2017-12-27,39400,40220,39400,40060,18431,0.02298263534218581
2017-12-28,40320,41800,40260,41800,35681,0.043434847728407444
2018-01-02,41920,41940,41160,41940,21940,0.0033492822966507685
2018-01-03,42200,42620,41720,41800,28417,-0.0033381020505484083
2018-01-04,42239,42260,41360,41800,40025,0.0
2018-01-05,41800,42260,41620,42260,28601,0.011004784688995128
2018-01-08,42100,42340,41580,42060,47789,-0.004732607666824373
2018-01-09,41200,41700,40200,40880,44471,-0.02805515929624347
2018-01-10,41080,41200,39080,39080,66062,-0.044031311154598796
2018-01-11,39000,39420,38300,39340,42023,0.006653019447287578
2018-01-12,39960,39960,38220,39160,46403,-0.004575495678698527
2018-01-15,39240,39840,39100,39540,28060,0.009703779366700749
2018-01-16,39800,41000,39720,40800,37382,0.03186646433990892
2018-01-17,40600,40760,39800,40240,28359,-0.013725490196078383
2018-01-18,40440,41320,40420,40940,40490,0.01739562624254476
2018-01-19,41000,41220,40000,40000,46015,-0.022960429897410872
2018-01-22,39700,39800,39140,39560,40378,-0.01100000000000001
2018-01-23,39700,40200,39480,40200,28519,0.016177957532861553
2018-01-24,40000,40540,39900,40240,27040,0.0009950248756218638
2018-01-25,40120,40960,39980,40960,23468,0.017892644135188762
2018-01-26,41180,41420,40760,41400,32909,0.0107421875
2018-01-29,42000,42080,41580,42080,37193,0.01642512077294689
2018-01-30,42000,42000,40660,41000,35298,-0.025665399239543696
2018-01-31,40960,44300,40760,42180,99658,0.028780487804878074
2018-02-01,42740,42740,41020,41180,53040,-0.0237079184447605
2018-02-02,41000,41040,39460,39460,68655,-0.04176784847013115
2018-02-05,38680,39980,38180,39560,38333,0.0025342118601114905
2018-02-06,38360,39640,38340,39160,42685,-0.010111223458038388
2018-02-07,39840,39900,37620,37620,41676,-0.0393258426966292
2018-02-08,37520,38360,37520,38100,40335,0.012759170653907415
2018-02-09,37200,37500,36660,36780,33747,-0.03464566929133861
2018-02-12,37200,38339,36900,37600,35569,0.022294725394236048
2018-02-13,38780,39920,38240,39700,48889,0.05585106382978733
2018-02-14,40400,41000,40059,40740,34844,0.026196473551637345
2018-02-19,41760,41760,40180,40740,34810,0.0
2018-02-20,40820,40900,40140,40400,41540,-0.008345606283750584
2018-02-21,40500,40500,39280,40020,31759,-0.009405940594059414
2018-02-22,39600,39880,39440,39500,24560,-0.012993503248375782
2018-02-23,39240,40020,39240,39500,38726,0.0
2018-02-26,39920,39940,39479,39620,21754,0.0030379746835442756
2018-02-27,40120,40500,39820,39820,32477,0.005047955577990981
2018-02-28,39660,40220,39600,39900,47851,0.002009040683073726
2018-03-02,39000,39020,38400,38420,37218,-0.037092731829573955
2018-03-05,38320,38680,37580,37700,28243,-0.01874023945861536
2018-03-06,38080,39140,38080,38920,23531,0.03236074270557032
2018-03-07,40140,40700,39140,40300,33498,0.035457348406988665
2018-03-08,40640,40700,40100,40500,14368,0.00496277915632759
2018-03-09,40800,41740,40719,41600,24339,0.02716049382716057
2018-03-12,42340,42340,41600,42100,15674,0.012019230769230838
2018-03-13,42540,43380,42400,43380,29924,0.030403800475059306
2018-03-14,42900,43180,42700,42880,19847,-0.01152604887044717
2018-03-15,42880,43060,42340,42380,20152,-0.011660447761194015
2018-03-16,42160,42240,41160,41900,58027,-0.011326097215667796
2018-03-19,41900,42100,41520,41640,19470,-0.006205250596658662
2018-03-20,41440,42000,41320,42000,20666,0.008645533141210304
2018-03-21,42340,42400,42020,42120,38844,0.0028571428571428914
2018-03-22,42300,42680,42080,42140,30980,0.0004748338081670411
2018-03-23,41200,41460,40340,40600,28792,-0.03654485049833889
2018-03-26,40200,41120,39940,41120,21814,0.012807881773398977
2018-03-27,41340,41360,40400,40720,26176,-0.009727626459143934
2018-03-28,40200,40580,39740,40180,26390,-0.013261296660117883
2018-03-29,40180,40660,39760,40500,16908,0.007964161274265802
2018-03-30,40860,40980,40620,40800,9048,0.007407407407407307
2018-04-02,40700,40700,40100,40180,8016,-0.015196078431372495
2018-04-03,39820,40080,39400,40080,19319,-0.002488800398208091
2018-04-04,40140,40160,39060,39180,16444,-0.022455089820359264
2018-04-05,39520,40880,39460,40800,24534,0.04134762633996947
2018-04-06,40000,40600,39720,40240,28857,-0.013725490196078383
2018-04-09,40020,40740,39960,40700,14561,0.011431411530815172
