Open,High,Low,Close,Volume,Change
10035,10284,10035,10204,4419206,0.0251155314446454
10243,10326,10035,10246,3227805,0.004116032928263458
10245,10536,10161,10495,5403763,0.0243021666991996
8495,8578,7454,7464,50530551,-0.288804192472606
7221,7538,7079,7163,18468908,-0.040326902465166126
7187,7212,6279,6364,29134629,-0.11154544185397175
6362,6545,6212,6281,14759707,-0.013042111879321139
6345,6445,6245,6281,8444816,0.0
6272,6455,6255,6306,9666142,0.003980257920713326
6344,6370,6003,6014,13798957,-0.04630510624801776
6003,6178,5995,6106,10025307,0.015297638842700412
6136,6145,5953,5964,6287315,-0.023255813953488413
5954,6012,5813,5898,6637857,-0.01106639839034207
5895,6061,5895,6005,5657048,0.018141742963716512
6044,6062,5938,5998,3307806,-0.0011656952539550458
6037,6053,5953,5998,2996258,0.0
6012,6037,5961,5964,2548905,-0.0056685561853950794
5797,5872,5780,5831,5861512,-0.02230046948356812
5853,6161,5828,6106,8296736,0.04716172183158984
6113,6396,6038,6373,6668256,0.04372748116606617
6378,6554,6262,6472,6767442,0.015534285265965897
6562,6953,6528,6805,13534670,0.05145241038318904
6812,7079,6788,6989,11497815,0.027038941954445228
7061,7078,6837,6955,4841271,-0.004864787523250813
6954,6996,6821,6880,3120371,-0.010783608914450071
6928,7536,6919,7439,13862074,0.08125000000000004
7521,7687,7287,7497,8092749,0.007796746874579874
7561,7686,7452,7539,5135270,0.0056022408963585235
7587,7761,7521,7655,4913835,0.015386656055179637
7678,7752,7244,7522,7615464,-0.017374265186152815
7478,7486,7161,7205,6934177,-0.0421430470619516
7255,7345,7130,7214,3320063,0.0012491325468424463
7180,7313,7130,7264,2795093,0.006930967563071766
7328,7353,7220,7247,2427130,-0.002340308370044064
7271,7655,7255,7647,7612014,0.05519525320822405
7695,7703,7419,7480,4391204,-0.021838629527919484
7578,8111,7478,8055,16218980,0.07687165775401072
8011,8129,7745,7897,8976241,-0.01961514587212909
7503,8228,7503,8005,13343882,0.013676079523869733
8069,8293,7802,7871,7037453,-0.01673953778888193
7837,7837,7554,7655,6385467,-0.02744251048151447
7711,7944,7670,7805,4129682,0.019595035924232507
7869,7986,7819,7914,5144245,0.01396540679051883
7745,7978,7569,7664,5774654,-0.03158958807177159
7419,7469,7120,7347,7308063,-0.041362212943632515
7478,7487,7079,7081,5049369,-0.036205253845106866
6994,7411,6870,7238,5082924,0.022172009603163456
7044,7452,7036,7347,4859310,0.015059408676429964
7345,7354,7071,7088,4043534,-0.0352524840070777
7146,7221,7021,7022,2784321,-0.009311512415349887
7019,7411,7019,7389,3246090,0.05226431216177718
7463,7729,7413,7647,3869218,0.03491676816889977
7653,7777,7452,7488,3063777,-0.020792467634366374
7486,7544,7411,7480,2686745,-0.0010683760683760646
7428,7453,7328,7381,2178962,-0.013235294117647012
7403,7536,7370,7397,3289689,0.0021677279501421953
7494,7519,7270,7297,3808437,-0.013518994186832445
7355,7379,7130,7163,3511494,-0.018363711114156467
7154,7255,7112,7122,2967701,-0.0057238587184140766
7052,7069,6861,6872,4324767,-0.03510249929795006
6902,6953,6845,6864,2495741,-0.0011641443538998875
6895,7171,6629,7088,15982355,0.03263403263403264
7315,7720,7078,7192,15076750,0.0146726862302482
7248,7862,7248,7825,9028660,0.08801446051167972
7852,8098,7607,7702,8271068,-0.015718849840255622
7748,8287,7672,8278,8377280,0.07478576992988839
8183,8410,8126,8354,5143704,0.009180961584923875
8183,8296,7880,7957,5061991,-0.04752214508020114
7937,8041,7776,7967,3493077,0.0012567550584390297
7975,8041,7862,7967,2336285,0.0
8022,8022,7692,7722,4011729,-0.03075185138697123
7720,8060,7720,7882,5652567,0.02072002072002066
7937,7984,7824,7882,3749067,0.0
7880,8079,7824,7863,4518580,-0.0024105556965237085
7683,7776,7560,7570,5748926,-0.03726313112043744
7551,7664,7220,7410,6875869,-0.021136063408190187
7465,7824,7352,7618,8157473,0.02807017543859658
7616,7805,7465,7523,5309400,-0.012470464688894678
