Open,High,Low,Close,Volume,Change
36700,36750,36150,36450,153274,0.0013736263736263687
36600,36900,36400,36900,163358,0.012345679012345734
36850,37550,36750,37500,282051,0.016260162601626105
37450,37450,36600,36700,327978,-0.021333333333333315
36600,37000,36150,36350,249962,-0.009536784741144388
36300,36450,35950,36050,211486,-0.008253094910591452
36000,36500,35850,36350,142969,0.00832177531206657
36350,36400,35950,36200,175084,-0.004126547455295726
36050,36750,36050,36550,214847,0.00966850828729271
36800,37600,36400,36400,562774,-0.004103967168262668
36850,37300,36800,37050,287877,0.017857142857142794
37050,37050,36300,36600,216113,-0.012145748987854255
36800,37050,36350,36600,172158,0.0
36750,36900,36350,36400,212654,-0.005464480874316946
36300,36500,35900,35900,320480,-0.013736263736263687
35900,36150,35850,35950,251420,0.0013927576601671099
36050,36800,36050,36600,277570,0.018080667593880495
36400,36400,35900,36300,150158,-0.008196721311475419
36300,36600,35950,36600,183881,0.008264462809917328
36600,36800,36400,36700,138101,0.002732240437158362
36500,37000,36450,36700,228910,0.0
36800,36950,36550,36600,213929,-0.0027247956403270157
36800,37650,36750,37350,391282,0.020491803278688492
37750,38550,37650,38300,588408,0.025435073627844806
38100,38400,37750,37900,275443,-0.010443864229765065
37950,38250,37650,38050,248383,0.003957783641160839
38050,38200,37550,37700,293733,-0.009198423127463884
38050,39600,38050,39250,933490,0.04111405835543769
39850,40250,39600,39950,564496,0.017834394904458595
39850,40000,39300,39950,344875,0.0
39850,40100,39550,39850,291874,-0.0025031289111389077
40050,41250,40050,40750,650940,0.02258469259723972
40750,40800,40250,40700,226895,-0.0012269938650306678
40750,40850,39550,40050,292385,-0.01597051597051602
40150,42250,40000,42250,1195687,0.05493133583021215
42200,42800,41900,42300,513311,0.0011834319526626835
42500,43000,42300,42950,518447,0.015366430260047359
43100,43250,42100,43050,516499,0.002328288707799775
43400,44450,43400,43900,695364,0.019744483159117365
43600,44450,43250,43600,473204,-0.006833712984054663
42900,44000,42200,43550,682035,-0.0011467889908256534
43650,44000,42800,43650,425576,0.0022962112514350874
43250,43500,42050,42400,494547,-0.02863688430698741
41000,42400,40900,41950,537034,-0.010613207547169767
40950,41300,39500,41150,816369,-0.019070321811680557
42200,42200,40450,40700,580518,-0.010935601458080146
40700,41500,40500,40700,459490,0.0
39400,40450,39300,40000,386077,-0.017199017199017175
40500,41850,40250,41600,453043,0.040000000000000036
41700,41750,40400,40400,361937,-0.028846153846153855
40800,40850,40200,40700,246918,0.007425742574257432
41150,41850,41000,41300,387594,0.014742014742014753
41200,41250,40250,40500,230646,-0.01937046004842613
40450,41000,40100,40900,263527,0.009876543209876631
40350,40700,39750,40050,219483,-0.020782396088019572
40300,40750,39750,40750,346165,0.017478152309613026
41050,41050,40350,40600,169923,-0.0036809815950920033
40950,41300,40400,40500,194622,-0.0024630541871921707
40100,40400,39450,39600,263161,-0.022222222222222254
39000,39800,38600,39550,246215,-0.0012626262626262985
39300,39500,38500,38650,233316,-0.022756005056890016
39050,39700,38850,39350,254588,0.018111254851228997
39350,39500,38700,38850,225704,-0.01270648030495558
39200,39450,38600,39250,250230,0.01029601029601035
39800,40650,39350,40100,410167,0.021656050955414008
40600,41900,40250,41800,424952,0.04239401496259343
