Date,Open,High,Low,Close,Volume,Change
2017-12-01,263000,263500,258500,258500,100587,-0.005769230769230749
2017-12-04,259000,266500,259000,265500,121091,0.027079303675048294
2017-12-05,265500,267500,264500,266000,58290,0.0018832391713747842
2017-12-06,267500,268000,264000,264000,124151,-0.007518796992481258
2017-12-07,264000,267000,261500,262000,98902,-0.007575757575757569
2017-12-08,262000,265000,261500,263000,58106,0.003816793893129722
2017-12-11,264000,264500,262500,263500,65443,0.0019011406844107182
2017-12-12,264000,266000,263500,265000,106650,0.005692599620493288
2017-12-13,266000,267000,263000,266000,90318,0.0037735849056603765
2017-12-14,267000,268000,265000,265000,191287,-0.003759398496240629
2017-12-15,267500,268000,265500,268000,129843,0.01132075471698113
2017-12-18,268500,269000,266000,267000,59728,-0.003731343283582045
2017-12-19,267500,270000,266000,266000,95817,-0.0037453183520599342
2017-12-20,266500,269500,266000,268500,70654,0.009398496240601517
2017-12-21,267000,268500,267000,267500,57094,-0.003724394785847296
2017-12-22,269000,269000,266500,267500,67118,0.0
2017-12-26,267500,269500,267000,267000,95092,-0.0018691588785046953
2017-12-27,263000,264000,261000,264000,51941,-0.011235955056179803
2017-12-28,265000,267000,264000,267000,38802,0.011363636363636465
2018-01-02,268000,269500,263500,265500,45072,-0.005617977528089901
2018-01-03,263500,267500,263500,265500,76640,0.0
2018-01-04,267500,267500,262500,262500,85374,-0.011299435028248594
2018-01-05,261500,264500,259500,260500,88782,-0.007619047619047636
2018-01-08,261500,264000,261500,264000,46456,0.013435700575815668
2018-01-09,267500,272000,264500,272000,136190,0.030303030303030276
2018-01-10,271500,275500,271500,274000,118496,0.007352941176470562
2018-01-11,275500,277000,273000,277000,142737,0.010948905109489093
2018-01-12,278500,280500,276500,278500,157049,0.005415162454873723
2018-01-15,280500,282500,279000,281500,94021,0.010771992818671361
2018-01-16,281500,282000,278500,279500,108646,-0.007104795737122527
2018-01-17,279000,280500,277000,280000,74148,0.0017889087656528524
2018-01-18,278000,279500,275000,277500,80521,-0.008928571428571397
2018-01-19,274500,278500,274500,278000,56642,0.0018018018018017834
2018-01-22,278500,281500,277000,279500,120773,0.0053956834532373765
2018-01-23,280000,283500,278500,283500,131734,0.014311270125223707
2018-01-24,284000,287000,282500,284500,115955,0.003527336860670305
2018-01-25,285000,287000,284000,285000,82301,0.0017574692442883233
2018-01-26,281500,282000,278000,279500,100452,-0.019298245614035037
2018-01-29,280000,284500,278500,283000,73591,0.012522361359570633
2018-01-30,285000,285000,278000,279500,95408,-0.012367491166077715
2018-01-31,284500,291500,280500,289000,198838,0.03398926654740597
2018-02-01,289500,293000,289000,292000,73569,0.01038062283737018
2018-02-02,293500,294500,290000,294500,108630,0.008561643835616417
2018-02-05,297000,297500,290000,294000,93755,-0.001697792869269965
2018-02-06,296000,296000,287500,289500,93884,-0.015306122448979553
2018-02-07,286500,290500,280000,280500,145123,-0.031088082901554404
2018-02-08,279500,284000,278000,279000,81148,-0.005347593582887722
2018-02-09,273500,275500,272000,275000,63520,-0.014336917562724039
2018-02-12,275500,279500,273500,278000,43892,0.01090909090909098
2018-02-13,276000,279500,274500,277500,42325,-0.0017985611510791255
2018-02-14,277500,280500,274000,274500,58490,-0.010810810810810811
2018-02-19,280500,286000,276500,286000,76394,0.041894353369763104
2018-02-20,284500,285500,278000,280500,39707,-0.019230769230769273
2018-02-21,279500,288500,275000,287500,75650,0.024955436720142554
2018-02-22,284500,292500,284000,291500,98445,0.013913043478260834
2018-02-23,292000,294500,288000,293000,89093,0.005145797598627766
2018-02-26,293000,293000,287000,290000,86537,-0.010238907849829393
2018-02-27,287000,288000,285000,285000,91630,-0.017241379310344862
2018-02-28,283500,290000,283000,289000,113452,0.01403508771929829
2018-03-02,285000,285500,279500,284000,85548,-0.01730103806228378
2018-03-05,282000,285000,280500,281500,43757,-0.008802816901408494
2018-03-06,282500,284000,278000,278000,63770,-0.01243339253996445
2018-03-07,278500,281500,275500,276500,61786,-0.0053956834532373765
2018-03-08,279000,279000,272500,279000,112164,0.009041591320072317
