Date,Open,High,Low,Close,Volume,Change
2017-12-01,181611,191188,181611,191008,0,0.05647770704159916
2017-12-04,190014,191098,186309,189021,0,-0.010402705645836785
2017-12-05,189291,189472,185406,185407,0,-0.019119568725168068
2017-12-06,186490,188840,181702,181883,0,-0.01900683361469635
2017-12-07,183418,184501,174111,175286,0,-0.036270569541958286
2017-12-08,175191,182781,174830,177183,0,0.010822313248063153
2017-12-11,179352,185226,177997,185226,0,0.04539374544961983
2017-12-12,188749,189291,183147,185768,0,0.002926155075421377
2017-12-13,186305,190553,186125,189743,0,0.021397657292967498
2017-12-14,193810,194713,181702,189292,0,-0.0023768992795518695
2017-12-15,188112,194257,185492,190195,0,0.0047704076241996685
2017-12-18,192451,192905,188658,188659,0,-0.008075922079970543
2017-12-19,186129,188569,180436,185226,0,-0.018196852522275653
2017-12-20,183418,185496,181611,181611,0,-0.019516698519646325
2017-12-21,180166,181973,178269,178269,0,-0.018401969043725375
2017-12-22,178445,182962,177811,182424,0,0.023307473537182544
2017-12-26,184502,189021,176191,176191,0,-0.03416765337894134
2017-12-27,193515,203006,187986,202730,0,0.15062630894881113
2017-12-28,204481,207982,200979,203744,0,0.005001726434173515
2018-01-02,206047,209825,204757,208167,0,0.021708614732212972
2018-01-03,210930,227794,209272,227334,0,0.09207511277003566
2018-01-04,230007,240696,226044,230376,0,0.013381192430520716
2018-01-05,234890,246041,234061,245949,0,0.06759818731117817
2018-01-08,256637,279399,255440,278754,0,0.13338131075954762
2018-01-09,280136,294880,268341,269539,0,-0.03305782159179782
2018-01-10,279490,290272,262627,272764,0,0.011964873357844352
2018-01-11,275161,282902,270000,282902,0,0.03716766142159522
2018-01-12,299118,344640,292576,314692,0,0.11237106842652222
2018-01-15,316536,328147,302713,322526,0,0.024894182248039298
2018-01-16,314232,322894,308887,320130,0,-0.007428858448621178
2018-01-17,320129,320222,287969,288891,0,-0.09758223221816142
2018-01-18,284652,298014,281611,294236,0,0.0185017878715501
2018-01-19,294880,295617,262074,265208,0,-0.09865550102638698
2018-01-22,258941,267142,249265,258573,0,-0.025018099001538396
2018-01-23,264286,276542,261336,275529,0,0.06557529208386037
2018-01-24,285664,287507,268432,270460,0,-0.018397337485346332
2018-01-25,268433,271842,260139,266959,0,-0.012944612881756967
2018-01-26,264470,278016,260139,276450,0,0.03555227581763498
2018-01-29,270829,311006,270829,302529,0,0.09433532284319046
2018-01-30,307689,312389,299672,300963,0,-0.005176363257737293
2018-01-31,292668,296815,287969,290918,0,-0.033376195744991954
2018-02-01,290088,293313,273962,276266,0,-0.05036470758083034
2018-02-02,276726,282347,267234,277740,0,0.005335437585515468
2018-02-05,270368,276357,263549,263549,0,-0.05109454885864473
2018-02-06,254518,268340,250832,261890,0,-0.0062948446019526205
2018-02-07,268432,269078,235904,235904,0,-0.09922486540150444
2018-02-08,231572,251569,219777,250095,0,0.06015582609875203
2018-02-09,225646,255268,224338,250912,3403989,0.0032667586317198793
2018-02-12,257445,271384,257009,263546,2424531,0.050352314755770955
2018-02-13,266592,268336,256139,256141,1376607,-0.028097561715981323
2018-02-14,260495,273128,258317,272259,1969592,0.06292627888545765
2018-02-19,284016,284016,271385,275744,1544113,0.012800311468124104
2018-02-20,273127,277918,262237,264853,1247753,-0.03949677962167808
2018-02-21,264851,271385,263108,267903,832345,0.011515821984270591
2018-02-22,265722,273127,262237,267903,847344,0.0
2018-02-23,269206,280969,267466,277049,1120849,0.03413922203185482
2018-02-26,279662,285758,279227,284456,949391,0.026735342845489507
2018-02-27,290988,308847,287938,305800,2407960,0.07503445172539869
2018-02-28,298393,317560,297957,307543,2771524,0.005699803793328906
2018-03-02,307541,324093,305799,324097,2254398,0.0538266193670478
2018-03-05,336725,341518,311024,325403,3599925,0.004029657787637753
2018-03-06,327578,332370,312332,322354,2318246,-0.00936991976103474
2018-03-07,302312,306233,282711,283148,8709650,-0.12162405305967972
2018-03-08,288374,308412,287937,308414,8885656,0.08923248619096724
2018-03-09,301006,309282,281404,284020,4084665,-0.07909498271803483
2018-03-12,282276,290551,273128,280535,2956699,-0.012270262657559372
2018-03-13,279661,279661,265722,270952,3420140,-0.03415973051490906
2018-03-14,267028,275304,264414,267031,2185856,-0.01447119785054174
2018-03-15,272691,285324,270514,280971,2298186,0.052203676726672255
2018-03-16,283146,289680,279662,282278,1558380,0.004651725622929037
