Date,Open,High,Low,Close,Volume,Change
2017-12-01,48500,48500,47050,47100,1180171,-0.02685950413223137
2017-12-04,47650,48200,47400,48000,865120,0.019108280254777066
2017-12-05,48350,48500,48050,48500,718912,0.01041666666666674
2017-12-06,48500,48550,48100,48350,950238,-0.003092783505154628
2017-12-07,48350,48550,47900,48050,759540,-0.006204756980351611
2017-12-08,48050,48350,47800,48200,1171048,0.003121748178980255
2017-12-11,48200,48300,47800,48000,764634,-0.004149377593360981
2017-12-12,47850,48000,47650,47950,1342497,-0.0010416666666667185
2017-12-13,47750,48700,47750,48400,1133353,0.009384775808133572
2017-12-14,48700,50300,48550,49650,2608925,0.025826446280991844
2017-12-15,50100,50300,49900,50100,1914793,0.009063444108761365
2017-12-18,50000,50300,49500,50300,835121,0.003992015968063978
2017-12-19,50300,50600,50000,50400,939041,0.001988071570576455
2017-12-20,50400,50900,50100,50900,887024,0.009920634920634885
2017-12-21,50600,50900,50400,50700,908834,-0.003929273084479323
2017-12-22,51000,51000,50500,50700,662896,0.0
2017-12-26,50800,51400,50800,50900,953600,0.0039447731755424265
2017-12-27,49500,49650,48950,49500,722943,-0.027504911591355596
2017-12-28,49400,49500,48850,49400,752119,-0.002020202020202033
2018-01-02,49900,50000,49000,49400,533652,0.0
2018-01-03,49400,50100,49350,49950,684675,0.011133603238866474
2018-01-04,50300,50300,49400,49400,912529,-0.011011011011010985
2018-01-05,49650,50500,49600,50100,680197,0.014170040485830038
2018-01-08,50500,52000,50400,52000,1431877,0.03792415169660668
2018-01-09,52800,52800,52100,52300,1193498,0.005769230769230749
2018-01-10,52400,52900,52300,52500,906245,0.003824091778202643
2018-01-11,52500,52500,51700,52000,1057034,-0.00952380952380949
2018-01-12,53400,53500,52700,53000,1016178,0.019230769230769162
2018-01-15,53500,53500,52500,53300,517193,0.005660377358490676
2018-01-16,53300,53300,51600,52200,810085,-0.0206378986866792
2018-01-17,51600,52800,51600,52700,709354,0.009578544061302763
2018-01-18,52300,53000,51000,51100,1415316,-0.030360531309297945
2018-01-19,52500,53000,51900,52900,1050435,0.03522504892367917
2018-01-22,53700,53700,51600,51800,977376,-0.020793950850661602
2018-01-23,52300,53000,52000,53000,898072,0.02316602316602312
2018-01-24,53000,53100,52200,52700,719303,-0.005660377358490565
2018-01-25,52100,52700,51600,51900,753284,-0.015180265654648917
2018-01-26,51400,52200,51200,51800,891158,-0.0019267822736031004
2018-01-29,52500,53200,52400,52700,865037,0.01737451737451745
2018-01-30,52700,53700,52700,53400,1482202,0.013282732447817747
2018-01-31,53200,53300,51500,53300,1349913,-0.0018726591760299671
2018-02-01,52800,53300,52400,52600,948577,-0.013133208255159512
2018-02-02,52600,53000,52000,52800,725289,0.0038022813688212143
2018-02-05,52800,53300,52300,52500,807406,-0.005681818181818232
2018-02-06,51700,51800,49700,50600,1225465,-0.03619047619047622
2018-02-07,51300,51400,49350,49400,1148106,-0.02371541501976282
2018-02-08,48800,50400,48650,49600,1348592,0.004048582995951344
2018-02-09,48450,48850,47250,47800,1362972,-0.03629032258064513
2018-02-12,47950,48700,47750,48350,739355,0.011506276150627714
2018-02-13,48400,48900,47900,47900,1109326,-0.009307135470527417
2018-02-14,47450,47950,47150,47300,1602309,-0.012526096033402934
2018-02-19,48100,48250,47800,48100,745849,0.016913319238900604
2018-02-20,48100,48400,47700,48200,719554,0.0020790020790020236
2018-02-21,48200,48300,47350,48150,821473,-0.0010373443983402453
2018-02-22,47750,48100,47550,47750,699030,-0.00830737279335414
2018-02-23,47850,48600,47650,48450,746896,0.014659685863874339
2018-02-26,48900,48900,47400,47450,1321986,-0.02063983488132093
2018-02-27,47500,47950,46950,46950,1163607,-0.010537407797681753
