Date,Open,High,Low,Close,Volume,Change
2017-12-01,4436,4436,4228,4327,157882,-0.03199105145413872
2017-12-04,4294,4414,4239,4360,134364,0.007626531083891885
2017-12-05,4338,4381,4283,4305,79584,-0.012614678899082521
2017-12-06,4304,4338,4206,4305,170107,0.0
2017-12-07,4283,4502,4216,4437,186081,0.030662020905923404
2017-12-08,4425,4425,4194,4240,151376,-0.04439936894297947
2017-12-11,4184,4304,4184,4218,71974,-0.00518867924528299
2017-12-12,4195,4239,4097,4141,132489,-0.018255097202465653
2017-12-13,4119,4316,4119,4261,153536,0.028978507606858273
2017-12-14,4272,4480,3406,3407,336730,-0.20042243604787613
2017-12-15,4338,4381,4294,4327,223263,0.2700322864690343
2017-12-18,4338,4391,4239,4305,106381,-0.005084354055927887
2017-12-19,4272,4348,4128,4174,145592,-0.030429732868757275
2017-12-20,4162,4305,4150,4196,97669,0.005270723526593191
2017-12-21,4150,4206,4097,4152,74014,-0.010486177311725409
2017-12-22,4206,4261,4130,4229,115106,0.018545279383429758
2017-12-26,4261,4338,4228,4283,175224,0.012768976117285336
2017-12-27,4162,4195,4053,4141,116048,-0.03315433107634835
2017-12-28,4119,4239,4053,4086,104181,-0.013281815986476708
2018-01-02,4064,4119,4031,4086,105644,0.0
2018-01-03,3954,4173,3954,4119,148554,0.008076358296622566
2018-01-04,4162,4162,3987,3999,86103,-0.029133284777858703
2018-01-05,4053,4063,3943,4020,92541,0.005251312828207011
2018-01-08,4108,4381,4031,4382,279475,0.090049751243781
2018-01-09,4349,4349,4184,4196,185590,-0.042446371519853976
2018-01-10,4206,4239,4108,4218,82370,0.00524308865586276
2018-01-11,4228,4239,4085,4130,100231,-0.020862968231389334
2018-01-12,4119,4195,4064,4097,82310,-0.007990314769975804
2018-01-15,4162,4217,4075,4196,125527,0.024164022455455125
2018-01-16,4184,4217,4119,4163,78060,-0.00786463298379414
2018-01-17,4130,4162,4097,4108,90742,-0.013211626231083407
2018-01-18,4108,4130,4075,4075,96103,-0.008033106134371915
2018-01-19,4108,4140,4075,4141,63450,0.016196319018404903
2018-01-22,4130,4140,4009,4097,108334,-0.010625452789181367
2018-01-23,4107,4194,4063,4152,120060,0.013424456919697292
2018-01-24,4162,4381,4162,4371,281904,0.05274566473988429
2018-01-25,4369,4491,4349,4459,225241,0.020132692747655057
2018-01-26,4447,4853,4447,4754,403567,0.06615833146445382
2018-01-29,4754,4995,4754,4974,209901,0.04627681952040397
2018-01-30,4973,5061,4754,4919,162919,-0.011057498994772819
2018-01-31,4918,4918,4612,4831,184433,-0.017889815003049425
2018-02-01,4765,4885,4765,4798,96414,-0.006830883874974103
2018-02-02,4765,4820,4633,4667,127625,-0.0273030429345561
2018-02-05,4633,4765,4447,4524,160354,-0.03064066852367686
2018-02-06,4469,4601,4360,4546,158366,0.004862953138815129
2018-02-07,4546,4710,4381,4404,118861,-0.031236251649802038
2018-02-08,4371,4502,4228,4404,106517,0.0
2018-02-09,4371,4568,4305,4404,161777,0.0
2018-02-12,4414,4524,4239,4404,109196,0.0
2018-02-13,4316,4371,4217,4229,228207,-0.039736603088101674
2018-02-14,4206,4403,4206,4393,113190,0.038779853393237085
2018-02-19,4447,4447,4261,4338,67427,-0.012519918051445478
2018-02-20,4316,4381,4250,4261,53560,-0.017750115260488752
2018-02-21,4261,4349,4217,4294,55038,0.007744660877728293
2018-02-22,4282,4316,4217,4283,48605,-0.002561714019562178
2018-02-23,4294,4381,4272,4338,72652,0.012841466261965806
2018-02-26,4338,4371,4272,4349,96304,0.0025357307514983773
2018-02-27,4601,4754,4469,4568,196831,0.05035640377098183
2018-02-28,4557,4743,4436,4579,169501,0.0024080560420314256
2018-03-02,4480,4601,4425,4470,117020,-0.023804324088228856
2018-03-05,4414,4666,4414,4492,145466,0.004921700223713632
2018-03-06,4568,4655,4491,4557,93993,0.014470169189670479
2018-03-07,4502,4622,4447,4448,86546,-0.023919245117401844
2018-03-08,4502,4502,4349,4382,100581,-0.014838129496402841
2018-03-09,4458,4677,4435,4612,191710,0.0524874486535829
2018-03-12,4655,4655,4513,4568,88015,-0.009540329575021711
2018-03-13,4568,4568,4425,4448,106453,-0.02626970227670755
2018-03-14,4447,4469,4348,4393,90496,-0.012365107913669071
2018-03-15,4392,4820,4360,4798,251945,0.09219212383337116
2018-03-16,4842,4842,4546,4557,159700,-0.05022926219258028
2018-03-19,4612,4776,4579,4689,148424,0.02896642527978943
2018-03-20,4644,4809,4644,4722,94920,0.00703774792066536
2018-03-21,4688,4743,4590,4645,69105,-0.01630664972469298
2018-03-22,4612,4765,4601,4678,70737,0.007104413347685634
2018-03-23,4677,4864,4557,4809,180508,0.028003420265070522
2018-03-26,4743,5028,4633,4853,233820,0.009149511332917415
2018-03-27,4842,5203,4820,4930,303462,0.01586647434576549
2018-03-28,4929,5346,4874,5226,435978,0.06004056795131851
2018-03-29,5225,5247,4853,5149,350451,-0.014734022196708718
2018-03-30,5170,5291,5050,5236,105290,0.01689648475432115
2018-04-02,5159,5335,5115,5193,88714,-0.008212375859434684
2018-04-03,5159,5247,5061,5127,66987,-0.012709416522241446
2018-04-04,5083,5094,4962,4974,134116,-0.029842012873025126
2018-04-05,5017,5214,4918,5006,111061,0.006433453960595026
2018-04-06,5192,5192,4973,5061,39853,0.010986815821014684
2018-04-09,5061,5061,4940,5006,72950,-0.010867417506421617
2018-04-10,4995,5170,4940,5160,102228,0.030763084298841337
2018-04-11,5094,5148,4984,5006,80229,-0.02984496124031011
2018-04-12,5006,5050,4962,4974,78037,-0.006392329204954028
2018-04-13,4951,4995,4853,4974,129750,0.0
2018-04-16,4918,4984,4809,4875,159975,-0.019903498190591118
2018-04-17,4885,4929,4776,4842,105992,-0.00676923076923075
2018-04-18,4940,5433,4874,5182,602820,0.07021891780256095
2018-04-19,5367,6407,5313,5631,2248527,0.0866460825935933
2018-04-20,5795,5937,5302,5532,876068,-0.01758124667021843
2018-04-23,5838,6122,5367,5412,1145011,-0.021691973969631184
2018-04-24,5389,5532,5258,5291,563462,-0.022357723577235755
2018-04-25,5324,5411,5236,5280,408571,-0.0020790020790020236
2018-04-26,5477,5915,5389,5543,1151528,0.049810606060606055
2018-04-27,5543,5981,5389,5456,1059482,-0.01569547176619157
2018-04-30,5696,6649,5641,6540,2093454,0.1986803519061584
2018-05-02,6923,7668,6540,6913,1810352,0.05703363914373094
2018-05-03,6803,7076,6419,6639,677889,-0.039635469405467916
2018-05-04,6770,7208,6638,7011,676279,0.05603253502033434
2018-05-08,6792,7285,6726,6934,650434,-0.010982741406361463
2018-05-09,6978,7153,6572,6847,664124,-0.012546870493221784
2018-05-10,7022,7339,6934,7154,751701,0.044837154958375924
2018-05-11,7076,7646,6934,7482,700909,0.045848476376852076
2018-05-14,7569,9081,7460,8457,1964124,0.13031275060144343
2018-05-15,8501,8862,8105,8293,1308889,-0.019392219463166604
2018-05-16,7591,8150,7372,7471,1516683,-0.09911973953937059
2018-05-17,7547,8292,7471,7647,1417634,0.023557756659081885
2018-05-18,7832,7975,7339,7668,793152,0.002746174970576609
2018-05-21,7547,7635,7241,7471,716671,-0.025691184141888312
