Open,High,Low,Close,Volume,Change
310500,316000,305000,312500,98415,0.01132686084142387
316500,338500,316000,337000,606655,0.07840000000000003
338000,339500,332500,336500,244899,-0.0014836795252225476
338000,338500,329000,333000,157499,-0.010401188707280795
335000,337000,320000,321500,218719,-0.03453453453453459
322500,325000,318000,319000,129863,-0.007776049766718529
322000,325000,317000,324500,97732,0.01724137931034475
320500,323500,303500,311500,334464,-0.04006163328197232
312000,319500,311500,319500,172938,0.025682182985553803
319000,325000,317000,319500,254634,0.0
322500,323000,312500,313500,140886,-0.018779342723004744
321000,325000,317000,317000,106013,0.011164274322169154
320000,320500,308000,314500,118903,-0.007886435331230235
308000,310500,303500,305500,240761,-0.02861685214626386
306000,307000,299000,300500,139665,-0.016366612111292977
299500,300500,287000,299000,164525,-0.004991680532445919
299000,304000,297500,298000,99181,-0.0033444816053511683
292500,302000,292500,302000,82366,0.01342281879194629
302000,307000,300000,304500,81715,0.008278145695364225
312000,314000,310000,312500,96717,0.026272577996715896
307000,315500,306500,311500,110395,-0.0031999999999999806
314000,314000,299000,299000,199790,-0.0401284109149278
299500,303500,299000,300000,118881,0.0033444816053511683
300000,301500,295500,300000,116247,0.0
299000,301000,297000,298000,185727,-0.00666666666666671
299000,307500,299000,305500,311863,0.025167785234899265
307000,313000,306500,307500,203999,0.00654664484451728
309000,309500,299500,300000,171967,-0.024390243902439046
300000,302000,298000,299000,138348,-0.0033333333333332993
299500,307500,299000,305000,142557,0.02006688963210701
303000,307000,301500,304000,139237,-0.003278688524590123
305000,308000,302000,307500,123510,0.011513157894736947
305500,312000,304000,309500,229427,0.006504065040650486
314500,317500,311000,313000,173946,0.011308562197092087
313500,315000,309000,313000,180452,0.0
312000,312500,302500,305500,213350,-0.02396166134185307
303000,310500,302500,310000,118147,0.014729950900163713
310000,314000,308000,312000,116354,0.006451612903225712
312500,314000,309000,311500,128833,-0.0016025641025640969
311500,313000,309000,309500,112114,-0.006420545746388395
306500,308500,295500,299500,319497,-0.03231017770597733
299500,302500,298500,300000,234176,0.0016694490818029983
302500,305500,300000,302000,193361,0.006666666666666599
300500,300500,296000,299500,164903,-0.008278145695364225
293500,298500,285500,296000,228586,-0.011686143572620988
297500,298500,280000,281500,208904,-0.048986486486486513
281500,288000,278500,288000,192545,0.023090586145648295
279500,283500,279500,281000,136733,-0.02430555555555558
279500,284000,273000,274500,216137,-0.02313167259786475
275000,276000,269000,271500,155474,-0.010928961748633892
273000,280000,271500,279500,113634,0.02946593001841613
286000,286000,275000,277500,119729,-0.007155635062611854
277500,278500,272500,275500,77326,-0.007207207207207245
279500,297500,279000,294500,273540,0.06896551724137923
291500,299000,288000,294000,161104,-0.001697792869269965
297000,299000,284000,292500,127679,-0.005102040816326481
294000,302000,291000,298000,166552,0.018803418803418737
300000,301000,293000,293500,87509,-0.015100671140939603
293500,293500,281500,281500,191531,-0.040885860306643984
278500,281500,274000,275500,156038,-0.02131438721136769
276000,279500,274000,276500,125875,0.003629764065335772
275500,279000,275500,278000,120242,0.005424954792043302
275000,288000,273500,282500,200737,0.01618705035971213
285000,294000,285000,289000,178430,0.023008849557522026
294500,302000,292000,301000,563866,0.04152249134948094
306000,310500,304000,308000,254144,0.023255813953488413
308000,310500,304000,307500,190453,-0.0016233766233766378
305000,309500,300000,301500,109281,-0.019512195121951237
302000,311000,299000,309000,171316,0.02487562189054726
311000,312000,306000,309500,138752,0.0016181229773462036
310000,310500,304500,304500,83613,-0.016155088852988664
287000,302000,287000,300500,232860,-0.013136288998357948
297500,303000,297000,299500,79681,-0.0033277870216306127
299500,304000,295000,297000,210316,-0.008347245409014992
