Open,High,Low,Close,Volume,Change
39680,40979,38661,40331,550113,0.0175345645372893
40098,40284,38336,39172,510929,-0.02873719967270838
39078,39588,37641,38059,365130,-0.028413152251608342
37594,38893,36807,37086,418430,-0.02556556924774689
37177,37641,35230,37225,455099,0.0037480450843985214
37409,37502,36343,36529,184522,-0.01869711215580927
36343,38985,35786,38430,460806,0.052040844260724306
38753,39310,37919,38477,246627,0.0012230028623472222
39217,39263,38383,38940,292402,0.012033162668607211
39078,39078,37872,38059,434058,-0.02262455059065227
38104,38429,36992,37271,301624,-0.02070469534144359
37594,37826,36250,36297,303537,-0.026132918354753065
36435,36945,35138,35973,408747,-0.008926357550210762
36250,37085,35740,36344,305667,0.010313290523448204
36575,36575,34118,34443,743420,-0.052305745102355305
34025,37038,33979,36854,548566,0.06999970966524405
37085,37780,36389,36529,618361,-0.008818581429424266
37734,39403,37270,39357,710089,0.07741794190916806
39263,40608,39031,39682,595265,0.008257743222298553
40330,40701,39774,39960,399972,0.007005695277455759
40376,40422,37966,39172,638789,-0.019719719719719753
39125,39125,37177,37178,399792,-0.05090370672929645
37363,38707,37363,38059,316988,0.02369680994136325
38429,38475,36621,36947,402388,-0.029217793425996508
36945,37502,36204,36529,302249,-0.011313503126099578
36853,36853,35416,36529,307940,0.0
36853,38058,35972,38013,459524,0.04062525664540506
38568,38568,36899,38337,444202,0.008523399889511563
38336,38568,37502,38291,345710,-0.0011998852283694461
38429,41674,37966,40655,1917884,0.06173774516204844
40933,42323,40284,40795,1075198,0.0034436108719715364
41720,41720,39727,40563,537505,-0.005686971442578792
40793,40933,38522,38940,780381,-0.04001183344427184
38939,38985,37456,38245,460088,-0.017847971237801796
38568,39171,38336,39125,330985,0.023009543731206783
39495,40608,38151,38569,612632,-0.014210862619808307
38522,38615,37548,38291,453556,-0.00720786123570738
38429,39217,38058,39079,341471,0.02057924838734948
39588,39866,38707,38755,366245,-0.0082908979247166
38429,38475,37548,37596,436805,-0.02990581860405106
36621,37919,36621,37874,313600,0.0073944036599638
38012,38151,37085,37781,293934,-0.0024555103765115938
37966,37966,36621,37410,252144,-0.0098197506683253
36111,36667,32403,32403,816380,-0.133841218925421
30270,33284,29250,32450,1145064,0.0014504829799710794
33608,33608,30502,30503,600758,-0.06000000000000005
30224,32403,30131,31616,476448,0.036488214274005726
29993,31151,29853,30735,349100,-0.027865637651821817
30966,31383,30688,30735,292748,0.0
31429,31476,29158,29158,410657,-0.05130958190987478
29158,30177,28555,30179,357478,0.03501611907538238
31058,31429,30780,31338,331581,0.03840418834288739
31383,32079,30920,31106,241491,-0.007403152721935036
31104,31800,30920,31569,173047,0.014884588182344283
31198,31476,30780,31476,173868,-0.002945927967309747
31522,32171,31151,32171,164464,0.02208031516075737
32403,32681,31476,32079,185462,-0.0028597183799073944
32449,32820,31800,32219,224906,0.004364225817512946
32125,32125,29667,30503,483041,-0.05326049846363945
29807,30641,29482,30596,306229,0.003048880437989787
30595,30826,29621,29622,165583,-0.031834226696300205
30224,31985,30224,31106,619919,0.050097900209303825
31336,31383,30270,30503,418168,-0.019385327589532597
30920,31985,30131,31616,490623,0.036488214274005726
31893,33469,31661,33099,770788,0.046906629554655854
33654,35416,33654,34583,633940,0.04483519139551051
34767,36992,34349,36391,740701,0.052280021976115476
36435,38151,36435,37410,699750,0.028001428924734117
37409,38847,36621,38430,550895,0.027265437048917374
38429,38661,37177,37503,834603,-0.024121779859484827
37038,37734,36621,36900,238947,-0.016078713702903813
36435,38568,36297,38291,394686,0.03769647696476963
38939,39263,37594,37642,358761,-0.016949152542372836
38058,40284,38058,39125,917745,0.0393974815365814
38197,39542,37548,38013,667391,-0.028421725239616613
38568,39310,37548,39311,434594,0.034146213137610903
40098,40098,38244,38291,446490,-0.025946935972119722
37409,37688,35926,36575,736668,-0.04481470841712154
36343,36435,34257,35973,732707,-0.016459330143540618
36575,37085,35462,36112,423423,0.003864009117949596
36807,37641,35833,36483,514268,0.010273593265396563
35694,36435,35277,36297,199404,-0.005098264945316955
36713,36713,34164,34305,364451,-0.0548805686420365
34999,35554,34581,34953,201848,0.018889374726716257
34952,35184,33932,34861,176434,-0.0026321059708751537
34767,35045,33793,34443,183152,-0.011990476463670019
34535,35323,34303,34814,164801,0.010771419446621966
34952,36713,34906,36575,355310,0.05058309875337508
36158,36899,35972,36575,282211,0.0
