Open,High,Low,Close,Volume,Change
115500,123500,115500,120000,154816,0.048034934497816595
122000,123000,117500,118500,75335,-0.012499999999999956
117500,120500,116000,116500,84061,-0.016877637130801704
119000,122000,111500,112000,129920,-0.03862660944206009
112500,116000,112000,115000,108304,0.02678571428571419
113500,116000,113000,114000,72500,-0.008695652173912993
112000,118500,112000,118500,53082,0.03947368421052633
116500,119000,115500,118500,101288,0.0
117000,119500,117000,117500,73418,-0.008438818565400852
116000,122500,116000,116500,152132,-0.008510638297872353
118000,121000,116500,117000,145418,0.0042918454935623185
117000,121000,116500,119500,65204,0.02136752136752129
121000,121000,117000,117500,76008,-0.01673640167364021
116500,117000,112500,116000,56203,-0.012765957446808529
114500,116500,110500,111000,66789,-0.0431034482758621
112000,114000,105500,113500,83414,0.022522522522522515
111500,111500,107500,108500,112219,-0.04405286343612336
107000,109000,104000,105000,83970,-0.032258064516129004
105500,105500,103500,104500,107434,-0.004761904761904745
104500,107500,104500,107000,96061,0.02392344497607657
105000,106500,103500,104000,75566,-0.028037383177570097
105000,105000,100000,101000,135389,-0.028846153846153855
101000,102000,98400,101500,102044,0.004950495049504955
103000,104000,101500,103000,63501,0.014778325123152802
103000,106500,101000,106500,127783,0.03398058252427183
105000,107000,102500,104500,80737,-0.018779342723004744
106500,110500,104500,108500,102912,0.038277511961722466
107500,110000,104500,106000,122191,-0.02304147465437789
108000,110500,106500,109500,72874,0.03301886792452824
109000,112000,109000,109500,55818,0.0
108000,110500,107000,110500,74176,0.009132420091324311
109500,113500,109000,112500,64537,0.018099547511312153
112000,116000,111500,115000,81720,0.022222222222222143
115000,118500,113000,113500,65413,-0.013043478260869601
113500,118000,113500,117000,60130,0.03083700440528636
119000,119000,112000,112500,64454,-0.038461538461538436
112000,115000,110500,112500,61180,0.0
112000,117500,112000,116000,73178,0.03111111111111109
117500,120000,116500,119000,64836,0.02586206896551735
119500,120500,114500,117000,54387,-0.01680672268907568
118000,118500,107500,117000,71930,0.0
117000,121000,116500,121000,68693,0.03418803418803429
122000,128000,121000,125000,195758,0.03305785123966931
125000,125000,121000,122000,66176,-0.02400000000000002
122000,122000,115000,120500,114528,-0.012295081967213073
119500,124500,119000,120500,109111,0.0
125000,125000,117500,120500,77098,0.0
114500,120000,114500,115500,140674,-0.04149377593360992
115500,118000,107000,108500,134903,-0.06060606060606055
109500,112000,108500,110000,86918,0.01382488479262678
110500,110500,102000,104500,373256,-0.050000000000000044
106000,106500,104000,106000,94210,0.014354066985645897
105500,107000,105000,106500,55574,0.004716981132075526
108000,115500,106500,113000,146949,0.06103286384976525
112000,114000,108000,112500,67414,-0.004424778761061954
113000,117000,111500,114000,58761,0.01333333333333342
113500,116500,112000,116000,43225,0.01754385964912286
115000,118000,112000,112500,63603,-0.030172413793103425
110500,114000,107500,108000,94441,-0.040000000000000036
105500,110500,105500,109000,47751,0.0092592592592593
108000,113000,108000,110000,46680,0.00917431192660545
109500,111000,106000,107000,55402,-0.027272727272727226
105500,110000,105000,106500,85552,-0.004672897196261627
108000,114500,107500,112000,113625,0.05164319248826299
112000,119500,112000,118000,79537,0.0535714285714286
118500,120000,115500,117500,65057,-0.004237288135593209
116000,117500,112500,113000,72505,-0.03829787234042559
113000,114500,108000,109000,79049,-0.03539823008849563
110500,118500,110000,117000,99174,0.07339449541284404
120000,121500,117000,120000,104518,0.02564102564102555
118500,123500,117500,120500,91121,0.004166666666666652
119000,123500,115000,121500,56199,0.008298755186721962
119500,121500,119000,119000,48359,-0.020576131687242816
119000,122000,119000,120000,36131,0.008403361344537785
117000,120000,117000,117500,62247,-0.02083333333333337
118500,124000,117500,122000,78965,0.038297872340425476
122000,127500,121500,126500,99252,0.03688524590163933
124500,128000,123000,127000,73212,0.0039525691699604515
128500,129000,124000,128000,74556,0.007874015748031482
129500,130000,126500,128000,51549,0.0
130000,136000,127500,132000,106415,0.03125
132000,138000,131000,135500,117505,0.026515151515151603
132000,134000,125000,128000,155672,-0.05535055350553508
128500,131500,123500,125500,116418,-0.01953125
124000,127000,118500,125500,157655,0.0
124000,125500,122000,125000,57208,-0.003984063745019917
123500,130000,123500,129000,94496,0.03200000000000003
126500,129500,125500,126000,125286,-0.023255813953488413
127000,128000,124500,125000,60284,-0.007936507936507908
124500,129500,123000,128000,85466,0.02400000000000002
127500,129500,126500,128500,29169,0.00390625
128000,129500,126000,128000,35037,-0.0038910505836575737
127500,131000,127000,129000,85864,0.0078125
128000,131000,121000,121500,76753,-0.05813953488372092
123000,126000,121500,126000,51316,0.03703703703703698
126000,127500,122000,124500,52236,-0.011904761904761862
124500,128500,124500,127500,53725,0.024096385542168752
128500,128500,124000,125000,41883,-0.019607843137254943
125000,125000,119000,119000,105844,-0.04800000000000004
120000,124500,119000,123000,113261,0.03361344537815136
123000,126000,122500,124500,48388,0.012195121951219523
125000,128000,124500,127500,44602,0.024096385542168752
128000,129000,121500,121500,59074,-0.04705882352941182
121500,126000,120000,124000,81698,0.020576131687242816
