Open,High,Low,Close,Volume,Change
53700,69800,51000,69800,59402373,
69800,89100,69000,78500,44833696,0.12464183381088834
81800,85600,68000,71400,26495122,-0.09044585987261144
71200,77500,68100,74400,21592734,0.04201680672268915
73600,75400,72700,73800,5878196,-0.008064516129032251
73500,78600,73500,76600,10907993,0.03794037940379402
78100,88300,77500,87400,24272931,0.14099216710182771
89600,94400,83800,84500,21008684,-0.03318077803203656
87300,92300,86400,92000,13606690,0.08875739644970415
92800,94000,88600,91000,15815275,-0.010869565217391353
91900,92800,87900,89800,4868621,-0.01318681318681314
90000,90000,84700,85400,6553145,-0.04899777282850781
84500,84600,81500,82100,6086152,-0.03864168618266983
83400,85300,82100,83400,4255489,0.015834348355663774
82500,84400,82500,83800,2174014,0.004796163069544335
84000,84300,81600,81900,1782049,-0.022673031026252954
81000,83900,80900,83900,1768789,0.024420024420024333
83800,88900,82900,88800,6376407,0.05840286054827182
81800,83600,81000,81900,22859096,-0.07770270270270274
82900,83000,80200,80800,3987547,-0.013431013431013383
77000,78400,76000,77400,5252682,-0.04207920792079212
77300,77300,72600,73000,6001690,-0.056847545219638196
73400,75800,71400,72300,5849714,-0.009589041095890427
71300,73000,70300,72000,5748242,-0.004149377593360981
71000,72400,68100,68900,6750339,-0.043055555555555514
67800,67800,64500,64600,4628803,-0.062409288824383125
63600,72300,63300,69700,10421448,0.07894736842105265
70100,73200,69000,69000,5077664,-0.010043041606886627
69900,70000,66700,67100,2452019,-0.02753623188405796
67100,68600,65000,68000,2461251,0.013412816691505292
66900,67200,66200,66400,1281700,-0.02352941176470591
67100,69500,67000,69000,2125450,0.03915662650602414
69000,69700,67500,69700,1323980,0.010144927536231974
70100,71200,69300,70600,1906190,0.012912482065997155
69300,69800,68300,69300,1151274,-0.018413597733711096
69000,69200,68000,68400,804698,-0.012987012987012991
67800,67900,65500,65500,1363624,-0.042397660818713434
63600,64400,59800,60000,3119650,-0.08396946564885499
60200,60900,57100,58000,2152044,-0.033333333333333326
58200,60400,58200,60000,1664418,0.034482758620689724
60100,60100,57000,57000,2221905,-0.050000000000000044
55800,56300,54100,55300,2807832,-0.029824561403508754
55200,56900,55200,55900,1242641,0.010849909584086825
56200,59000,56100,59000,1626758,0.05545617173524153
60300,60600,58100,60100,1870593,0.01864406779661021
60500,60600,58800,60000,902398,-0.0016638935108153063
60500,61800,60000,61300,1311776,0.021666666666666723
61300,62800,59300,59700,1812030,-0.02610114192495927
60100,60800,59900,60200,690989,0.008375209380234505
60300,60800,59900,60100,653922,-0.0016611295681062677
60300,60400,58900,59900,677825,-0.0033277870216306127
60300,61900,59900,61900,1088174,0.03338898163606019
61900,62800,61100,62000,971439,0.001615508885298933
62300,65600,62100,64600,2673129,0.041935483870967794
64800,65200,62600,63100,1503557,-0.023219814241486114
63300,64400,63000,63900,958229,0.01267828843106189
64200,64500,64000,64100,902143,0.003129890453834161
