Open,High,Low,Close,Volume,Change
180000,230000,173000,193000,11799881,
190000,191000,166000,169000,3487030,-0.12435233160621761
167500,179000,167500,170000,1597937,0.00591715976331364
168500,169500,152000,153500,1394625,-0.09705882352941175
153500,157500,146000,147000,892617,-0.04234527687296419
148000,153500,147000,150500,615031,0.023809523809523725
148000,150000,140000,145500,768779,-0.03322259136212624
146000,158000,146000,157500,705982,0.08247422680412364
157500,166000,155000,163000,472684,0.03492063492063502
163500,170000,160000,166500,497032,0.021472392638036908
170000,174000,167500,171000,575581,0.027027027027026973
171000,173500,165000,172500,274048,0.00877192982456143
172000,176500,169500,173500,302251,0.005797101449275255
172500,173000,166000,170000,216939,-0.02017291066282423
167500,177000,167000,177000,388843,0.04117647058823537
178500,188000,177000,183000,694628,0.03389830508474567
185500,229500,183000,216500,2164946,0.18306010928961758
213000,243500,207000,222500,3201357,0.02771362586605086
221000,240000,216000,238500,1259486,0.07191011235955047
240500,248500,216500,218000,1395664,-0.08595387840670865
221000,229500,203500,207500,1100138,-0.04816513761467889
204000,214500,198000,208000,692763,0.002409638554216942
201000,206000,197000,204500,1076728,-0.016826923076923128
200500,205000,194500,201500,582451,-0.014669926650366705
201500,204000,193500,194500,507608,-0.0347394540942928
195500,203000,190000,202000,726919,0.03856041131105403
199000,216000,199000,208500,1752401,0.03217821782178221
195000,200000,193500,196000,2217271,-0.05995203836930452
192000,194500,187000,190000,662983,-0.030612244897959218
188000,192500,175500,178500,598053,-0.06052631578947365
177500,183000,177000,180000,369689,0.008403361344537785
182500,186000,182000,184500,297229,0.02499999999999991
182000,184000,173000,177000,502516,-0.04065040650406504
175500,176000,171000,172500,246385,-0.025423728813559365
173500,176000,170500,171000,161986,-0.008695652173912993
172000,173500,166000,167500,255618,-0.020467836257309968
168500,175500,165000,174500,385455,0.04179104477611939
174500,175500,169000,169000,230914,-0.03151862464183386
169500,171500,168000,168500,152906,-0.00295857988165682
170000,181500,169500,181500,514305,0.0771513353115727
179500,183500,176500,176500,248828,-0.02754820936639113
176500,179000,172000,174500,363144,-0.011331444759206777
174500,178000,173500,176500,238214,0.011461318051575908
175000,175500,168000,169000,320863,-0.04249291784702547
168000,168000,156000,158000,613883,-0.0650887573964497
154500,156500,151000,152000,368852,-0.03797468354430378
152000,157500,152000,153500,237479,0.009868421052631637
152000,152500,145000,148500,323493,-0.032573289902280145
149000,153000,146000,149500,308114,0.006734006734006703
152000,159500,151500,154500,396361,0.03344481605351168
155000,155500,146000,147000,409374,-0.04854368932038833
144000,146500,142500,143500,289482,-0.023809523809523836
141000,143000,136500,139500,388568,-0.027874564459930307
139500,140000,133500,134000,317252,-0.03942652329749108
130000,133000,127500,128000,409366,-0.04477611940298509
128500,137500,126500,136000,467454,0.0625
136000,150500,134500,145000,802670,0.06617647058823528
146000,149500,140000,146500,374316,0.010344827586206806
145500,147000,136000,137500,308103,-0.061433447098976135
139000,145000,136000,137000,311443,-0.0036363636363636598
139000,139500,128000,128000,400945,-0.06569343065693434
128500,131500,119000,126000,416328,-0.015625
120000,127000,117000,124500,1295460,-0.011904761904761862
124500,133000,123500,133000,577640,0.06827309236947787
132000,132000,126000,128000,384638,-0.03759398496240607
129000,135000,126500,130500,509976,0.01953125
132500,133000,125500,126500,448460,-0.03065134099616862
127000,132000,126500,128000,390066,0.011857707509881354
126500,129000,122500,126500,320552,-0.01171875
123000,129500,123000,128500,223331,0.015810276679841806
129500,130000,125000,127500,170195,-0.0077821011673151474
130000,133000,128000,132500,278850,0.03921568627450989
132000,138500,130500,133500,467883,0.007547169811320753
131000,141000,131000,140000,373402,0.04868913857677892
137000,141500,135000,140500,267262,0.0035714285714285587
137000,143000,136500,139000,248985,-0.010676156583629859
142000,146000,137500,139500,273026,0.003597122302158251
137000,139000,133500,135000,285049,-0.032258064516129004
138000,144000,137000,144000,300931,0.06666666666666665
144500,151000,141500,149500,381038,0.03819444444444442
148500,150500,146500,148000,182220,-0.010033444816053505
148500,149500,147000,147000,171375,-0.006756756756756799
148000,148000,142500,143500,171018,-0.023809523809523836
140500,141500,133500,134000,309144,-0.0662020905923345
131500,132000,126500,128500,360099,-0.04104477611940294
133000,135000,130500,135000,309754,0.05058365758754868
134000,137000,132000,135000,201286,0.0
133000,139500,132500,136000,196130,0.007407407407407307
135500,139000,133500,138000,168109,0.014705882352941124
140500,142000,138000,141500,149320,0.0253623188405796
144500,147000,142500,142500,193064,0.007067137809187329
