Date,Open,High,Low,Close,Volume,Change
2017-12-01,9736,10237,9485,10023,665988,0.029372496662216196
2017-12-04,10021,10200,9663,9772,457318,-0.02504240247430911
2017-12-05,9734,10056,9340,9414,580718,-0.03663528448628739
2017-12-06,9448,10021,9411,9628,607288,0.022732101125982673
2017-12-07,9662,9841,8981,9592,600939,-0.0037390943082675765
2017-12-08,9521,9556,9128,9307,287995,-0.029712260216847364
2017-12-11,9233,10093,9055,9951,791357,0.069195229397228
2017-12-12,10023,10524,9807,9880,1277469,-0.0071349613104210174
2017-12-13,9948,10630,9770,10559,933544,0.06872469635627532
2017-12-14,10666,10880,10378,10524,676386,-0.0033147078321811296
2017-12-15,10486,10522,9949,10094,606805,-0.04085898897757512
2017-12-18,10092,10129,9664,9915,361940,-0.01773330691499897
2017-12-19,10129,10236,9556,9808,546861,-0.010791729702470998
2017-12-20,9807,10056,9449,9808,452207,0.0
2017-12-21,9770,9913,9519,9557,227340,-0.025591353996737398
2017-12-22,9519,9949,8947,9772,554858,0.022496599351260915
2017-12-26,10022,10022,9556,9808,366647,0.003683995088006542
2017-12-27,10021,11273,9913,10953,2456032,0.1167414355628058
2017-12-28,11095,11346,10773,11060,1131387,0.009769013055783704
2018-01-02,11454,11992,11169,11992,1132720,0.08426763110307411
2018-01-03,12277,12420,10917,11419,2102205,-0.04778185456971318
2018-01-04,11595,11666,10593,10738,924782,-0.05963744636132762
2018-01-05,10736,11273,10594,10917,755128,0.016669770907059123
2018-01-08,10951,11167,10307,10524,843587,-0.03599890079692225
2018-01-09,10557,10701,10163,10308,538060,-0.02052451539338651
2018-01-10,10485,10522,9949,10380,592689,0.006984866123399325
2018-01-11,10378,11023,10343,10989,909556,0.058670520231213885
2018-01-12,10845,11024,10379,10703,822928,-0.026026026026025995
2018-01-15,10810,10988,10416,10488,620882,-0.020087825843221552
2018-01-16,10596,11562,10417,11348,1954584,0.08199847444698705
2018-01-17,11487,11989,11202,11454,1641381,0.009340853013746875
2018-01-18,11597,11704,11060,11169,786424,-0.02488213724463073
2018-01-19,11167,11310,10737,10846,726335,-0.028919330289193357
2018-01-22,10916,11096,10523,11097,501286,0.02314217222939341
2018-01-23,11168,11275,10880,11276,551041,0.016130485716860488
2018-01-24,11275,11669,11060,11348,988307,0.0063852429939694755
2018-01-25,11347,11418,11024,11276,575933,-0.006344730348960215
2018-01-26,11311,11311,11132,11169,346102,-0.009489180560482424
2018-01-29,11309,11346,11023,11060,525257,-0.00975915480347389
2018-01-30,11060,11060,10595,10667,589142,-0.035533453887884314
2018-01-31,10417,10845,10379,10667,421793,0.0
2018-02-01,10665,10774,10343,10631,278386,-0.003374894534545758
2018-02-02,10631,10702,10273,10453,308289,-0.01674348603141751
2018-02-05,10092,10163,9555,9557,668899,-0.08571701903759688
2018-02-06,8803,9806,8696,9664,915250,0.01119598200272054
2018-02-07,9950,9984,9092,9092,419210,-0.05918874172185429
2018-02-08,9162,9698,8946,9664,333742,0.0629124505059393
2018-02-09,9162,9699,9162,9521,208502,-0.0147971854304636
2018-02-12,9701,9736,9020,9164,670033,-0.03749606133809469
2018-02-13,7908,8696,7299,8089,4233353,-0.11730685290266263
2018-02-14,8517,8517,8087,8196,837829,0.013227840276919256
2018-02-19,8376,8590,8196,8555,512661,0.043801854563201514
2018-02-20,8661,8803,8447,8555,309432,0.0
2018-02-21,8410,8732,8410,8698,205705,0.01671537112799526
2018-02-22,8591,8769,8483,8520,236068,-0.020464474591860182
2018-02-23,8519,8661,8304,8341,228650,-0.021009389671361456
2018-02-26,8446,8768,8266,8304,340670,-0.004435918954561857
2018-02-27,8340,8555,8267,8412,182943,0.013005780346820872
2018-02-28,8302,8409,8015,8089,312607,-0.0383975273418925
2018-03-02,7767,8195,7730,8018,148881,-0.008777351959451063
2018-03-05,8018,8196,7874,7947,251351,-0.008855076078822632
2018-03-06,8159,8732,8123,8662,584854,0.08997105826097895
2018-03-07,8732,8732,8195,8196,447258,-0.053798199030247074
2018-03-08,8303,8481,8230,8304,283601,0.013177159590043841
2018-03-09,8410,8839,8339,8841,587205,0.06466763005780352
2018-03-12,8947,9197,8803,8877,500820,0.004071937563624006
