Date,Open,High,Low,Close,Volume,Change
2017-12-01,97200,102500,97100,100500,150699,0.04796663190823769
2017-12-04,102000,104500,101500,104000,162880,0.03482587064676612
2017-12-05,103500,108000,103000,108000,166416,0.03846153846153855
2017-12-06,108000,108000,105000,105000,96042,-0.02777777777777779
2017-12-07,105000,109000,103000,105000,147366,0.0
2017-12-08,104000,106000,102000,103000,129018,-0.01904761904761909
2017-12-11,103500,111000,103000,110500,197726,0.07281553398058249
2017-12-12,108000,110000,107500,109000,150895,-0.013574660633484115
2017-12-13,109000,110000,107000,108500,120288,-0.004587155963302725
2017-12-14,109000,110500,107500,108500,283798,0.0
2017-12-15,109000,110000,108000,108500,179817,0.0
2017-12-18,109000,109500,107500,109000,80003,0.004608294930875667
2017-12-19,110000,111500,101500,104500,307326,-0.041284403669724745
2017-12-20,102000,103000,97500,98100,382925,-0.06124401913875599
2017-12-21,99100,101000,98000,100500,297105,0.024464831804281273
2017-12-22,101000,101000,98000,99300,112034,-0.011940298507462699
2017-12-26,100000,101000,96700,97000,261771,-0.023162134944612278
2017-12-27,96100,96800,94600,95700,133116,-0.013402061855670055
2017-12-28,96000,97700,95800,97700,103457,0.020898641588296796
2018-01-02,97800,98300,96500,97700,83567,0.0
2018-01-03,94500,98600,94500,98600,144733,0.00921187308085969
2018-01-04,99000,99400,94600,94700,143223,-0.03955375253549698
2018-01-05,95900,96800,94700,95800,176435,0.011615628299894487
2018-01-08,96700,97500,95600,97000,92537,0.012526096033402823
2018-01-09,96700,98200,96300,97600,88749,0.006185567010309256
2018-01-10,98300,99000,97500,97800,140699,0.002049180327868827
2018-01-11,98900,98900,97200,97900,132303,0.0010224948875254825
2018-01-12,98800,99900,98000,98800,139805,0.009193054136874323
2018-01-15,99000,99300,96200,96600,116365,-0.022267206477732837
2018-01-16,96300,97500,95500,96000,161849,-0.006211180124223614
2018-01-17,96100,98100,96100,98000,122215,0.02083333333333326
2018-01-18,98900,100500,96600,97400,145486,-0.006122448979591799
2018-01-19,97200,99500,97100,97400,69435,0.0
2018-01-22,97800,98200,96500,96900,144454,-0.005133470225872738
2018-01-23,96900,98500,96600,97300,177253,0.0041279669762641635
2018-01-24,98200,99200,98000,98800,108853,0.01541623843782114
2018-01-25,98600,99200,97600,97700,98016,-0.011133603238866363
