Date,Open,High,Low,Close,Volume,Change
2017-12-01,47450,47950,45550,45650,968641,-0.037934668071654354
2017-12-04,45750,46900,45750,46700,630527,0.02300109529025196
2017-12-05,46700,47300,46650,46900,607437,0.004282655246252709
2017-12-06,47200,47800,47000,47550,798021,0.013859275053304865
2017-12-07,47450,47550,46400,46650,833447,-0.018927444794952675
2017-12-08,46550,47100,46150,46950,670506,0.006430868167202508
2017-12-11,46900,47300,46450,47200,669775,0.005324813631522929
2017-12-12,46600,47200,46250,46300,704061,-0.01906779661016944
2017-12-13,46350,48100,46350,48000,1003762,0.036717062634989306
2017-12-14,48000,49850,47900,48850,1970830,0.017708333333333437
2017-12-15,49400,49750,49150,49350,996657,0.010235414534288667
2017-12-18,49500,49850,48800,49500,748869,0.003039513677811634
2017-12-19,49050,49900,48950,49150,617118,-0.007070707070707116
2017-12-20,49050,50500,48850,50500,825125,0.02746693794506605
2017-12-21,50200,51200,50000,50800,913166,0.005940594059405946
2017-12-22,50900,51000,50300,50300,642143,-0.009842519685039353
2017-12-26,50400,51600,50400,51400,669668,0.021868787276341894
2017-12-27,50600,50600,49500,50100,564208,-0.02529182879377434
2017-12-28,50000,50000,49300,49800,403626,-0.005988023952095856
2018-01-02,49800,51100,49550,50900,569430,0.02208835341365467
2018-01-03,50000,51500,50000,51400,708652,0.00982318271119853
2018-01-04,51800,51800,50600,51300,741230,-0.0019455252918287869
2018-01-05,51700,52500,51500,52300,846844,0.01949317738791434
2018-01-08,52900,54300,52600,54200,727704,0.03632887189292533
2018-01-09,54900,55000,53900,54600,821184,0.007380073800737907
2018-01-10,54400,55900,53900,54400,1006194,-0.00366300366300365
2018-01-11,53900,55500,53300,55100,1072349,0.012867647058823595
2018-01-12,56000,56000,54500,55200,782191,0.001814882032667775
2018-01-15,55100,55800,54100,54300,465670,-0.016304347826086918
2018-01-16,54300,54600,52800,53700,732481,-0.011049723756906049
2018-01-17,53200,54200,53200,53700,481356,0.0
2018-01-18,53500,54400,53400,54000,797193,0.005586592178770999
2018-01-19,53900,55500,53900,55500,651573,0.02777777777777768
2018-01-22,55500,56000,52900,53300,1118518,-0.03963963963963968
2018-01-23,53300,54600,52800,54500,1098598,0.022514071294559068
2018-01-24,53900,54300,52600,52700,1005097,-0.03302752293577982
2018-01-25,52400,53100,51700,51900,902125,-0.015180265654648917
2018-01-26,51200,52200,50900,51200,1359577,-0.013487475915221592
2018-01-29,51600,52300,50700,50900,1289715,-0.005859375
2018-01-30,51300,52800,51100,51600,991389,0.013752455795677854
2018-01-31,51300,52400,49700,52100,902836,0.009689922480620172
2018-02-01,51500,52000,51000,51200,789616,-0.017274472168905985
2018-02-02,50900,51700,50600,51400,671922,0.00390625
2018-02-05,51500,53500,51000,53200,1385134,0.035019455252918386
2018-02-06,52400,52400,49600,50300,1339682,-0.05451127819548873
2018-02-07,51100,51400,49150,49150,1124756,-0.022862823061630233
2018-02-08,48700,50700,48300,49800,1076202,0.01322482197355046
2018-02-09,48550,49150,48000,48450,1082729,-0.027108433734939763
2018-02-12,48650,51000,48450,50900,915286,0.05056759545923639
2018-02-13,50900,51300,50100,50400,830843,-0.00982318271119842
2018-02-14,50700,50800,49350,49600,586970,-0.015873015873015928
2018-02-19,50800,51200,50500,50900,489589,0.02620967741935476
2018-02-20,50300,50800,50000,50200,434753,-0.013752455795677854
2018-02-21,50200,50400,49300,50000,607478,-0.003984063745019917
2018-02-22,49700,50300,49500,50200,552777,0.0040000000000000036
2018-02-23,50300,51600,49900,51600,651099,0.027888446215139417
2018-02-26,51600,51600,50300,50700,949403,-0.01744186046511631
2018-02-27,51400,51700,49900,50200,639239,-0.009861932938856066
2018-02-28,49500,50200,48900,49150,1113473,-0.020916334661354563
2018-03-02,49700,49700,48150,48800,887827,-0.007121057985757906
2018-03-05,48800,49500,48050,48050,382895,-0.015368852459016424
2018-03-06,48450,48650,47750,47850,542323,-0.004162330905306932
2018-03-07,47150,47500,45850,46100,1389596,-0.03657262277951934
2018-03-08,46700,47800,46400,47650,1076637,0.033622559652928485
2018-03-09,47650,47950,46750,47100,815535,-0.011542497376705096
2018-03-12,47650,49750,47150,49350,928569,0.047770700636942776
2018-03-13,48600,48800,46950,47150,1300496,-0.04457953394123604
2018-03-14,46700,47100,45950,46400,1012685,-0.01590668080593849
2018-03-15,46400,46400,45100,46300,1147311,-0.0021551724137931494
2018-03-16,46300,47700,46250,47200,1129555,0.01943844492440605
2018-03-19,47450,48200,47000,48100,814935,0.019067796610169552
2018-03-20,48100,48100,47200,47700,685715,-0.008316008316008316
2018-03-21,47500,48050,47300,47600,655898,-0.002096436058700246
2018-03-22,48250,49200,48100,48950,1101706,0.028361344537815025
2018-03-23,47550,47900,47000,47400,943656,-0.03166496424923393
2018-03-26,47550,48000,46150,46400,1004847,-0.021097046413502074
2018-03-27,47000,48100,46650,46700,877587,0.006465517241379226
2018-03-28,46150,46350,45100,45300,1031928,-0.02997858672376874
2018-03-29,45250,46000,44800,45600,789461,0.0066225165562914245
2018-03-30,46250,47000,45750,45750,970979,0.00328947368421062
2018-04-02,45650,46300,44700,44950,722180,-0.01748633879781425
2018-04-03,44500,44550,41950,42450,2251301,-0.05561735261401557
2018-04-04,42950,42950,41600,41800,1428180,-0.01531213191990577
2018-04-05,42050,42350,40800,41750,1805215,-0.0011961722488038617
2018-04-06,41900,42300,41400,42050,1014953,0.007185628742514938
2018-04-09,41850,42050,41150,41600,1471762,-0.010701545778834753
2018-04-10,41200,43150,41150,42800,1881964,0.028846153846153744
2018-04-11,42600,43000,42300,42300,1572305,-0.011682242990654235
2018-04-12,42750,43650,42600,42900,1812664,0.014184397163120588
2018-04-13,43100,44500,43100,43450,1570855,0.012820512820512775
2018-04-16,43700,43900,42950,43400,816259,-0.0011507479861909697
2018-04-17,43850,44450,43550,43650,1444102,0.005760368663594528
2018-04-18,43900,44400,43650,44150,998813,0.01145475372279492
2018-04-19,44250,45150,44150,45000,915611,0.01925254813137034
2018-04-20,45250,45750,43900,44000,1205555,-0.022222222222222254
2018-04-23,44850,47200,44500,47200,2206684,0.07272727272727275
2018-04-24,47800,48350,46800,47900,1313844,0.014830508474576343
2018-04-25,47900,48200,46700,46750,886722,-0.024008350730688965
2018-04-26,46950,47850,46700,47500,1009333,0.016042780748663166
2018-04-27,48250,48900,47400,47500,1252209,0.0
2018-04-30,47950,48600,47700,47750,561884,0.0052631578947368585
2018-05-02,47850,48100,46700,46850,983556,-0.01884816753926699
2018-05-03,47000,47400,46150,46450,940931,-0.008537886872998945
2018-05-04,45350,46700,45200,45950,957249,-0.01076426264800856
2018-05-08,45850,46100,45150,45300,891907,-0.014145810663764968
2018-05-09,45350,46100,45150,45500,1079672,0.004415011037527616
2018-05-10,45400,46400,45300,45800,676674,0.00659340659340657
2018-05-11,45900,46950,45800,46200,613156,0.008733624454148492
2018-05-14,46550,46900,45950,46350,535871,0.0032467532467532756
2018-05-15,46300,46650,45650,45650,855266,-0.015102481121898603
2018-05-16,45450,46550,45050,45950,770872,0.006571741511500528
2018-05-17,45950,46100,45550,45600,684118,-0.007616974972796564
2018-05-18,45350,45550,44300,44700,720945,-0.019736842105263164
