Open,High,Low,Close,Volume,Change
68200,68800,66400,67100,161742,-0.016129032258064502
67300,68000,67000,67400,111797,0.0044709388971684305
67100,70500,67100,69800,257025,0.035608308605341144
69400,70400,68800,69000,172087,-0.011461318051575908
69000,69200,67900,68500,120874,-0.007246376811594235
68200,69100,68100,68800,113250,0.004379562043795637
68900,69100,68300,68800,80704,0.0
68600,68800,66300,67600,114292,-0.01744186046511631
67700,69300,67700,69000,124343,0.020710059171597628
68600,69800,67500,67500,431299,-0.021739130434782594
67500,69000,66900,68600,241409,0.016296296296296253
68600,69100,67400,67700,191854,-0.013119533527696792
67800,69000,67800,69000,114407,0.019202363367799125
68200,68600,67800,68300,123119,-0.010144927536231862
67800,67900,66800,67000,160430,-0.019033674963396807
67400,67900,66700,67400,108793,0.005970149253731405
67700,69500,67700,69000,179409,0.023738872403560762
68400,68500,66500,67700,166747,-0.018840579710144967
67800,69000,67600,69000,87587,0.019202363367799125
69000,69400,68600,69000,73220,0.0
68200,69600,68200,68600,108816,-0.005797101449275366
69000,70200,68900,69200,179765,0.008746355685131268
70000,74400,69900,72500,239570,0.047687861271676235
73900,79300,73600,79000,288808,0.08965517241379306
79200,79300,76200,76700,183834,-0.029113924050632956
76700,77300,75900,76300,165608,-0.0052151238591916504
77000,77700,76200,76700,228180,0.005242463958060384
77100,84800,77100,82900,498377,0.08083441981747064
85200,86400,83400,84100,414795,0.014475271411338975
83500,83600,80800,80800,328305,-0.03923900118906065
80400,80900,79100,79900,266395,-0.011138613861386149
80500,83800,80300,81900,321918,0.0250312891113893
81500,83300,81200,83100,232565,0.0146520146520146
83700,84100,81700,82800,809320,-0.0036101083032491488
83400,89200,82700,88500,350365,0.06884057971014501
88500,91200,87100,87100,323134,-0.015819209039548032
86700,89600,86700,87800,236395,0.008036739380022917
87500,89000,86100,88600,184670,0.009111617312072884
90100,93300,90000,91300,392310,0.030474040632054278
91300,91500,89500,90000,430476,-0.014238773274917849
87600,88900,85700,87400,576111,-0.028888888888888853
87000,88300,85800,87000,426390,-0.004576659038901587
87100,87800,84300,84700,301011,-0.02643678160919538
82600,83500,80400,81900,408401,-0.03305785123966942
78800,81300,77100,80800,414763,-0.013431013431013383
83100,83700,79200,79700,270025,-0.013613861386138626
79200,82800,79200,80900,274909,0.015056461731492998
78500,80900,78200,80400,350193,-0.006180469715698411
81100,84700,80900,83600,322354,0.03980099502487566
84900,85200,79900,80000,354662,-0.0430622009569378
79900,80900,79100,79900,228490,-0.0012499999999999734
82000,83300,81000,81600,241508,0.02127659574468077
81300,81300,79200,79300,119385,-0.028186274509803932
79500,81300,78400,80200,340064,0.011349306431273742
79900,80700,78700,79900,186145,-0.0037406483790524137
79900,82400,79200,81800,157434,0.02377972465581979
82500,84000,82200,83300,172525,0.01833740831295838
83300,84000,82400,82900,130921,-0.004801920768307322
82000,82600,78000,78500,342919,-0.053075995174909574
77300,80500,77100,80000,213190,0.019108280254777066
79400,79800,77800,78000,158802,-0.025000000000000022
79300,80000,78800,79500,223093,0.019230769230769162
79000,79000,77200,78000,143118,-0.018867924528301883
78100,78800,76200,77100,275064,-0.011538461538461497
77700,85400,77700,82700,349050,0.07263294422827493
84500,86600,83100,86200,278920,0.042321644498186206
84800,86500,83800,86400,192778,0.002320185614849146
85000,85900,84200,85400,130987,-0.01157407407407407
85300,85500,83100,84800,128668,-0.007025761124121788
84300,85400,83700,84500,140745,-0.003537735849056589
84600,85200,83200,83500,80525,-0.011834319526627168
82300,84000,82000,84000,107612,0.0059880239520957446
83000,84700,82500,83500,147012,-0.005952380952380931
84000,88200,83900,85000,211373,0.017964071856287456
82600,83200,81100,81900,262439,-0.036470588235294144
80800,82700,80400,82200,141154,0.00366300366300365
83000,84500,82400,82900,171983,0.008515815085158085
81700,81900,80100,81500,159195,-0.016887816646562137
81600,82800,80400,82600,121562,0.013496932515337345
83500,83500,81900,82700,106079,0.001210653753026536
82800,83900,80600,81000,150393,-0.02055622732769047
80000,80100,77200,78500,294174,-0.030864197530864224
79100,79500,77300,78000,186818,-0.006369426751592355
79400,79900,78400,79100,144692,0.014102564102564052
78200,80500,77500,79700,177687,0.007585335018963413
79200,79900,77800,79600,160359,-0.0012547051442910462
79100,81200,78200,80700,186409,0.013819095477386911
80700,81700,80100,80100,294154,-0.0074349442379182396
80100,80700,79200,80000,120363,-0.0012484394506866447
79900,84800,79900,84200,326332,0.05249999999999999
84800,85300,82600,84800,224614,0.0071258907363420665
85600,85900,82900,84200,264293,-0.007075471698113178
84300,86700,84200,84800,276683,0.0071258907363420665
84200,84600,83100,84300,224801,-0.005896226415094352
83600,84100,81800,82600,266001,-0.02016607354685651
82200,83400,81000,83100,264005,0.006053268765133124
83300,88100,83100,87200,311711,0.04933814681107096
86500,87400,85300,86600,199080,-0.006880733944954143
86800,89500,86400,87200,176176,0.006928406466512715
87100,91300,87100,90200,247136,0.034403669724770714
90700,92700,89400,91100,143429,0.009977827050997812
90000,90700,88400,89700,117244,-0.015367727771679496
89100,89200,86100,88000,192196,-0.018952062430323324
86600,90500,85500,88900,302961,0.010227272727272751
88800,89600,87700,88100,191413,-0.008998875140607376
88000,88400,85700,87300,194979,-0.009080590238365494
86800,91600,86800,91400,163452,0.04696449026345939
91900,95000,91800,94300,313735,0.03172866520787743
96000,96900,95000,96000,252371,0.018027571580063517
95000,96200,94600,95300,157956,-0.007291666666666696
94000,95100,92400,95100,150451,-0.0020986358866736943
95000,96300,93100,93700,174585,-0.014721345951629883
93600,96000,93500,94800,107562,0.011739594450373536
96300,96300,93600,94400,117702,-0.00421940928270037
93300,95500,93300,93800,141114,-0.006355932203389814
93800,96700,93400,94100,97944,0.0031982942430703876
93900,95700,93000,94100,147906,0.0
95100,98800,94500,98100,147478,0.04250797024442088
98000,98900,96400,98100,99964,0.0
96100,97000,92100,94300,249521,-0.03873598369011211
94900,95400,93200,93900,315909,-0.0042417815482502785
93900,95000,92800,94500,111886,0.006389776357827559
94500,94900,92800,93300,119738,-0.012698412698412653
92700,96000,92600,94900,149234,0.017148981779206762
95700,98500,95500,96600,137342,0.017913593256059013
95500,96500,93500,94200,126579,-0.024844720496894457
93900,96400,93800,95300,105492,0.011677282377919429
95900,96300,94100,94600,117851,-0.007345225603357819
93800,93800,89600,90000,271973,-0.04862579281183932
89600,91000,87400,89500,335358,-0.005555555555555536
89500,89900,84100,85700,294059,-0.04245810055865917
84700,86900,84400,85100,182426,-0.007001166861143493
85200,87400,83600,86400,177558,0.01527614571092828
84700,86100,84500,84600,136813,-0.02083333333333337
83700,85000,81900,83600,217608,-0.011820330969267157
83200,84000,81900,83400,211422,-0.0023923444976076125
82000,84900,81900,84400,172920,0.011990407673860837
83400,84800,82900,83200,153482,-0.014218009478673022
84100,84800,82700,83300,215747,0.0012019230769231282
83800,84700,82300,84100,224107,0.009603841536614643
83600,84000,80200,80800,270859,-0.03923900118906065
81200,81600,80000,81100,171441,0.003712871287128605
80200,80700,78500,79900,130016,-0.01479654747225645
79400,80700,78200,79300,105052,-0.007509386733416723
