Date,Open,High,Low,Close,Volume,Change
2017-12-01,37550,38000,37300,37950,807015,0.01200000000000001
2017-12-04,37600,37950,37600,37850,641684,-0.0026350461133070047
2017-12-05,37800,38800,37800,38800,1859540,0.025099075297225992
2017-12-06,38800,38850,38300,38450,997178,-0.009020618556700999
2017-12-07,39250,39500,38750,38850,1739602,0.01040312093628093
2017-12-08,38850,38900,37650,38000,1503814,-0.02187902187902191
2017-12-11,37900,38000,37650,37900,772326,-0.0026315789473684292
2017-12-12,38200,38200,37800,38100,716339,0.005277044854881341
2017-12-13,37950,38450,37800,38450,874779,0.009186351706036655
2017-12-14,38550,39400,38450,38700,2670541,0.006501950585175553
2017-12-15,39000,39200,38650,39000,2363282,0.007751937984496138
2017-12-18,38800,39300,38800,39200,819194,0.00512820512820511
2017-12-19,39200,39350,38800,38950,776160,-0.0063775510204081565
2017-12-20,38800,39450,38650,39250,1076333,0.007702182284980763
2017-12-21,39250,39350,38450,38700,1276728,-0.014012738853503182
2017-12-22,38600,38850,38550,38750,898070,0.0012919896640826156
2017-12-26,38850,39250,38800,39100,1477510,0.00903225806451613
2017-12-27,38200,38500,38050,38400,891828,-0.01790281329923271
2017-12-28,38300,38350,38000,38150,782254,-0.00651041666666663
2018-01-02,37800,38050,37450,37750,1122223,-0.010484927916120546
2018-01-03,37600,37950,37300,37550,1101038,-0.005298013245033095
2018-01-04,37550,37550,37000,37200,1448500,-0.009320905459387463
2018-01-05,37200,37350,37000,37200,937524,0.0
2018-01-08,37300,37450,37100,37300,1052068,0.0026881720430107503
2018-01-09,37100,37300,37000,37300,1308829,0.0
2018-01-10,37200,37500,37100,37400,894970,0.002680965147453085
2018-01-11,37200,37250,36650,36700,1866497,-0.018716577540106916
2018-01-12,36850,37150,36450,36450,1492378,-0.006811989100817484
2018-01-15,36450,36950,36150,36200,1151673,-0.006858710562414272
2018-01-16,36250,36600,36200,36300,904854,0.0027624309392264568
2018-01-17,36350,36550,36200,36300,1001471,0.0
2018-01-18,36250,36300,35300,35650,2530548,-0.017906336088154284
2018-01-19,35500,35500,35000,35250,1781308,-0.011220196353436185
2018-01-22,35050,35550,34600,34650,1759320,-0.017021276595744705
2018-01-23,34500,35250,34500,35050,1554899,0.011544011544011523
2018-01-24,35100,35450,35050,35400,1042023,0.009985734664764712
2018-01-25,35400,35750,35250,35550,1301963,0.004237288135593209
2018-01-26,35600,36150,35550,36050,1244986,0.014064697609001309
2018-01-29,36150,36500,36100,36200,1132625,0.004160887656033285
2018-01-30,36200,36300,35800,35900,1311558,-0.008287292817679592
2018-01-31,35900,35900,35200,35750,1734984,-0.004178272980501441
2018-02-01,35750,36150,35700,36000,1196594,0.006993006993007089
2018-02-02,35900,35950,35500,35650,1340996,-0.009722222222222188
2018-02-05,35400,36400,35300,36100,2124043,0.012622720897615736
2018-02-06,35550,35900,35400,35550,1388258,-0.015235457063711877
2018-02-07,35650,35800,35300,35550,1210460,0.0
2018-02-08,35500,35600,34800,34800,1565567,-0.021097046413502074
2018-02-09,34950,35000,34350,34400,1306484,-0.011494252873563204
2018-02-12,34300,34600,34050,34050,841502,-0.01017441860465118
2018-02-13,34050,34150,33300,33500,1532717,-0.016152716593245242
2018-02-14,32550,33200,32400,33100,2056241,-0.011940298507462699
2018-02-19,33100,33250,32850,33100,1033062,0.0
2018-02-20,33100,34050,33100,33800,1147615,0.02114803625377637
2018-02-21,33900,33950,33350,33750,1437989,-0.0014792899408283544
2018-02-22,33550,33600,33100,33250,1067830,-0.014814814814814836
2018-02-23,33400,33800,33300,33700,876146,0.013533834586466176
2018-02-26,33650,33900,33600,33800,1542759,0.0029673590504450953
2018-02-27,33900,33900,33350,33350,903283,-0.013313609467455634
2018-02-28,33100,33200,32800,33100,1164911,-0.007496251874062998
2018-03-02,33100,33400,32600,32900,1421726,-0.0060422960725075026
2018-03-05,32700,32850,32500,32500,832745,-0.012158054711246202
2018-03-06,32550,32550,31850,31950,1416320,-0.01692307692307693
2018-03-07,31950,32150,31550,31650,1638255,-0.009389671361502372
2018-03-08,31550,31850,31500,31650,1575916,0.0
2018-03-09,31850,32700,31800,32500,1946210,0.026856240126382325
2018-03-12,32600,33150,32600,33100,1150431,0.01846153846153853
2018-03-13,32700,32950,32550,32850,832686,-0.007552870090634434
2018-03-14,32550,32850,32400,32700,610089,-0.004566210045662156
2018-03-15,32700,32700,32200,32350,948927,-0.010703363914373099
2018-03-16,32250,32400,31850,32050,1760603,-0.009273570324574987
2018-03-19,32050,32050,31750,31800,1003677,-0.007800312012480548
2018-03-20,31700,31950,31550,31650,1028597,-0.004716981132075526
2018-03-21,31600,31950,31550,31650,1046251,0.0
2018-03-22,31700,32250,31700,32000,1086369,0.011058451816745585
2018-03-23,31700,31800,31200,31350,1302713,-0.020312499999999956
2018-03-26,31200,31350,30600,30850,1183474,-0.01594896331738438
2018-03-27,30950,31350,30900,31150,811219,0.009724473257698651
2018-03-28,30900,31950,30900,31800,1000874,0.020866773675762396
2018-03-29,31650,33050,31300,32900,2162542,0.03459119496855356
2018-03-30,33000,33400,32750,32850,1384829,-0.001519756838905817
2018-04-02,32850,33500,32800,33250,1147437,0.0121765601217656
2018-04-03,33200,35350,33000,34950,4540936,0.051127819548872244
2018-04-04,35100,36000,34850,34850,3693600,-0.0028612303290415086
2018-04-05,34750,35100,33950,34500,1844435,-0.010043041606886627
2018-04-06,34550,34600,33850,34050,1328081,-0.013043478260869601
2018-04-09,34050,34950,34050,34500,1201496,0.013215859030837107
2018-04-10,34100,35050,34100,34700,1225383,0.005797101449275255
2018-04-11,34200,35050,34100,34450,1118386,-0.007204610951008661
2018-04-12,34350,34600,33950,34200,945133,-0.007256894049346929
2018-04-13,34100,34700,33850,34500,949702,0.00877192982456143
2018-04-16,34300,34300,33400,33750,1216578,-0.021739130434782594
2018-04-17,33750,34950,33700,34550,1774887,0.023703703703703782
2018-04-18,34450,34950,34300,34700,1050284,0.004341534008682979
2018-04-19,34750,35250,34400,34700,1737127,0.0
2018-04-20,34800,36050,34800,35800,2650607,0.03170028818443793
2018-04-23,36100,37600,36050,36700,5410104,0.025139664804469275
2018-04-24,36800,37300,36300,36950,1660470,0.006811989100817373
