Open,High,Low,Close,Volume,Change
53600,53800,52400,52700,305353,-0.016791044776119368
52700,53400,52100,52900,232896,0.00379506641366234
52600,53800,52500,53300,155165,0.007561436672967936
53300,53800,52700,53800,253092,0.009380863039399667
53700,53700,52500,53100,397106,-0.013011152416356864
52500,53500,52300,53200,305452,0.0018832391713747842
53000,54000,53000,53700,219149,0.009398496240601517
53200,53400,52600,52800,231186,-0.016759776536312887
52500,54400,52500,54000,236791,0.022727272727272707
54100,54400,53300,53600,356887,-0.007407407407407418
54000,54400,53700,54200,254664,0.011194029850746245
54500,55000,54200,55000,211489,0.014760147601476037
55000,55300,54000,54300,159462,-0.012727272727272698
53800,54700,53700,54400,141216,0.0018416206261511192
53700,53900,52800,53500,237961,-0.016544117647058876
53700,54300,53200,54100,6196526,0.01121495327102795
54400,55100,54200,55100,212109,0.01848428835489835
54200,54600,54000,54200,143004,-0.016333938294010864
54300,54600,54000,54600,86787,0.007380073800737907
54600,55400,54600,55000,128085,0.0073260073260073
54000,54700,53600,54000,300765,-0.018181818181818188
54100,54300,53100,53300,329410,-0.012962962962962954
53800,54300,53000,54200,292252,0.016885553470919357
54200,54500,53500,54100,164387,-0.0018450184501844769
54000,55600,53900,55600,255110,0.02772643253234741
55600,55900,55100,55600,213800,0.0
55700,55800,54900,55300,177427,-0.0053956834532373765
55000,55200,53300,53600,379156,-0.030741410488245968
54000,54200,53600,53700,177255,0.001865671641791078
53700,54000,53000,53200,359486,-0.009310986964618295
52900,53400,52500,53000,343850,-0.003759398496240629
52800,53200,52700,52700,205334,-0.005660377358490565
52600,53200,52300,52800,221440,0.00189753320683117
53000,53800,52800,53700,286104,0.017045454545454586
54100,54100,53200,53900,301252,0.003724394785847407
54100,55500,53900,55500,354773,0.029684601113172615
55500,56500,54700,56100,371352,0.0108108108108107
55500,56000,55100,55100,288210,-0.017825311942959
55100,55300,54500,54700,282549,-0.007259528130671544
54900,55000,53500,53700,354865,-0.018281535648994485
53300,54200,52700,53500,396675,-0.003724394785847296
54000,55100,53900,54900,382467,0.026168224299065512
55000,56100,54900,55800,584768,0.016393442622950838
56300,58200,54500,56700,714550,0.016129032258064502
56600,56900,54500,55200,366126,-0.02645502645502651
55300,56000,53900,54200,374554,-0.018115942028985477
54200,54800,53000,53500,458399,-0.01291512915129156
53300,56400,53200,56200,665702,0.05046728971962611
56000,56100,53000,53400,515319,-0.04982206405693945
53400,54700,53100,54400,314788,0.01872659176029967
54200,54500,53700,54400,167980,0.0
55600,55600,54200,54800,256279,0.007352941176470562
54300,54600,53700,54000,208464,-0.014598540145985384
54800,58000,54100,57000,517278,0.05555555555555558
56100,57000,54800,56300,291800,-0.012280701754386003
56200,58700,56100,58700,459323,0.04262877442273538
58000,58700,57300,57400,213214,-0.022146507666098825
57100,59200,57100,57900,463931,0.008710801393728262
57900,59000,57100,59000,420778,0.01899827288428324
57800,60100,57100,60100,432767,0.01864406779661021
59100,59800,58200,58600,278720,-0.024958402662229595
58400,58600,57100,57400,202008,-0.020477815699658675
56300,56900,54800,55400,250799,-0.03484320557491294
56100,56400,55000,56200,181639,0.014440433212996373
56300,57800,55800,56900,171177,0.01245551601423478
57600,57900,56600,57500,249553,0.010544815465729274
56900,57300,55600,55800,306942,-0.029565217391304355
55300,57000,54900,56600,241238,0.014336917562723928
55800,55800,54500,55200,296367,-0.02473498233215543
55400,56000,54900,55300,314056,0.0018115942028984477
55200,55500,54600,55000,321139,-0.005424954792043413
54700,55400,54600,54700,209558,-0.00545454545454549
54200,54800,53900,54100,194562,-0.010968921389396757
53600,54600,53600,54000,165167,-0.001848428835489857
53400,54000,52200,52500,261657,-0.02777777777777779
52700,53100,51300,53000,363929,0.00952380952380949
53100,54000,52000,53300,243327,0.005660377358490676
53300,53900,53000,53800,254501,0.009380863039399667
53700,53800,52600,52600,231706,-0.022304832713754608
53500,54200,53200,53600,195576,0.019011406844106515
53300,54200,53200,53600,162715,0.0
53900,54300,53500,54100,224267,0.009328358208955168
53500,54200,53200,53600,181497,-0.009242144177449174
54200,54900,53300,53600,140919,0.0
53600,54000,52000,52400,252299,-0.02238805970149249
52100,52600,51600,51700,178537,-0.013358778625954248
52000,52600,51400,52400,281311,0.013539651837524147
51800,52300,51400,51400,308266,-0.01908396946564883
51500,51900,50900,50900,242834,-0.009727626459143934
50800,51300,50300,50800,223744,-0.0019646365422396617
51200,51200,50500,50900,163499,0.0019685039370078705
51000,51400,50700,51100,174437,0.003929273084479323
51100,51400,50500,50900,195647,-0.003913894324853229
50600,50800,48650,48700,521052,-0.04322200392927311
48700,49200,47900,48850,410586,0.0030800821355236874
48850,48850,48150,48700,234111,-0.0030706243602866
48350,48700,47950,48350,224490,-0.007186858316221789
48300,48350,47550,47650,191115,-0.014477766287487093
47500,47950,47300,47700,197537,0.0010493179433368471
47700,48050,47300,47350,258268,-0.007337526205450695
47300,49450,47300,49450,656450,0.04435058078141507
49650,50400,49550,50400,522687,0.01921132457027297
50500,50600,49700,49900,271850,-0.009920634920634885
49300,49950,48600,48600,189469,-0.02605210420841686
48600,49100,48100,48200,313179,-0.008230452674897082
47600,48950,47600,47700,232425,-0.010373443983402453
47500,48650,47500,48650,282590,0.01991614255765195
48250,49100,48150,48300,153503,-0.007194244604316502
48350,48550,47500,47850,245176,-0.009316770186335366
47550,47800,47300,47400,155878,-0.009404388714733591
47400,48400,47350,48400,245461,0.021097046413502074
48250,49000,48200,48650,262731,0.005165289256198413
48650,48750,47900,48250,115464,-0.008221993833504637
48400,49400,48100,49150,193791,0.01865284974093262
48100,48750,47350,47350,365600,-0.03662258392675488
47450,47950,47050,47100,225354,-0.0052798310454065245
47600,47600,47100,47400,251069,0.006369426751592355
47100,47400,45200,46100,661512,-0.02742616033755274
46000,46650,45250,45300,186899,-0.017353579175705014
44550,44950,42500,42750,718190,-0.056291390728476776
42750,43400,42350,42850,597523,0.002339181286549641
43000,44750,42850,44550,376287,0.03967327887981331
44150,45700,43900,45700,409875,0.02581369248035914
45200,46600,45150,46350,288887,0.01422319474835887
46350,46650,45500,46250,208942,-0.0021574973031284195
46000,46950,46000,46800,201325,0.011891891891891992
46600,46900,45800,46800,111144,0.0
46600,46900,46400,46550,95206,-0.005341880341880323
45750,46550,45550,46300,407655,-0.00537056928034374
46150,46150,45200,45900,450256,-0.008639308855291628
45950,46750,45700,46000,252520,0.002178649237472685
45150,46400,45000,45300,320171,-0.01521739130434785
45000,45450,44600,44700,241353,-0.013245033112582738
44450,44650,43100,43700,333388,-0.022371364653243853
42800,44150,42650,43850,216414,0.003432494279176135
43750,45550,43350,45100,217197,0.02850627137970352
45000,45400,44700,44900,168911,-0.0044345898004434225
44050,44650,42750,42950,235908,-0.04342984409799555
43000,43400,42650,42800,172033,-0.0034924330616996624
42900,43000,41950,42100,245950,-0.016355140186915862
42100,42150,40800,40900,201674,-0.028503562945368155
40900,41150,40000,40400,221877,-0.012224938875305624
40100,41200,39650,41000,302929,0.014851485148514865
40800,40950,40100,40300,234798,-0.017073170731707332
40150,41800,40150,41500,185162,0.02977667493796532
41050,41850,41000,41550,102931,0.00120481927710836
41200,42050,41200,41600,163146,0.001203369434416457
40500,42200,40450,42200,223039,0.014423076923076872
42200,42700,41200,41450,284446,-0.017772511848341277
41350,42950,41350,42800,186718,0.03256936067551264
42750,44300,42500,43750,248189,0.02219626168224309
43550,44650,43250,44550,277380,0.01828571428571424
44550,44900,44200,44300,286851,-0.0056116722783389195
43950,44800,43350,43700,171673,-0.013544018058690765
43200,43600,42550,43350,212921,-0.008009153318077833
44200,44600,43200,43750,256405,0.009227220299884653
44450,44450,42350,42900,313337,-0.01942857142857146
42950,44400,42950,44350,261188,0.03379953379953382
