Open,High,Low,Close,Volume,Change
499943,513098,499943,508716,53473,0.019334077388406756
510466,512222,502574,505208,40993,-0.0068957925443665635
507837,511344,499942,505208,39406,0.0
506080,506957,484154,487665,65539,-0.03472431157067979
488540,492925,461349,466615,89896,-0.043164877528631296
469247,481525,465738,469248,70176,0.00564276759212623
470995,504326,465735,500822,87685,0.06728638161483902
498187,505204,488540,499945,48854,-0.0017511211568181917
499065,508714,499065,502578,32988,0.005266579323725651
502572,509589,499062,499067,65531,-0.006985980285647231
501695,504326,492925,498191,59483,-0.0017552753437914959
498187,502574,493802,494682,33550,-0.007043483322661359
498187,499943,484155,499945,49259,0.010639158085396172
493802,500818,486785,494682,33073,-0.010527157987378577
490289,495554,485027,485033,37992,-0.019505460073340086
488541,503453,485031,502578,67133,0.03617279649013572
492925,512221,492925,504331,78214,0.003488015790583665
509697,524004,506119,519534,56672,0.03014488500607726
520426,524003,515955,522216,37713,0.005162318539306376
524895,532944,518636,529369,60864,0.013697397245584275
529367,545463,524895,541889,98042,0.02365079934790293
543675,546358,519533,524004,64093,-0.03300491429056507
526682,536519,523106,534734,44292,0.02047694292409985
540099,545462,530261,535629,54698,0.0016737293682467236
536518,542778,518634,524897,70043,-0.02003625643869167
526683,534731,516848,526686,45201,0.003408287721210046
523105,529365,519530,523109,44783,-0.006791522842832354
524000,563344,524000,554406,218198,0.05982883108491732
559768,563345,540990,552618,73210,-0.0032250733217172867
552616,554404,532049,541889,73839,-0.01941485800317755
541886,543674,524894,526686,80689,-0.028055561194266776
531156,533838,524003,528476,47343,0.003398609418135301
525788,531154,507010,509696,91904,-0.03553614544463701
504328,510589,494493,500755,81497,-0.017541828854846786
507905,525790,502539,525792,73030,0.049998502261584976
523107,532049,519533,522216,47502,-0.006801168522914014
519530,529365,519530,523109,38018,0.0017100203747109077
520422,536518,516846,532051,61908,0.017093951738547775
535626,538310,520425,529369,72127,-0.005040870142148046
536520,554404,534732,542783,142127,0.0253396024323298
