Date,Open,High,Low,Close,Volume,Change
2017-12-01,13250,13950,13250,13750,1189243,0.04166666666666674
2017-12-04,13900,13900,13450,13750,895877,0.0
2017-12-05,13800,14100,13550,13800,840973,0.0036363636363636598
2017-12-06,13800,13900,13350,13400,731798,-0.02898550724637683
2017-12-07,13550,13600,13300,13450,531842,0.003731343283582156
2017-12-08,13400,13500,13150,13250,490448,-0.014869888475836479
2017-12-11,13300,13400,12700,12900,1235911,-0.026415094339622636
2017-12-12,13000,13500,13000,13400,1058605,0.03875968992248069
2017-12-13,13300,13700,13300,13700,612069,0.02238805970149249
2017-12-14,13600,13750,13250,13250,1158608,-0.03284671532846717
2017-12-15,13400,13550,13200,13350,829747,0.007547169811320753
2017-12-18,13300,14000,13200,13950,1308877,0.04494382022471921
2017-12-19,13850,14050,13150,13150,1641619,-0.05734767025089604
2017-12-20,13150,13600,13150,13450,562960,0.02281368821292773
2017-12-21,13300,13300,12900,13100,622896,-0.026022304832713727
2017-12-22,13200,13400,13000,13300,387703,0.01526717557251911
2017-12-26,13400,13700,13250,13350,1093458,0.003759398496240518
2017-12-27,13200,13450,13200,13450,431450,0.0074906367041198685
2017-12-28,13500,14050,13450,13900,1154675,0.03345724907063197
2018-01-02,13900,13950,13400,13500,719344,-0.02877697841726623
2018-01-03,13300,13800,13300,13700,817601,0.014814814814814836
2018-01-04,13600,13750,13300,13300,631044,-0.029197080291970767
2018-01-05,13450,13550,13250,13350,694072,0.003759398496240518
2018-01-08,13400,13450,12950,13050,915595,-0.022471910112359605
2018-01-09,13050,13350,13000,13100,696861,0.003831417624521105
2018-01-10,13100,13250,12800,12850,825729,-0.01908396946564883
2018-01-11,12850,13100,12800,12900,690866,0.0038910505836575737
2018-01-12,12850,13050,12300,12450,1353532,-0.03488372093023251
2018-01-15,12550,12550,11800,12250,1760084,-0.016064257028112428
2018-01-16,12250,12850,12250,12800,1300719,0.044897959183673564
2018-01-17,12750,12950,12600,12750,915568,-0.00390625
2018-01-18,12650,12800,12500,12600,666762,-0.0117647058823529
2018-01-19,12600,12750,12500,12650,707139,0.003968253968253954
2018-01-22,12700,12700,12200,12350,1070211,-0.02371541501976282
2018-01-23,12450,12750,12350,12700,1181767,0.028340080971659853
2018-01-24,12850,13250,12850,13200,2028388,0.03937007874015741
2018-01-25,13200,13350,12950,13350,1501514,0.011363636363636465
2018-01-26,13400,13500,13150,13500,1578825,0.011235955056179803
2018-01-29,13500,13500,13050,13200,1506561,-0.022222222222222254
2018-01-30,13200,13350,13000,13000,787117,-0.015151515151515138
2018-01-31,12950,13200,12900,13050,1045470,0.0038461538461538325
2018-02-01,13050,13350,13000,13250,685610,0.015325670498084198
2018-02-02,13250,13800,13150,13750,1386584,0.037735849056603765
2018-02-05,13650,13800,13400,13500,970627,-0.018181818181818188
