Date,Open,High,Low,Close,Volume,Change
2017-12-01,19400,19450,18600,19100,747861,-0.015463917525773141
2017-12-04,19100,19450,18750,19300,334101,0.010471204188481575
2017-12-05,19300,19500,19100,19450,547877,0.007772020725388629
2017-12-06,19500,19900,19200,19300,644074,-0.007712082262210762
2017-12-07,19500,19550,18700,18900,548800,-0.020725388601036232
2017-12-08,18450,18850,17750,18050,1113741,-0.044973544973545
2017-12-11,17800,17950,17200,17500,868168,-0.030470914127423865
2017-12-12,17500,17750,17450,17550,281676,0.0028571428571428914
2017-12-13,17650,18600,17600,18450,532645,0.05128205128205132
2017-12-14,18350,19050,18200,18650,441688,0.01084010840108407
2017-12-15,18700,18800,18400,18800,308149,0.008042895442359255
2017-12-18,18800,18800,18400,18700,202787,-0.005319148936170248
2017-12-19,18750,18750,18350,18450,288784,-0.013368983957219305
2017-12-20,18500,18600,18250,18250,253368,-0.010840108401083959
2017-12-21,18250,18400,17950,18150,346570,-0.005479452054794498
2017-12-22,18150,18250,17700,18000,418586,-0.008264462809917328
2017-12-26,18000,18200,17650,17800,394327,-0.011111111111111072
2017-12-27,17700,18200,17700,18150,197344,0.0196629213483146
2017-12-28,18150,18350,17900,18300,196184,0.008264462809917328
2018-01-02,18450,19250,18350,19200,579561,0.049180327868852514
2018-01-03,19400,19800,19100,19450,705633,0.01302083333333326
2018-01-04,19450,19500,18750,18900,658675,-0.028277634961439535
2018-01-05,19000,19150,18800,19050,278724,0.007936507936507908
2018-01-08,19250,19750,19050,19600,639348,0.028871391076115582
2018-01-09,19550,19600,19000,19400,563128,-0.010204081632653073
2018-01-10,19400,19450,19000,19200,498685,-0.010309278350515427
2018-01-11,19450,20100,19450,19950,864308,0.0390625
2018-01-12,20050,20300,19950,20150,681259,0.010025062656641603
2018-01-15,20400,21000,20300,20850,1151586,0.03473945409429291
2018-01-16,21000,21100,20550,20850,759810,0.0
2018-01-17,20700,21250,20600,21100,475038,0.011990407673860837
2018-01-18,21150,21200,20200,20700,558116,-0.018957345971563955
2018-01-19,20700,20900,20400,20700,266562,0.0
2018-01-22,20700,20800,20300,20450,267878,-0.012077294685990392
2018-01-23,20500,20700,20350,20400,259188,-0.0024449877750610804
2018-01-24,20550,21700,20350,21550,872364,0.056372549019607865
2018-01-25,21750,22450,21350,22100,1195759,0.025522041763341052
2018-01-26,22000,23100,21900,22800,1041850,0.03167420814479649
2018-01-29,23350,23500,22850,22850,974156,0.002192982456140413
2018-01-30,22650,22950,22200,22650,546010,-0.008752735229759279
2018-01-31,22400,23400,22400,23200,710162,0.024282560706401668
2018-02-01,23200,23350,22800,23350,388907,0.006465517241379226
2018-02-02,23350,23350,22650,22650,412022,-0.02997858672376874
2018-02-05,21950,23000,21850,22550,573055,-0.004415011037527616
2018-02-06,21750,22350,20600,22050,1211862,-0.022172949002217335
2018-02-07,22600,22600,21250,21250,400969,-0.03628117913832196
2018-02-08,21050,22350,20950,21950,494929,0.03294117647058825
2018-02-09,21400,22200,20950,22100,625907,0.006833712984054774
2018-02-12,22700,22800,21800,21800,358194,-0.013574660633484115
2018-02-13,21850,22050,21050,21350,404704,-0.020642201834862428
2018-02-14,21500,21650,21150,21350,233437,0.0
2018-02-19,21550,22300,21500,22200,287449,0.03981264637002346
2018-02-20,21950,22300,21550,21600,160781,-0.027027027027026973
2018-02-21,21700,21800,21400,21500,158624,-0.00462962962962965
2018-02-22,21350,21350,20800,20950,353836,-0.025581395348837188
2018-02-23,21000,21250,20850,21200,184187,0.01193317422434359
2018-02-26,21300,21500,20450,20700,326648,-0.02358490566037741
2018-02-27,20750,21050,20650,20700,253612,0.0
2018-02-28,20550,20700,20100,20300,204060,-0.019323671497584516
2018-03-02,20000,20200,19550,19800,278772,-0.024630541871921152
2018-03-05,19500,19850,19250,19400,299458,-0.02020202020202022
2018-03-06,19600,20250,19550,20000,243988,0.030927835051546282
2018-03-07,20200,20700,19800,19800,232044,-0.010000000000000009
2018-03-08,20050,20100,19750,20000,131564,0.010101010101010166
2018-03-09,20100,20750,20100,20550,264816,0.02750000000000008
2018-03-12,20650,21000,20250,20800,338181,0.012165450121654597
2018-03-13,20800,21050,20150,20250,260733,-0.02644230769230771
2018-03-14,20000,20850,19900,20800,267027,0.02716049382716057
2018-03-15,20550,21100,20350,20950,212171,0.007211538461538547
2018-03-16,21050,21050,20300,20500,205823,-0.021479713603818618
2018-03-19,20500,20500,20150,20350,116666,-0.007317073170731714
2018-03-20,20200,20400,20050,20350,126744,0.0
2018-03-21,20300,20450,20150,20350,167301,0.0
2018-03-22,20400,20700,20150,20450,394479,0.004914004914004844
2018-03-23,19900,20200,19400,19450,354581,-0.0488997555012225
2018-03-26,19400,19550,18700,19150,322268,-0.015424164524421635
2018-03-27,19350,19650,19200,19350,248246,0.010443864229765065
2018-03-28,19050,19400,19000,19200,157998,-0.007751937984496138
2018-03-29,19200,19900,19150,19700,192605,0.02604166666666674
2018-03-30,19950,21000,19950,20900,509412,0.060913705583756306
2018-04-02,21250,21900,21100,21500,891885,0.028708133971291794
2018-04-03,21200,22900,21200,22750,1651660,0.058139534883721034
2018-04-04,22900,23050,22350,22400,535615,-0.01538461538461533
2018-04-05,22650,23100,22450,22950,503435,0.024553571428571397
2018-04-06,22650,23150,22650,22900,298345,-0.002178649237472796
2018-04-09,22750,23450,22450,23200,559157,0.013100436681222627
2018-04-10,23300,23850,22850,23500,584910,0.012931034482758674
2018-04-11,23500,23850,23250,23350,242390,-0.006382978723404209
2018-04-12,23300,23300,21750,21850,864161,-0.06423982869379019
2018-04-13,22100,22300,21750,22050,451347,0.009153318077803174
2018-04-16,21650,22200,21300,22200,385339,0.006802721088435382
2018-04-17,22200,22650,22000,22500,496885,0.013513513513513598
2018-04-18,22300,23350,22200,23100,632276,0.026666666666666616
2018-04-19,22900,23100,22300,22550,446896,-0.023809523809523836
2018-04-20,22550,23150,22350,22950,492265,0.017738359201773912
2018-04-23,22700,24500,22450,24500,1220977,0.06753812636165568
2018-04-24,24500,26200,24500,25550,2193096,0.04285714285714293
2018-04-25,25300,25900,24300,24700,1154909,-0.0332681017612525
2018-04-26,24700,25450,24250,24700,700274,0.0
2018-04-27,24900,25300,24400,24900,425216,0.00809716599190291
2018-04-30,24950,24950,24050,24500,560327,-0.016064257028112428
2018-05-02,24600,24800,23700,24150,402634,-0.014285714285714235
2018-05-03,24050,24500,23550,23650,309478,-0.020703933747411973
2018-05-04,23700,24350,23650,24250,317011,0.025369978858351017
2018-05-08,24500,24500,23300,23900,407207,-0.014432989690721598
2018-05-09,23000,23250,21700,22700,1084996,-0.05020920502092052
2018-05-10,22750,22900,21900,22150,442989,-0.024229074889867808
2018-05-11,22350,23250,22300,23050,524941,0.040632054176072296
2018-05-14,23150,23600,22700,23600,372414,0.02386117136659438
2018-05-15,23600,23900,22400,22500,384604,-0.04661016949152541
2018-05-16,22550,23000,22350,22650,230715,0.006666666666666599
2018-05-17,22750,22850,22100,22200,244164,-0.019867549668874163
2018-05-18,22200,22450,22000,22200,194707,0.0
2018-05-21,22400,22400,21900,22000,162050,-0.009009009009009028
2018-05-23,22000,22000,20700,20850,632228,-0.05227272727272725
2018-05-24,20900,21300,20850,21050,246178,0.00959232613908867
2018-05-25,21150,22050,20800,21700,744883,0.030878859857482288
2018-05-28,21750,22800,21750,22400,522375,0.032258064516129004
2018-05-29,22350,22550,22150,22350,167112,-0.0022321428571429047
2018-05-30,22350,22400,21350,21700,304273,-0.029082774049216997
2018-05-31,22000,23200,21700,23200,553363,0.06912442396313367
2018-06-01,23200,23550,22750,23550,366512,0.015086206896551824
2018-06-04,23450,23550,22550,22750,234885,-0.03397027600849256
2018-06-05,22850,22900,22300,22400,205524,-0.01538461538461533
2018-06-07,22300,22350,20900,21100,984247,-0.0580357142857143
2018-06-08,21250,21400,20700,21000,383977,-0.004739336492891044
2018-06-11,21000,21700,20950,21600,311172,0.02857142857142847
2018-06-12,21700,22650,21600,22200,665133,0.02777777777777768
2018-06-14,22000,22450,21550,21650,244834,-0.024774774774774744
2018-06-15,21650,21900,20250,20450,705316,-0.05542725173210161
2018-06-18,20400,20450,19400,19750,495263,-0.03422982885085579
2018-06-19,19450,19700,18650,19100,537529,-0.032911392405063244
2018-06-20,18900,19350,18650,19200,277135,0.005235602094240788
2018-06-21,19050,19150,17500,17650,1182835,-0.08072916666666663
2018-06-22,17500,17650,16800,17150,1616300,-0.028328611898016942
