Open,High,Low,Close,Volume,Change
35250,35250,34000,34050,644233,-0.03404255319148941
34150,34200,33700,34200,247231,0.004405286343612369
34200,34800,33800,34650,352559,0.013157894736842035
34650,34800,34000,34050,419195,-0.017316017316017285
34250,34300,33550,34000,300872,-0.001468428781204123
34000,34100,33500,33550,229389,-0.013235294117647012
33400,34650,33400,34250,227028,0.02086438152011927
34150,36150,34150,35600,747666,0.039416058394160514
36000,36200,35500,35950,298846,0.00983146067415741
35850,36000,35300,35300,341805,-0.018080667593880384
35450,35900,35250,35700,301120,0.011331444759206777
35700,35900,35250,35700,220400,0.0
35700,36000,34500,34750,309084,-0.026610644257703098
34800,35450,34650,34900,223563,0.004316546762589857
35450,36150,35000,35250,380472,0.01002865329512903
35350,35450,34100,34200,315675,-0.029787234042553234
34450,34450,34000,34250,216434,0.0014619883040936088
34100,34250,33600,34250,183464,0.0
34250,35750,34250,35550,369665,0.03795620437956204
36000,36550,35600,36500,355321,0.026722925457102642
36600,36700,36100,36500,289206,0.0
36600,36600,36100,36450,235820,-0.00136986301369868
36700,37200,35600,35850,341107,-0.016460905349794275
35850,36050,34900,35050,357572,-0.02231520223152017
35100,35750,34800,35350,359861,0.008559201141226769
35450,35800,34850,34900,507824,-0.012729844413012725
35000,35100,34450,34700,384651,-0.005730659025787954
34650,35000,33750,33800,736323,-0.025936599423631135
33700,34100,33050,33250,555007,-0.016272189349112454
33000,33500,32600,33500,685049,0.007518796992481258
33350,33550,32950,33150,498867,-0.010447761194029903
33100,33800,33100,33700,429901,0.016591251885369473
33700,33800,33200,33400,280690,-0.008902077151335286
33600,33600,32900,33050,504928,-0.010479041916167664
33150,33500,33000,33400,333963,0.010590015128593144
33050,33500,33000,33400,385312,0.0
33350,33350,32950,33150,456517,-0.007485029940119792
33200,34300,33150,34100,795631,0.02865761689291091
34500,34550,34100,34200,482834,0.0029325513196480912
34300,34600,33800,33950,468615,-0.007309941520467822
34000,34250,33400,33650,458790,-0.008836524300441795
33750,33900,33300,33650,276191,0.0
33600,34600,32850,32950,1220615,-0.0208023774145617
32500,32600,31400,31400,1027684,-0.047040971168436974
30200,30700,29800,30350,777109,-0.03343949044585992
