Open,High,Low,Close,Volume,Change
16080,16124,15636,15947,359025,0.0
15902,16257,15680,16169,383220,0.0139211136890951
16213,16435,15991,16169,317414,0.0
15813,16080,14969,15725,779142,-0.027459954233409634
15725,16080,15058,15725,683287,0.0
15724,15768,15102,15191,262338,-0.033958664546899886
15191,15502,15102,15280,258892,0.005858732144032652
15279,15457,15146,15191,120920,-0.005824607329842912
15191,15324,15146,15191,228143,0.0
15191,15280,14969,15014,200124,-0.011651635837008789
15013,15191,14658,14658,283574,-0.02371120287731454
14658,14747,14480,14614,147202,-0.003001773775412775
14658,14658,14081,14081,276870,-0.03647187628301629
14080,14124,13458,13503,386231,-0.04104822100703076
13325,13370,12970,13148,308810,-0.026290453973191186
13281,13415,13015,13415,145173,0.020307271067842914
13503,13859,13326,13326,178231,-0.006634364517331348
13059,13103,12259,12482,452493,-0.06333483415878738
12571,12837,12349,12349,330787,-0.010655343694920716
12437,13681,12393,13637,430048,0.10429994331524828
13725,15324,13636,15280,922958,0.12048104421793648
15857,15857,14613,14658,592579,-0.040706806282722496
14747,15013,14392,14703,274962,0.0030699959066722293
14746,14746,13947,14125,320390,-0.03931170509419846
14036,14080,13503,13681,297217,-0.031433628318584095
13503,14613,13503,14125,480241,0.03245376799941524
13991,14480,13991,14125,366073,0.0
14480,15591,14391,15369,1019741,0.08807079646017701
15635,17056,15546,16968,2070223,0.1040406012102284
17056,17189,16301,16879,717743,-0.005245167373880255
16879,16879,15857,16124,820452,-0.044730138041353174
16346,16346,15636,15947,278449,-0.01097742495658649
15946,16346,15591,16080,275750,0.008340126669593051
16346,17323,16346,17235,1228292,0.07182835820895517
17457,17501,16702,17324,763210,0.00516391064693944
17323,17767,17323,17590,866694,0.015354421611637026
17590,18967,17501,18790,1787433,0.06822057987492891
18878,20033,18834,19234,1389519,0.023629590207557172
19544,19988,19188,19944,1073522,0.036913798481855054
20610,21765,20299,21099,2092628,0.05791215403128769
20655,21632,19633,21544,1540837,0.02109104696905062
21854,21854,20477,20833,775687,-0.03300222799851471
20344,21765,20033,20744,1045068,-0.004272068353093683
20033,20611,19545,19545,888256,-0.05779984573852681
18478,20611,18123,19545,1466929,0.0
20388,20432,18433,18567,772820,-0.050038372985418245
18700,19455,18034,19056,1085277,0.02633704960413641
18212,18656,17812,18301,711545,-0.03962006717044497
18701,18701,17013,17324,1148364,-0.053385060925632444
17501,17501,16746,16835,462065,-0.028226737474024488
16879,17856,16834,17812,345540,0.058033858033857966
18478,19677,18167,19411,965767,0.08977094093869309
19411,20033,18656,18923,719683,-0.025140384318170117
19189,20078,18745,20078,822311,0.06103683348306288
20433,20921,19677,20211,1248528,0.006624165753561062
20344,22387,20344,21766,1880588,0.07693830092523868
22210,23365,21144,22166,1082302,0.01837728567490582
22476,22743,21632,22166,680197,0.0
22298,23187,21676,22210,825791,0.0019850221059281026
21810,22120,21499,21810,596195,-0.01800990544799641
22210,22254,21011,21011,559622,-0.03663457129756997
21499,23231,21454,23187,1426948,0.10356479939079533
23409,25319,22698,23409,1669125,0.009574330443783197
23675,24297,23542,23898,920716,0.020889401512238948
24341,25097,23675,24031,1129811,0.005565319273579394
24119,24786,24119,24564,513224,0.022179684574091807
25186,25230,23098,24120,1508404,-0.01807523204689787
23675,23808,22298,22565,1286417,-0.06446932006633499
22210,23765,21854,23765,1184571,0.0531797030799912
23542,23720,23009,23143,602107,-0.02617294340416576
22875,22964,22253,22476,459675,-0.028820809748087983
22521,23764,22476,23676,1355796,0.05339028296849979
24164,24474,23630,24164,811364,0.020611589795573648
24519,25008,23720,24209,1276887,0.001862274457871127
23942,27140,23365,25053,4988234,0.034863067454252494
25186,26252,24964,25764,1780242,0.028379834750329236
25764,26519,25053,25542,1443155,-0.008616674429436477
25052,25630,24519,24875,922826,-0.026113851695247048
25141,25141,24075,24831,771351,-0.00176884422110557
25141,25275,23942,24520,998425,-0.0125246667472112
24119,24341,23053,23631,1329232,-0.03625611745513868
23009,23231,22298,22565,1163159,-0.04511023655367952
22654,23542,22432,22743,900425,0.007888322623532007
23365,24786,23187,24387,1461049,0.07228597810315263
24652,25407,24475,24786,1061191,0.01636117603641285
24252,24474,23630,24164,714115,-0.025094811587186294
23987,24697,22965,24387,889484,0.009228604535672869
24697,25008,23631,23676,631596,-0.029154877598720597
24208,24786,24119,24564,778888,0.037506335529650325
24786,24786,24120,24520,374198,-0.001791239211854756
24697,24741,23631,23809,477157,-0.028996737357259383
23986,24031,23098,23365,585554,-0.01864841026502584
23543,23987,23143,23854,486801,0.02092873956772956
23986,24564,23720,23898,606117,0.001844554372432361
24076,24076,23365,23854,420911,-0.001841158255921016
23542,23809,22965,23143,719374,-0.029806321790894597
23186,23453,22698,23409,362389,0.01149375621138149
23098,23142,21987,22210,736162,-0.05121961638685979
22298,23186,22254,22565,565721,0.015983791085096843
22565,22654,22032,22388,344507,-0.007844006204298704
22343,22388,20478,21322,1414230,-0.04761479363944976
20877,21898,20255,21499,909858,0.008301285057686902
21499,22032,21366,21677,365405,0.008279454858365565
21766,22698,21721,22388,664280,0.03279974166166899
22698,23498,22432,22743,703941,0.01585670895122382
22743,22920,21899,22521,340152,-0.0097612452183089
23187,23586,22920,23276,650136,0.03352426624039784
23365,23409,22832,23010,334809,-0.011428080426190035
23187,24120,23054,23987,810979,0.04245980008691874
23986,24475,23364,24031,848080,0.0018343269270855167
24075,24519,23142,23498,691026,-0.022179684574091807
23942,24075,23320,23365,448798,-0.005660056174993655
23365,24253,23365,23987,739685,0.0266210143376846
24030,24430,23764,24253,461808,0.011089340059198705
24342,24386,23764,23987,374817,-0.010967715334185502
23809,23898,23409,23676,320844,-0.012965356234627134
23631,24741,23453,24475,1202737,0.03374725460381822
24075,24253,23231,23898,1115280,-0.02357507660878444
23586,23808,23275,23720,569112,-0.007448322035316757
23275,23941,23097,23320,676221,-0.016863406408094472
23897,24342,23453,24120,698104,0.03430531732418518
23898,24120,23720,23854,346404,-0.011028192371476009
23897,24208,23675,24031,343762,0.00742013918001172
24209,24253,23631,24209,405488,0.0074070991635803995
24253,24342,23942,24076,404279,-0.00549382461068193
24252,24386,23631,23631,315665,-0.01848313673367674
23497,24919,23453,24786,1353815,0.0488764758156659
25008,25008,24075,24609,732501,-0.007141128056160739
24697,24697,23098,23232,2892971,-0.05595513836401311
23542,23853,22698,22965,1030592,-0.011492768595041336
22964,23008,21143,21632,1014669,-0.05804485086000433
21499,22165,20833,20922,902091,-0.032821745562130134
20832,21632,20832,21366,388184,0.021221680527674147
21321,21943,21010,21188,329384,-0.008330993166713485
21143,22254,20921,22254,551380,0.05031149707381544
22076,23365,22032,23365,729242,0.04992360923878847
22964,23986,22875,23631,694671,0.011384549539910083
23320,24164,22432,22743,739239,-0.037577758029706754
23009,23765,22787,23543,406674,0.03517565844435655
23764,24164,23231,23987,560720,0.018859108864630603
23853,24208,22476,22565,622488,-0.0592821111435361
22565,23054,22121,22521,349095,-0.00194992244626635
22342,22698,22120,22476,271419,-0.0019981350739309844
22299,22610,21721,22077,299538,-0.017752269087026207
22120,23719,22120,23409,848812,0.06033428454953116
23187,23720,22964,23498,379170,0.00380195651245252
23542,23986,23009,23054,382173,-0.018895225125542647
22743,22787,22388,22699,312776,-0.015398629305109712
22654,22698,22298,22432,486022,-0.011762632715097587
22476,22743,22299,22610,382590,0.007935092724679071
22476,22875,22253,22476,284792,-0.005926581158779309
22476,22565,21766,22166,835230,-0.013792489766862426
22165,22254,21232,21366,946197,-0.036091311016872685
21410,21632,21143,21366,361579,0.0
