Date,Open,High,Low,Close,Volume,Change
2017-12-01,34054,34248,33470,33762,602239,-0.009999120311996013
2017-12-04,33567,34637,33567,34395,427369,0.018748889283810133
2017-12-05,34394,35902,34394,35757,1122426,0.03959877889228092
2017-12-06,36000,36000,34881,35076,556016,-0.019045221914590127
2017-12-07,35172,35221,34345,34541,393689,-0.01525259436651838
2017-12-08,34345,34832,33713,33714,532484,-0.023942561014446584
2017-12-11,33859,34345,33713,33714,285170,0.0
2017-12-12,34005,34102,33664,33859,261699,0.00430088390579586
2017-12-13,33956,35562,33956,35562,953458,0.05029681916181805
2017-12-14,35513,35756,33762,33762,896543,-0.050615825881558996
2017-12-15,34929,35464,34929,35027,515598,0.03746815946922566
2017-12-18,35464,35562,35221,35319,338156,0.008336426185514112
2017-12-19,35562,35708,34686,34832,303575,-0.013788612361618435
2017-12-20,34832,35270,34832,35124,227993,0.008383096003674817
2017-12-21,35075,35075,34491,34541,405664,-0.016598337319211898
2017-12-22,34589,34686,33810,33957,451764,-0.016907443328218585
2017-12-26,34005,34540,33859,34395,386951,0.01289866595989042
2017-12-27,34054,34540,33567,34395,337164,0.0
2017-12-28,34394,35513,34248,35319,410167,0.026864369821195
2018-01-02,35464,36389,35124,36146,667252,0.023415158979586126
2018-01-03,35659,36000,35221,35319,495921,-0.0228794334089526
2018-01-04,35318,37362,35318,36924,1500484,0.04544296271128845
2018-01-05,37167,37556,36291,37022,674110,0.0026541003141589137
2018-01-08,36972,37508,36389,37314,593221,0.007887202204094779
2018-01-09,36972,37508,36972,37362,525719,0.0012863804470171214
2018-01-10,37800,39891,37410,39357,2083498,0.05339649911674971
2018-01-11,39405,39551,38432,38578,907874,-0.01979317529283231
2018-01-12,38967,40232,38821,38919,745839,0.008839234797034523
2018-01-15,39162,39648,38578,39259,505736,0.008736092910917481
2018-01-16,39454,39454,38091,38335,694069,-0.02353600448304849
2018-01-17,37994,38286,37508,38043,521303,-0.007617060127820485
2018-01-18,38043,38237,36924,37022,975027,-0.02683805167836395
2018-01-19,37118,38918,37118,38919,948857,0.051239803360164204
2018-01-22,38627,39016,37945,38919,618864,0.0
2018-01-23,39259,40037,39113,39892,815483,0.02500064235977284
2018-01-24,39843,40378,39210,39746,422572,-0.0036598816805374357
2018-01-25,39405,41156,39405,41011,1129947,0.03182710209832429
2018-01-26,40475,40572,38189,39697,2176112,-0.03204018434078659
2018-01-29,39794,43443,39794,42422,2620640,0.06864498576718647
2018-01-30,42421,43540,41983,42227,1439157,-0.004596671538352748
2018-01-31,41837,42421,40816,41741,774736,-0.011509223956236547
2018-02-01,41643,43637,41643,42957,1355652,0.02913202846122509
2018-02-02,43200,43491,41837,42276,706314,-0.015853062364690307
2018-02-05,41643,43345,41156,42276,1153653,0.0
2018-02-06,41108,42664,40378,42081,1060981,-0.004612546125461248
2018-02-07,43005,43054,39648,39892,687850,-0.052018725790736964
2018-02-08,40183,40183,38043,39259,1058437,-0.015867843176576746
2018-02-09,37799,38724,37751,38043,823933,-0.03097378944955298
2018-02-12,38140,38140,37313,37605,717316,-0.01151328759561554
