Date,Open,High,Low,Close,Volume,Change
2017-12-01,18950,18950,18550,18650,100586,-0.010610079575596787
2017-12-04,19900,19950,18850,18950,290562,0.01608579088471851
2017-12-05,19250,19350,18900,19350,159286,0.02110817941952514
2017-12-06,19700,19700,18700,18750,180002,-0.03100775193798455
2017-12-07,18800,19100,18600,19050,138901,0.016000000000000014
2017-12-08,19350,19350,18700,18950,131475,-0.005249343832021025
2017-12-11,19100,19300,18800,19300,134509,0.01846965699208436
2017-12-12,19200,19350,19050,19200,94175,-0.005181347150259086
2017-12-13,19100,19700,19100,19650,156539,0.0234375
2017-12-14,19700,19800,18000,18000,256665,-0.08396946564885499
2017-12-15,19000,19300,18950,19300,177340,0.07222222222222219
2017-12-18,19250,19300,18900,19050,76980,-0.012953367875647714
2017-12-19,18900,19250,18800,18900,55373,-0.007874015748031482
2017-12-20,18800,19050,18750,19000,62248,0.005291005291005346
2017-12-21,18850,19100,18250,19050,75036,0.002631578947368318
2017-12-22,18850,19100,18600,19000,70641,-0.002624671916010457
2017-12-26,19150,19400,18950,19250,88850,0.013157894736842035
2017-12-27,18950,19050,18550,18800,68311,-0.023376623376623384
2017-12-28,18750,18950,18700,18750,44304,-0.0026595744680850686
2018-01-02,18750,19050,18700,18850,65357,0.005333333333333412
2018-01-03,18700,19000,18700,18850,90513,0.0
2018-01-04,19000,19350,18800,19000,117514,0.007957559681697646
2018-01-05,19000,19500,19000,19250,104010,0.013157894736842035
2018-01-08,19450,19500,18750,18950,100982,-0.01558441558441559
2018-01-09,18950,18950,18650,18700,82589,-0.01319261213720313
2018-01-10,18700,19050,18700,18900,93980,0.010695187165775444
2018-01-11,18900,19050,18650,18700,95130,-0.010582010582010581
2018-01-12,17400,17600,16950,17150,4165872,-0.08288770053475936
2018-01-15,17300,17300,16900,16950,374420,-0.011661807580174877
2018-01-16,17000,17150,16800,16900,317355,-0.002949852507374673
2018-01-17,16850,16950,16700,16800,297614,-0.00591715976331364
2018-01-18,16800,17200,16800,17050,239077,0.014880952380952328
2018-01-19,16900,17000,16750,16750,259024,-0.017595307917888547
