Open,High,Low,Close,Volume,Change
271000,277000,267500,269000,191422,-0.01645338208409508
269500,271500,266000,268500,133272,-0.0018587360594795044
266000,275000,266000,268500,142313,0.0
269000,274000,263500,263500,171276,-0.01862197392923648
266000,269500,262500,263000,130195,-0.00189753320683117
262500,265000,257500,262000,128962,-0.0038022813688213253
263500,265000,253000,257000,218065,-0.01908396946564883
253500,257000,252500,256000,199849,-0.0038910505836575737
255500,262000,255500,259500,171317,0.013671875
260000,263500,257000,257000,334336,-0.009633911368015391
261000,268500,256000,267000,265788,0.03891050583657596
263500,269500,261500,267000,140586,0.0
266500,268500,261000,268000,156223,0.0037453183520599342
265000,266500,259500,264500,217296,-0.013059701492537323
263000,265500,258000,259000,157491,-0.020793950850661602
262500,262500,258000,260000,144166,0.0038610038610038533
260000,262500,258500,261000,150400,0.0038461538461538325
258000,273000,257000,268000,223273,0.026819923371647514
265500,267500,259000,263000,185069,-0.018656716417910446
262500,263500,256000,257000,181417,-0.02281368821292773
254500,259000,254500,256500,175705,-0.0019455252918287869
255000,256500,245500,246500,458789,-0.03898635477582846
243500,248000,243500,246500,214959,0.0
246500,248500,245500,247500,193889,0.0040567951318457585
246000,252000,246000,249500,154294,0.008080808080808133
250500,257000,250500,255000,211615,0.022044088176352616
255000,255000,249500,251000,174609,-0.015686274509803977
251500,254000,246500,247500,127169,-0.013944223107569709
249500,251000,244500,247000,112046,-0.002020202020202033
246500,256500,246500,253000,161403,0.02429149797570851
251000,257000,251000,256500,130436,0.01383399209486158
258000,259000,252500,255000,138823,-0.005847953216374324
253500,268000,253500,267000,241714,0.04705882352941182
267500,272000,261000,269500,370941,0.009363295880149725
268000,275500,266000,268000,252175,-0.005565862708719838
265500,272500,265000,270000,200153,0.00746268656716409
268500,276500,264000,268000,298618,-0.007407407407407418
252000,255000,241500,246000,1337931,-0.08208955223880599
243000,249500,242000,249500,351592,0.014227642276422703
247000,248500,244000,245500,331364,-0.01603206412825653
245000,247500,242000,247500,391535,0.008146639511201537
248000,249000,246000,246000,157759,-0.0060606060606061
246500,256500,246500,255000,437624,0.03658536585365857
254000,255000,248000,248500,244874,-0.025490196078431393
248000,248000,242000,245000,277099,-0.014084507042253502
245500,256000,242500,243000,323645,-0.008163265306122436
244000,249000,241000,245000,473762,0.008230452674897082
240000,240500,234500,236500,314830,-0.03469387755102038
236500,238500,234000,234000,289273,-0.010570824524312905
234000,236000,223500,224500,469496,-0.040598290598290565
225500,228000,222000,224500,399960,0.0
228000,229500,222000,223500,314804,-0.0044543429844098315
223500,227000,222000,223000,151464,-0.0022371364653244186
222500,224500,221000,222500,326193,-0.0022421524663677195
222500,227500,222500,224000,281409,0.006741573033707926
225000,229000,221500,228000,289337,0.017857142857142794
230000,234000,227500,231500,262655,0.015350877192982448
232000,234500,230000,230000,149866,-0.006479481641468721
230000,232500,226500,228000,181780,-0.008695652173912993
227000,228000,219500,220500,248597,-0.03289473684210531
220000,223500,220000,221500,125684,0.0045351473922903285
222500,224000,217500,219500,303314,-0.009029345372460473
218500,219000,214500,214500,377344,-0.02277904328018221
218000,219000,215000,218000,270399,0.01631701631701632
217500,222000,216500,221500,231252,0.016055045871559592
227000,227000,223000,224500,235422,0.013544018058690765
221500,224500,220500,224000,173751,-0.00222717149220486
222000,233000,222000,229000,357603,0.022321428571428603
230000,231500,225000,229000,202773,0.0
230000,237500,229500,231500,347714,0.01091703056768556
227000,227000,219000,226000,297880,-0.023758099352051865
222000,235000,221500,233500,353851,0.0331858407079646
232000,237500,232000,236500,186908,0.012847965738758127
