Open,High,Low,Close,Volume,Change
75500,94400,73100,88700,4171304,
92500,94500,80300,82100,1131418,-0.07440811724915442
81800,83600,79100,79600,365847,-0.030450669914738104
80200,82400,78700,81100,247372,0.018844221105527748
81600,82900,79000,79600,199453,-0.018495684340320562
79600,80000,78000,78000,111902,-0.02010050251256279
78400,78500,74200,75200,206446,-0.03589743589743588
75100,77200,73100,76700,153072,0.019946808510638236
77200,80800,75000,80300,241415,0.046936114732724965
80300,87500,79100,84100,398111,0.04732254047322537
84400,89900,83000,89100,290864,0.05945303210463737
88600,91200,86500,87300,143161,-0.02020202020202022
87900,88400,85000,86300,113001,-0.01145475372279492
86500,89400,82800,88500,156540,0.02549246813441486
90000,91100,87600,88000,90505,-0.005649717514124242
87300,88300,83600,83700,93744,-0.04886363636363633
83400,85500,83100,84300,27684,0.007168458781362075
84000,84700,81300,81500,67344,-0.033214709371293005
80500,82000,79900,81600,46667,0.0012269938650306678
82000,82300,79500,80600,54016,-0.01225490196078427
80600,80900,79200,79200,35872,-0.017369727047146455
78800,79600,77900,78400,25472,-0.010101010101010055
76000,79500,75900,79100,128295,0.008928571428571397
78800,80300,77400,77900,53683,-0.015170670037926715
77600,77800,76700,77100,39085,-0.010269576379974277
77100,77700,76300,76300,25599,-0.01037613488975353
75500,75900,73300,73300,82181,-0.03931847968545221
73100,77200,72400,77000,83513,0.05047748976807642
76800,77600,74300,75100,38595,-0.024675324675324628
74900,75900,72700,73200,39704,-0.025299600532623145
72100,72600,67500,67900,99364,-0.07240437158469948
65700,67400,62800,63300,173465,-0.06774668630338732
64200,66100,60300,65100,115687,0.028436018957346043
65700,67600,65100,66100,50942,0.015360983102918668
65200,67700,63300,63500,29709,-0.039334341906202774
62300,64000,61000,61200,34129,-0.03622047244094484
60500,62300,60200,61300,46126,0.0016339869281045694
61300,63200,60400,62100,35459,0.013050570962479524
61500,62900,60800,62700,30430,0.009661835748792313
62500,62500,60300,60300,44144,-0.038277511961722466
59000,60000,56800,57400,67040,-0.04809286898839138
57900,61100,57100,61000,41565,0.06271777003484313
60900,60900,59400,59600,17037,-0.022950819672131195
60000,63400,59300,63200,52816,0.06040268456375841
63200,65700,62200,63900,55729,0.011075949367088667
63100,64400,62100,62900,15485,-0.015649452269170583
62900,64000,60800,61200,25289,-0.027027027027026973
63000,63000,60300,61200,11653,0.0
61800,62300,60700,61600,13197,0.006535947712418277
61600,66000,60800,65300,47809,0.060064935064935154
66000,70000,65200,69000,103764,0.05666156202143946
69000,70400,67100,69500,44823,0.007246376811594235
69500,70500,68700,69400,17788,-0.0014388489208633226
70300,70900,68000,68500,20193,-0.012968299711815567
68500,69500,65400,67000,26530,-0.021897810218978075
66300,69500,66000,68000,26611,0.014925373134328401
68300,68300,63100,65600,66803,-0.03529411764705881
65300,66400,64800,66000,23892,0.0060975609756097615
66600,66600,64100,64100,20172,-0.028787878787878807
63800,64500,62000,62200,22291,-0.029641185647425905
61500,62500,60400,60800,34227,-0.022508038585209
60800,61800,60100,60800,18212,0.0
61000,64300,60900,63000,36594,0.03618421052631571
58800,62800,58000,61100,269756,-0.030158730158730163
61200,61500,58700,59200,82759,-0.03109656301145658
59200,59200,57500,57600,60234,-0.027027027027026973
58200,58500,56600,56700,44188,-0.015625
56200,57700,55400,56300,40557,-0.007054673721340388
56500,56800,54800,55600,51076,-0.01243339253996445
55600,55700,51100,51200,109598,-0.07913669064748197
50800,54600,50800,53300,84566,0.041015625
53300,55600,52800,53100,43812,-0.0037523452157598447
52700,55000,52700,53200,41173,0.0018832391713747842
52900,53500,52400,52400,24627,-0.015037593984962405
52600,53500,51900,52300,19253,-0.001908396946564861
52100,52700,51000,51200,45483,-0.021032504780114758
51100,52000,51000,51500,23198,0.005859375
51500,51900,50800,51200,20087,-0.005825242718446644
51000,54400,51000,53400,49236,0.04296875
54000,55700,53500,54800,47062,0.02621722846441954
55000,55400,53800,54100,23645,-0.012773722627737238
53900,54700,53200,53200,21882,-0.01663585951940849
52900,54200,52200,53500,19185,0.005639097744360999
52500,54300,52500,53900,19863,0.007476635514018781
53500,53500,51000,51700,25489,-0.04081632653061229
51700,52300,51400,52000,14368,0.005802707930367523
51500,51900,50200,51500,19936,-0.009615384615384581
51400,53500,51400,52100,20616,0.011650485436893288
51200,52900,50700,52000,19554,-0.0019193857965451588
51200,52200,48800,48850,51705,-0.060576923076923084
47250,48450,46500,47000,36884,-0.03787103377686796
46500,54500,46500,52500,117671,0.11702127659574457
52900,54700,52900,53900,50875,0.026666666666666616
54000,54600,52300,52700,32422,-0.02226345083487946
52800,54100,52200,53900,21974,0.022770398481973375
53300,53700,52700,53200,16108,-0.012987012987012991
53700,54000,52600,53400,12006,0.003759398496240518
52200,53700,52200,53500,13088,0.001872659176029856
54200,56000,53700,55700,45924,0.04112149532710285
55700,56100,54800,55900,26306,0.0035906642728904536
56300,56700,55300,56600,27503,0.012522361359570633
56800,57000,55800,56100,16704,-0.00883392226148405
55200,57600,54700,57400,27957,0.02317290552584672
55700,56400,54300,54500,490999,-0.05052264808362372
55500,56100,53100,53800,29910,-0.012844036697247652
54900,54900,52700,53200,25697,-0.01115241635687736
53100,53200,51900,52800,27583,-0.007518796992481258
53200,54100,53100,53300,12363,0.009469696969697017
53800,53800,51900,52500,22605,-0.015009380863039379
52100,52900,50800,51500,66571,-0.01904761904761909
50700,53200,50600,53100,26209,0.03106796116504862
53300,53600,52400,53000,27631,-0.0018832391713747842
53000,53400,52200,52300,7800,-0.013207547169811318
52400,53000,50700,51100,19159,-0.02294455066921608
51400,51800,50900,51100,15922,0.0
51000,51600,50900,51600,14674,0.009784735812133016
51800,51800,51100,51600,7709,0.0
51600,52500,51600,51800,14835,0.003875968992248069
52700,52900,51800,52300,26577,0.009652509652509744
52700,54300,51800,54000,55572,0.03250478011472269
54500,55400,53200,55200,48919,0.022222222222222143
55500,55500,54500,55400,24023,0.0036231884057971175
55800,57900,55800,57500,88889,0.03790613718411562
57500,58200,56100,57300,50346,-0.003478260869565264
57400,57700,54800,56000,58822,-0.022687609075043635
56500,56500,55200,55500,12629,-0.008928571428571397
52000,54400,52000,54100,239174,-0.02522522522522519
53900,54700,53700,54700,86168,0.01109057301293892
54000,54300,53200,53900,50360,-0.014625228519195566
54100,54300,52300,52300,45427,-0.029684601113172504
52500,52700,51000,51100,57323,-0.02294455066921608
51100,52300,50500,51500,42715,0.007827788649706457
51500,53500,51200,52700,30430,0.023300970873786353
52500,53200,52500,53200,29138,0.009487666034155628
53300,53700,52700,53000,30704,-0.003759398496240629
53000,54200,53000,53500,48726,0.009433962264151052
54000,54200,52500,53000,22748,-0.009345794392523366
52700,52800,50900,51700,68664,-0.024528301886792447
52200,53300,51800,53100,36755,0.027079303675048294
52800,53200,52200,52900,16771,-0.0037664783427495685
52600,54300,52000,53700,60685,0.01512287334593565
53500,54400,52300,52700,22279,-0.01862197392923648
52500,53100,52100,52400,17651,-0.005692599620493399
52500,53200,51700,52900,24928,0.009541984732824416
52900,53700,52400,53200,25685,0.005671077504725952
52900,53500,52800,53400,18730,0.003759398496240518
53300,53900,52600,53100,32151,-0.005617977528089901
53100,53600,52000,52200,39656,-0.016949152542372836
52500,53300,51400,53300,41474,0.021072796934865856
54200,55500,54000,54400,106920,0.02063789868667909
54400,54600,53700,53900,40974,-0.009191176470588203
54000,54300,53300,53900,22254,0.0
54200,54200,53500,53600,17476,-0.005565862708719838
53400,54500,53300,54000,31863,0.00746268656716409
54200,54300,53600,53900,23688,-0.0018518518518518823
53800,54200,53300,53800,23917,-0.0018552875695733162
53800,54000,49300,52000,78774,-0.03345724907063197
52000,52400,50200,50600,78627,-0.02692307692307694
50800,52100,50400,52100,48167,0.029644268774703608
51600,52400,51300,51900,19259,-0.0038387715930902067
51700,52300,51100,51500,14985,-0.0077071290944122905
51600,51800,50600,51000,25073,-0.009708737864077666
50800,51200,49950,50800,28326,-0.0039215686274509665
50500,51000,50100,50600,19581,-0.003937007874015741
50400,51500,49950,51300,24649,0.01383399209486158
51500,51600,50600,50800,67546,-0.00974658869395717
50700,51100,50300,50500,22955,-0.0059055118110236116
50500,50700,50100,50100,15754,-0.007920792079207928
50000,50600,48850,49150,36125,-0.01896207584830334
48750,49400,48750,49200,17633,0.0010172939979653517
49150,49150,48500,48850,18029,-0.007113821138211351
48650,50700,48200,49800,40214,0.019447287615148356
49600,49800,48300,48400,32255,-0.028112449799196804
48550,49200,48350,48650,17083,0.005165289256198413
48550,49550,48450,49400,17009,0.01541623843782114
49200,50000,48800,49700,17531,0.006072874493927127
50000,50000,48800,49450,17577,-0.005030181086519092
49500,49900,49150,49900,17832,0.009100101112234471
50300,50300,49850,49900,13981,0.0
49900,50100,49550,49650,9687,-0.00501002004008011
49600,50100,49600,50000,13612,0.007049345417925457
49700,50200,49250,49350,19319,-0.013000000000000012
49650,49650,48750,49250,16212,-0.0020263424518743856
49250,49450,48700,49100,13296,-0.003045685279187804
49300,49450,48800,49000,35985,-0.0020366598778004397
48900,49450,48800,49000,50806,0.0
48950,50200,48500,49800,47896,0.01632653061224487
49650,50800,49300,50400,50318,0.012048192771084265
50400,51200,50200,50400,47953,0.0
50900,50900,49100,49400,41406,-0.019841269841269882
49400,49750,48450,48500,43535,-0.018218623481781382
48500,48500,46600,46950,54126,-0.031958762886597936
47300,47400,46850,47000,33838,0.0010649627263046302
46900,46900,44150,44350,72261,-0.05638297872340425
45150,45650,44100,44450,55310,0.0022547914317925244
44450,47650,44450,46700,47685,0.0506186726659168
