Date,Open,High,Low,Close,Volume,Change
2017-12-01,60400,60400,59200,59400,501706,-0.010000000000000009
2017-12-04,59600,61000,59500,61000,571235,0.026936026936027035
2017-12-05,61000,62700,60800,62600,730022,0.026229508196721207
2017-12-06,62800,62800,60400,60900,725703,-0.027156549520766737
2017-12-07,61600,61600,59200,59700,427484,-0.019704433497536922
2017-12-08,59600,59900,58300,58900,358596,-0.01340033500837523
2017-12-11,58300,58700,57800,58600,375970,-0.005093378607809895
2017-12-12,58200,59000,58200,58300,220972,-0.005119453924914641
2017-12-13,58300,59100,58300,59100,275885,0.013722126929674117
2017-12-14,59500,59900,59100,59200,576843,0.0016920473773265332
2017-12-15,59500,60000,59200,59800,335775,0.010135135135135087
2017-12-18,59400,59600,56600,57000,586887,-0.04682274247491636
2017-12-19,57100,57700,56400,56700,293644,-0.0052631578947368585
2017-12-20,56700,58500,56600,58300,331168,0.02821869488536155
2017-12-21,58300,59100,57800,58000,258758,-0.005145797598627766
2017-12-22,58500,58500,57100,57400,205597,-0.010344827586206917
2017-12-26,57600,57900,56600,56600,437107,-0.013937282229965153
2017-12-27,56700,58000,55600,57900,285336,0.0229681978798586
2017-12-28,57900,58600,57600,58600,159966,0.012089810017271052
2018-01-02,58100,58300,57100,57200,350878,-0.023890784982935176
2018-01-03,57500,59600,57500,58700,513951,0.02622377622377625
2018-01-04,59000,60100,58200,58200,496290,-0.008517887563884163
2018-01-05,58100,58300,56900,57000,594242,-0.020618556701030966
2018-01-08,57400,58400,57400,58100,398695,0.019298245614035148
2018-01-09,58000,59400,57800,59200,368368,0.018932874354561147
2018-01-10,59400,60600,58600,60500,540559,0.02195945945945943
2018-01-11,60600,60700,58900,59400,482032,-0.018181818181818188
2018-01-12,60000,61000,59900,60500,385616,0.0185185185185186
2018-01-15,60500,60600,58600,58900,374468,-0.026446280991735516
2018-01-16,59000,59000,57900,58400,387316,-0.008488964346349714
2018-01-17,58300,59400,58300,58900,419494,0.008561643835616417
2018-01-18,59200,59600,58300,59100,302970,0.00339558573853993
2018-01-19,58800,59600,58300,59600,281462,0.008460236886632888
2018-01-22,60400,60400,58900,60000,430760,0.006711409395973256
2018-01-23,59700,60400,59500,59900,308625,-0.0016666666666667052
2018-01-24,59900,60200,59500,60000,306168,0.0016694490818029983
2018-01-25,59600,60400,59300,60400,309955,0.006666666666666599
2018-01-26,60100,60900,58500,58900,570532,-0.024834437086092676
2018-01-29,58800,59200,57600,57800,1037243,-0.018675721561969394
2018-01-30,58000,58700,57400,57500,437238,-0.00519031141868509
2018-01-31,57600,57800,56200,57000,499342,-0.008695652173912993
2018-02-01,57100,58200,56900,57900,382035,0.015789473684210575
2018-02-02,57700,57900,56600,56600,435975,-0.022452504317789335
2018-02-05,56300,56400,55300,55600,505482,-0.017667844522968212
2018-02-06,54700,55200,53800,54400,545003,-0.021582733812949617
2018-02-07,55000,55300,54000,54100,539149,-0.005514705882352922
2018-02-08,54000,54900,53300,53800,426862,-0.00554528650646946
2018-02-09,52800,53200,52300,52600,346388,-0.022304832713754608
2018-02-12,52900,53200,52400,52700,224696,0.0019011406844107182
2018-02-13,52900,53200,52000,52300,281094,-0.007590132827324458
2018-02-14,52500,52900,52000,52400,175357,0.0019120458891013214
2018-02-19,51000,53000,50300,52600,447749,0.003816793893129722
2018-02-20,52700,53400,52200,52500,176002,-0.0019011406844106071
2018-02-21,52600,52600,51600,52200,201850,-0.005714285714285672
2018-02-22,52200,52300,51600,52300,162122,0.0019157088122605526
2018-02-23,52500,53300,52100,52900,275700,0.011472275334607929
2018-02-26,53600,54000,53300,53600,256895,0.013232514177693666
2018-02-27,53700,54200,53600,53700,194512,0.001865671641791078
2018-02-28,53500,54400,53400,53600,326052,-0.0018621973929237035
2018-03-02,52500,53000,51800,52000,255643,-0.02985074626865669
2018-03-05,51800,52300,51100,51300,186623,-0.013461538461538414
2018-03-06,51600,52000,51200,51300,222076,0.0
2018-03-07,51100,51600,50500,50800,374701,-0.00974658869395717
2018-03-08,51500,52600,51200,52400,331142,0.03149606299212593
2018-03-09,51900,52400,50700,51100,547049,-0.024809160305343525
2018-03-12,51500,52500,51200,52300,352347,0.023483365949119372
2018-03-13,51600,52100,51300,51500,268461,-0.015296367112810683
2018-03-14,51000,51400,50800,51000,201940,-0.009708737864077666
2018-03-15,51000,51100,50400,50900,247253,-0.0019607843137254832
2018-03-16,50900,51300,50600,50700,293607,-0.003929273084479323
2018-03-19,51200,52500,50900,51000,389167,0.00591715976331364
2018-03-20,51400,51900,51100,51600,233982,0.0117647058823529
2018-03-21,51400,51600,51100,51400,173349,-0.003875968992248069
2018-03-22,52000,52100,50700,50900,323165,-0.009727626459143934
2018-03-23,51600,51700,49450,49450,845683,-0.028487229862475427
2018-03-26,50300,50900,50000,50600,315802,0.023255813953488413
2018-03-27,50900,52500,50000,52400,585415,0.035573122529644285
2018-03-28,51600,51700,50800,51200,341032,-0.022900763358778664
2018-03-29,52600,52900,50400,51600,532739,0.0078125
2018-03-30,52100,52400,50600,51000,351254,-0.011627906976744207
2018-04-02,51000,51600,50100,50300,301418,-0.013725490196078383
2018-04-03,49800,50400,49750,50200,259870,-0.001988071570576566
2018-04-04,50200,51600,50100,50500,389905,0.005976095617529875
2018-04-05,50700,51100,50300,50500,225795,0.0
2018-04-06,50600,50700,50000,50500,221496,0.0
2018-04-09,50200,50900,49800,50100,239563,-0.007920792079207928
2018-04-10,50200,50500,49950,50200,233321,0.001996007984031989
2018-04-11,50200,50500,50000,50300,271271,0.0019920318725099584
2018-04-12,50100,50500,50000,50000,229846,-0.005964214711729587
2018-04-13,50100,50800,50000,50000,354749,0.0
2018-04-16,50100,50300,49850,49850,177312,-0.0030000000000000027
2018-04-17,49900,50400,49800,50100,236828,0.005015045135406293
2018-04-18,50200,51800,50100,51800,647152,0.03393213572854292
2018-04-19,52100,54900,51900,54300,1207130,0.04826254826254828
2018-04-20,54600,55100,53300,54300,593522,0.0
2018-04-23,55100,56300,54300,55700,843398,0.025782688766114115
2018-04-24,55700,55900,54500,55600,403504,-0.0017953321364452268
2018-04-25,55200,55800,54500,54500,405889,-0.01978417266187049
2018-04-26,54500,55500,54200,54600,351168,0.0018348623853210455
2018-04-27,54400,54800,53600,53800,302207,-0.0146520146520146
2018-04-30,56000,61400,55500,60600,2932677,0.12639405204460963
2018-05-02,61600,61700,58200,59400,2040069,-0.01980198019801982
2018-05-03,60500,60900,59400,59600,802397,0.0033670033670034627
2018-05-04,59100,62500,58300,61600,1293259,0.033557046979865834
2018-05-08,60100,63600,59800,61500,1153055,-0.0016233766233766378
2018-05-09,62100,63500,60700,62700,1247145,0.019512195121951237
2018-05-10,64200,66500,63700,65700,1966270,0.04784688995215314
2018-05-11,65500,66600,64000,65500,1214710,-0.0030441400304414
2018-05-14,66800,70000,66500,68700,2029868,0.04885496183206106
2018-05-15,68800,69100,66200,66900,1288599,-0.026200873362445365
2018-05-16,62800,66600,62800,63000,1789916,-0.058295964125560484
2018-05-17,63600,66300,63300,64600,1142080,0.025396825396825307
2018-05-18,65000,65400,63800,64800,583263,0.003095975232198178
2018-05-21,64800,64800,63200,63900,442892,-0.01388888888888884
2018-05-23,62100,63400,61000,62400,1085229,-0.023474178403755874
2018-05-24,63000,63200,60300,61200,772972,-0.019230769230769273
2018-05-25,57100,59500,56000,58700,1363697,-0.040849673202614345
2018-05-28,64900,73600,64400,67200,6637458,0.14480408858603067
2018-05-29,66400,66600,62800,63100,2264107,-0.06101190476190477
2018-05-30,64400,65300,62800,63300,1518237,0.0031695721077653616
2018-05-31,63200,64300,61600,61800,1169986,-0.023696682464455
2018-06-01,63900,63900,61000,61800,912509,0.0
2018-06-04,64000,64200,60600,60600,950003,-0.01941747572815533
2018-06-05,60700,62900,59000,62700,911668,0.034653465346534684
2018-06-07,63000,65100,62500,64800,1158761,0.03349282296650724
2018-06-08,62200,62900,60600,60800,6870194,-0.06172839506172845
2018-06-11,61200,62800,60900,62400,1349921,0.026315789473684292
2018-06-12,62400,63000,60000,60700,1663756,-0.027243589743589758
2018-06-14,58700,59200,56500,56500,2096119,-0.06919275123558488
2018-06-15,56800,58000,56800,57300,817249,0.014159292035398341
2018-06-18,57500,58900,56400,56800,1003535,-0.008726003490401424
2018-06-19,57300,58000,54100,54600,970771,-0.03873239436619713
2018-06-20,54600,55700,54200,55100,638445,0.009157509157509125
2018-06-21,55000,56600,54600,54700,689127,-0.007259528130671544
2018-06-22,54900,55600,54100,55100,543480,0.007312614259597838
2018-06-25,54800,57200,54200,56800,603356,0.030852994555353952
2018-06-26,56300,56600,55100,55200,416707,-0.028169014084507005
2018-06-27,55100,55300,52300,52300,908199,-0.05253623188405798
2018-06-28,52200,53100,51300,51800,539636,-0.009560229445506718
2018-06-29,52600,53100,51600,52600,531335,0.015444015444015413
2018-07-02,52700,52900,50300,50400,647501,-0.041825095057034245
2018-07-03,50700,51100,49350,50500,761395,0.001984126984126977
2018-07-04,49950,50700,49600,49850,470260,-0.012871287128712883
2018-07-05,49700,49850,48900,49250,528576,-0.012036108324974926
2018-07-06,49000,50600,48900,50500,629569,0.025380710659898442
2018-07-09,49400,49400,47500,48200,833563,-0.045544554455445585
2018-07-10,48550,48850,48100,48400,451117,0.004149377593360981
2018-07-11,48350,48350,47750,48000,463893,-0.008264462809917328
2018-07-12,48050,48700,47950,48050,508271,0.0010416666666666075
2018-07-13,48500,49250,48350,48950,407074,0.018730489073881307
2018-07-16,49000,49200,48500,48550,286216,-0.008171603677221695
2018-07-17,48650,49400,48450,48950,296714,0.008238928939237944
2018-07-18,49200,49350,47850,48000,352359,-0.019407558733401387
2018-07-19,47750,47950,46700,47400,479165,-0.012499999999999956
2018-07-20,47550,48300,47550,48300,339330,0.018987341772152
2018-07-23,48300,49050,47950,48700,327152,0.008281573498964745
2018-07-24,48700,50900,47850,49800,737868,0.022587268993839782
2018-07-25,50300,50500,49600,50200,489831,0.008032128514056325
2018-07-26,50900,52200,50300,51700,612319,0.029880478087649376
2018-07-27,52000,52500,51000,51300,290215,-0.007736943907156624
2018-07-30,51500,54100,51500,53800,630285,0.04873294346978563
2018-07-31,54000,54100,52700,53700,385242,-0.0018587360594795044
2018-08-01,54200,55000,54000,54500,418540,0.014897579143389184
2018-08-02,54700,54700,52000,52400,583332,-0.038532110091743066
2018-08-03,52700,53500,52200,53300,285442,0.01717557251908386
2018-08-06,53300,54800,53000,54500,358829,0.022514071294559068
2018-08-07,54300,55000,53900,54900,267939,0.007339449541284404
2018-08-08,54500,55100,54100,54300,206908,-0.010928961748633892
2018-08-09,53900,54900,53800,54900,297603,0.011049723756906049
2018-08-10,55200,55400,54200,54400,276525,-0.00910746812386154
2018-08-13,55100,55300,52500,52900,275035,-0.02757352941176472
2018-08-14,53100,53700,52500,53500,214540,0.011342155009451904
2018-08-16,53600,54300,52800,52900,304650,-0.01121495327102806
2018-08-17,53000,53500,52500,53300,178539,0.007561436672967936
2018-08-20,54000,54800,53600,54200,344540,0.016885553470919357
2018-08-21,54900,55000,53900,53900,242450,-0.005535055350553542
2018-08-22,54400,54900,53400,53800,315282,-0.0018552875695733162
2018-08-23,54000,54000,52600,52800,244707,-0.018587360594795488
2018-08-24,52700,52900,52100,52800,172851,0.0
2018-08-27,52100,52200,51300,52100,398121,-0.013257575757575801
2018-08-28,52200,53000,51700,52600,247042,0.009596928982725572
2018-08-29,52500,53400,52100,53200,268968,0.011406844106463865
2018-08-30,53500,55500,52700,53500,642052,0.005639097744360999
2018-08-31,53800,54000,52400,53300,406575,-0.0037383177570093906
2018-09-03,53300,53400,51600,51800,443135,-0.02814258911819889
2018-09-04,52100,52400,51500,52300,212549,0.009652509652509744
2018-09-05,52200,52700,51900,52300,267573,0.0
2018-09-06,52800,53500,52200,52900,384438,0.011472275334607929
2018-09-07,53300,54500,52600,54300,496167,0.026465028355387554
2018-09-10,54300,56300,54300,56200,833002,0.03499079189686927
2018-09-11,56700,57200,53500,53800,647652,-0.042704626334519546
2018-09-12,54200,54800,53100,53800,338630,0.0
2018-09-13,53900,55200,53300,54300,380280,0.009293680297397744
2018-09-14,54700,55000,53900,54300,210497,0.0
2018-09-17,54400,54400,53100,53700,289601,-0.011049723756906049
2018-09-18,53300,54600,53100,54600,284608,0.016759776536312776
2018-09-19,55000,55900,54300,54800,359862,0.00366300366300365
2018-09-20,55200,55800,53900,55300,352706,0.009124087591240837
2018-09-21,55900,57300,55200,57300,641344,0.03616636528028927
2018-09-27,57800,58200,56900,57300,335944,0.0
2018-09-28,57500,57500,56000,56500,343156,-0.013961605584642212
2018-10-01,56100,56400,55100,56100,179476,-0.0070796460176991705
2018-10-02,55600,56800,55500,55900,178736,-0.0035650623885917776
2018-10-04,56500,56800,53200,54100,406274,-0.03220035778175312
2018-10-05,53800,54200,52800,53800,354824,-0.00554528650646946
2018-10-08,53800,54100,53100,53600,189170,-0.0037174721189591198
2018-10-10,53300,54400,52300,52700,297450,-0.016791044776119368
2018-10-11,50700,51600,49350,49950,653970,-0.052182163187855735
2018-10-12,49900,50700,49700,50200,431011,0.005005005005005003
2018-10-15,50200,50800,49550,49600,317157,-0.01195219123505975
2018-10-16,49950,50500,49100,49350,482344,-0.005040322580645129
2018-10-17,50100,50400,49500,50000,298554,0.01317122593718345
2018-10-18,49800,50000,47700,48100,595580,-0.038000000000000034
2018-10-19,47800,48450,47400,48400,428000,0.006237006237006293
2018-10-22,48050,48050,47300,47500,401037,-0.018595041322314043
2018-10-23,47500,48300,46500,46700,685788,-0.01684210526315788
2018-10-24,46700,47150,45900,46250,454614,-0.009635974304068484
2018-10-25,45050,45800,44800,45800,488764,-0.009729729729729741
2018-10-26,45400,45400,42800,43300,971790,-0.05458515283842791
2018-10-29,43450,43900,41650,41850,559750,-0.03348729792147809
2018-10-30,41200,42050,40500,41550,715145,-0.007168458781361964
2018-10-31,41600,41800,40750,41750,488091,0.004813477737665384
2018-11-01,41850,42800,41450,41550,479039,-0.004790419161676662
2018-11-02,41950,43700,41950,43550,491216,0.048134777376654725
2018-11-05,43000,43100,41900,42100,598825,-0.033295063145809434
2018-11-06,42600,43950,42500,43900,427919,0.04275534441805218
2018-11-07,44000,45150,42800,43100,461922,-0.018223234624145768
2018-11-08,43900,44350,43600,43600,434916,0.011600928074245953
2018-11-09,43800,44850,43750,43900,383982,0.006880733944954143
2018-11-12,43700,44300,43200,43450,368403,-0.01025056947608205
2018-11-13,43100,45100,42650,45000,550325,0.03567318757192184
2018-11-14,44700,45200,42750,43300,479447,-0.0377777777777778
2018-11-15,43050,43850,43000,43550,288107,0.005773672055427337
2018-11-16,43700,44150,43250,43500,267091,-0.0011481056257175437
2018-11-19,43550,44750,43550,44100,325512,0.01379310344827589
2018-11-20,43900,44350,43400,43600,270208,-0.0113378684807256
2018-11-21,43300,44200,43000,44200,243671,0.013761467889908285
2018-11-22,44400,44600,42600,42900,377053,-0.02941176470588236
2018-11-23,43000,43500,42250,42700,202447,-0.004662004662004615
2018-11-26,43300,43600,42800,43200,219404,0.011709601873536313
2018-11-27,43150,43750,43050,43550,192470,0.00810185185185186
2018-11-28,43800,43850,42150,42500,506369,-0.024110218140068862
2018-11-29,43000,43550,42800,43000,379751,0.0117647058823529
2018-11-30,43000,43650,42950,43100,429761,0.0023255813953488857
2018-12-03,43700,46400,43700,45950,849900,0.06612529002320189
2018-12-04,46150,47650,45450,46200,612419,0.005440696409140466
2018-12-05,45450,46000,45000,45150,306528,-0.022727272727272707
2018-12-06,45150,45400,43750,44300,343218,-0.018826135105204922
2018-12-07,44600,45050,44200,44750,233333,0.010158013544018019
2018-12-10,44000,44450,43800,44400,264672,-0.007821229050279377
2018-12-11,44050,44550,43450,43800,234268,-0.013513513513513487
