Date,Open,High,Low,Close,Volume,Change
2017-12-01,109500,111000,106500,106500,92854,-0.018433179723502335
2017-12-04,106000,106500,104000,104500,74592,-0.018779342723004744
2017-12-05,104000,106000,103500,103500,94862,-0.009569377990430672
2017-12-06,104000,106000,103500,105000,85039,0.01449275362318847
2017-12-07,105000,105500,104000,104500,75409,-0.004761904761904745
2017-12-08,104500,106500,103500,105000,80553,0.004784688995215225
2017-12-11,104500,105000,101000,102500,98982,-0.023809523809523836
2017-12-12,103000,103000,101000,102000,64015,-0.004878048780487809
2017-12-13,102000,103500,102000,103500,29544,0.014705882352941124
2017-12-14,102500,106500,102500,106000,58412,0.024154589371980784
2017-12-15,105000,106500,104000,105500,107944,-0.004716981132075526
2017-12-18,105000,106500,104000,106000,31627,0.004739336492890933
2017-12-19,105000,106000,104000,105000,92145,-0.009433962264150941
2017-12-20,104500,105500,101500,101500,68977,-0.033333333333333326
2017-12-21,102000,103000,101000,102500,69814,0.009852216748768461
2017-12-22,102000,104500,101500,104500,76288,0.019512195121951237
2017-12-26,103000,104500,102000,104500,54491,0.0
2017-12-27,102500,104000,100500,104000,79480,-0.004784688995215336
2017-12-28,104000,104000,100000,102000,76575,-0.019230769230769273
2018-01-02,101500,101500,99100,100500,120405,-0.014705882352941124
2018-01-03,100000,101500,100000,101500,65585,0.00995024875621886
2018-01-04,100500,101000,98700,98900,155473,-0.025615763546798065
2018-01-05,99000,99700,98000,99700,81250,0.008088978766430666
2018-01-08,99900,102000,99800,101500,79466,0.01805416248746239
2018-01-09,101500,103000,101000,103000,56229,0.014778325123152802
2018-01-10,102500,105000,102500,105000,63311,0.01941747572815533
2018-01-11,105000,105000,103000,104500,30654,-0.004761904761904745
2018-01-12,104000,104500,101500,102500,38162,-0.019138755980861233
2018-01-15,102000,102500,100000,101000,35896,-0.014634146341463428
2018-01-16,101000,104500,100500,104000,34783,0.02970297029702973
2018-01-17,104000,106500,103000,104500,78428,0.004807692307692291
2018-01-18,105500,106000,102000,103000,72524,-0.014354066985645897
2018-01-19,103500,106000,102500,104500,102543,0.014563106796116498
2018-01-22,105000,107000,104000,107000,70244,0.02392344497607657
2018-01-23,108000,109000,105500,107000,80854,0.0
2018-01-24,106500,107000,102500,103500,41872,-0.032710280373831724
2018-01-25,103500,105500,102000,105500,59442,0.019323671497584627
2018-01-26,104000,104000,100000,102500,101953,-0.028436018957345932
2018-01-29,102500,103500,101500,103000,75515,0.004878048780487809
2018-01-30,103000,104500,103000,104000,66058,0.009708737864077666
2018-01-31,103500,105500,102500,104000,134428,0.0
2018-02-01,103500,104500,102000,103000,64622,-0.009615384615384581
2018-02-02,103000,105000,102500,104500,79900,0.014563106796116498
2018-02-05,104000,104500,102500,103500,47400,-0.009569377990430672
2018-02-06,102500,104500,99900,100000,100150,-0.033816425120772986
2018-02-07,101000,101500,100000,100000,76025,0.0
2018-02-08,101000,103000,100500,102500,62555,0.02499999999999991
2018-02-09,101000,101000,98300,98300,60807,-0.0409756097560976
2018-02-12,99500,99500,96800,96800,36533,-0.015259409969481164
2018-02-13,98000,98000,95300,95300,50816,-0.015495867768595017
2018-02-14,94500,97100,94500,96200,64111,0.009443861490031402
2018-02-19,97000,97300,95700,97000,42557,0.008316008316008316
2018-02-20,96300,98000,95900,97300,45207,0.003092783505154628
2018-02-21,97800,100500,97100,99700,60972,0.02466598150051391
2018-02-22,100000,100000,96900,96900,99826,-0.028084252758274864
2018-02-23,97900,97900,95500,96100,99286,-0.008255933952528327
2018-02-26,96800,97300,95500,96200,73591,0.0010405827263266776
2018-02-27,96900,98900,96400,97400,164388,0.012474012474012364
2018-02-28,96900,98600,96600,97700,86560,0.0030800821355236874
2018-03-02,96800,97700,95900,96300,78202,-0.014329580348004134
2018-03-05,96300,97500,96200,96400,55521,0.0010384215991692258
2018-03-06,96500,99400,96500,98400,42773,0.020746887966804906
2018-03-07,97600,98000,95300,95300,44781,-0.0315040650406504
2018-03-08,95400,96400,94700,94700,30547,-0.006295907660020972
2018-03-09,95500,98000,95100,96300,69345,0.01689545934530101
2018-03-12,96600,97200,96100,96300,36256,0.0
2018-03-13,96900,96900,95400,96800,23107,0.005192107995846351
2018-03-14,96500,98500,95700,97000,43175,0.0020661157024792765
2018-03-15,98300,98300,96000,97200,47963,0.0020618556701030855
2018-03-16,97800,98300,97200,97200,59670,0.0
2018-03-19,97000,97000,93100,93900,71206,-0.03395061728395066
2018-03-20,93900,96200,93200,96200,30006,0.024494142705005384
2018-03-21,95700,97900,95700,96200,28682,0.0
2018-03-22,96700,97900,96000,97900,31313,0.017671517671517645
2018-03-23,96300,97700,95800,96900,31362,-0.010214504596527063
2018-03-26,96300,97300,95300,95800,15954,-0.011351909184726505
2018-03-27,96500,98000,95800,97300,36877,0.01565762004175375
2018-03-28,96300,98300,96000,97100,38112,-0.0020554984583761593
2018-03-29,97100,97100,92500,93200,92158,-0.040164778578784754
2018-03-30,93000,93500,92700,93100,25986,-0.0010729613733905241
2018-04-02,93200,94700,93100,94400,36987,0.013963480128893702
2018-04-03,93500,96100,93000,96100,64080,0.018008474576271194
2018-04-04,96400,101500,96400,99700,198718,0.037460978147762836
2018-04-05,100000,101500,97000,100000,168590,0.0030090270812437314
2018-04-06,100500,100500,99300,100500,50851,0.004999999999999893
2018-04-09,100500,101000,99500,99600,59198,-0.008955223880596996
2018-04-10,100000,101000,98800,100500,53500,0.009036144578313143
2018-04-11,100500,101500,99400,99400,50392,-0.010945273631840835
2018-04-12,99400,99900,98900,99400,74549,0.0
2018-04-13,99400,100000,97500,98100,48106,-0.013078470824949728
2018-04-16,98200,99700,97500,99000,73148,0.00917431192660545
2018-04-17,100500,110000,100000,102500,363054,0.03535353535353525
2018-04-18,102500,105000,102000,104000,172849,0.014634146341463428
2018-04-19,103500,107500,102000,107000,129059,0.028846153846153744
2018-04-20,107000,108500,105500,106500,127092,-0.004672897196261627
2018-04-23,107000,108000,103500,107500,129173,0.009389671361502261
2018-04-24,108500,113000,107500,109500,364944,0.018604651162790642
2018-04-25,110000,112500,107500,112000,148788,0.022831050228310446
2018-04-26,112000,113500,108000,109500,191785,-0.022321428571428603
2018-04-27,108500,115500,105000,112000,486531,0.022831050228310446
2018-04-30,113000,115500,111500,115000,289589,0.02678571428571419
2018-05-02,115000,115000,109500,110000,334590,-0.04347826086956519
2018-05-03,110500,112000,108500,109500,186761,-0.004545454545454519
2018-05-04,109500,109500,105500,107000,159009,-0.022831050228310557
2018-05-08,106500,108500,103000,103000,140015,-0.03738317757009346
2018-05-09,103500,106000,102500,103500,106240,0.004854368932038833
2018-05-10,103500,105000,100500,100500,105472,-0.02898550724637683
2018-05-11,101000,104000,101000,103000,99324,0.02487562189054726
2018-05-14,102000,103500,100500,101500,83697,-0.014563106796116498
2018-05-15,101500,102500,100000,101000,67291,-0.0049261083743842304
2018-05-16,100500,104000,98600,103000,168628,0.01980198019801982
2018-05-17,102500,104000,101000,101500,65005,-0.014563106796116498
2018-05-18,101500,103000,100500,101500,69258,0.0
2018-05-21,101500,103500,101000,102500,37676,0.009852216748768461
2018-05-23,102000,102500,98600,98600,164056,-0.03804878048780491
2018-05-24,98800,99400,94500,95500,117785,-0.03144016227180524
2018-05-25,95500,96600,94500,95300,77931,-0.0020942408376963817
2018-05-28,96400,97700,94500,96500,71099,0.012591815320041944
2018-05-29,96300,98500,96300,97600,42870,0.011398963730570033
2018-05-30,97200,97400,95100,95100,78389,-0.02561475409836067
2018-05-31,95500,96700,94500,94500,188754,-0.006309148264984188
2018-06-01,95200,97200,94700,96600,33807,0.022222222222222143
2018-06-04,96600,100500,96600,100500,40049,0.04037267080745344
2018-06-05,100000,101000,99000,100500,48482,0.0
2018-06-07,100500,101500,98000,98700,99207,-0.017910447761193993
2018-06-08,98600,98800,96500,97600,50630,-0.011144883485309065
2018-06-11,97600,97600,94600,95200,102504,-0.024590163934426257
2018-06-12,95200,96200,95000,95000,53406,-0.0021008403361344463
2018-06-14,94600,94900,92300,94200,197292,-0.008421052631578996
2018-06-15,93800,93900,89600,89600,226349,-0.04883227176220806
2018-06-18,89700,91600,89700,91000,70836,0.015625
2018-06-19,91100,91600,90200,91100,75930,0.001098901098901095
2018-06-20,90900,91700,90000,90200,62067,-0.009879253567508184
2018-06-21,90200,90200,88400,89000,87709,-0.013303769401330379
2018-06-22,89000,92600,89000,92000,80936,0.03370786516853941
2018-06-25,92500,93600,92300,93400,92484,0.01521739130434785
2018-06-26,93200,94400,91700,93600,66614,0.0021413276231263545
2018-06-27,94000,94400,92300,92800,79819,-0.008547008547008517
2018-06-28,92400,93000,91000,92000,77484,-0.008620689655172376
2018-06-29,91300,92700,90200,90800,92979,-0.013043478260869601
2018-07-02,90800,90800,86900,87400,82408,-0.037444933920704804
2018-07-03,87800,88600,86200,86200,63291,-0.013729977116704761
2018-07-04,86900,86900,81300,83100,145194,-0.03596287703016243
2018-07-05,83500,84500,82500,83700,53838,0.0072202166064982976
2018-07-06,84500,87000,84300,85300,73269,0.019115890083632125
2018-07-09,85500,86400,83800,85000,21509,-0.003516998827667095
2018-07-10,85500,86200,85300,86000,87595,0.0117647058823529
2018-07-11,85600,86200,85300,85500,45105,-0.005813953488372103
2018-07-12,85500,86000,85400,85500,62270,0.0
2018-07-13,86100,86200,85200,86100,27851,0.007017543859649145
2018-07-16,86800,89100,86100,88500,38355,0.027874564459930307
2018-07-17,88400,89900,87500,88900,42285,0.004519774011299438
2018-07-18,89700,89700,85100,86400,50393,-0.028121484814398245
2018-07-19,86400,87200,85100,85700,25694,-0.00810185185185186
2018-07-20,85800,87000,84700,86200,47213,0.005834305717619559
2018-07-23,86400,88300,86200,86900,36753,0.008120649651972123
2018-07-24,87200,87800,85000,87400,50309,0.005753739930955071
2018-07-25,88200,88200,86600,87100,38165,-0.003432494279176246
2018-07-26,88000,88000,85900,87900,27896,0.009184845005740572
2018-07-27,87900,88200,86200,88000,33234,0.0011376564277587597
2018-07-30,89400,89400,87100,88400,23818,0.00454545454545463
2018-07-31,88700,88700,87500,87700,49743,-0.007918552036199067
2018-08-01,88200,88300,87000,87600,23965,-0.0011402508551880963
2018-08-02,87700,87900,85200,86000,33705,-0.0182648401826484
2018-08-03,87300,87300,85100,86400,50316,0.0046511627906977715
2018-08-06,87000,87500,85900,86500,20231,0.0011574074074074403
2018-08-07,86400,89300,86400,88900,74100,0.02774566473988438
2018-08-08,90300,92400,89100,91300,86515,0.02699662542182235
2018-08-09,90800,91200,89600,89600,23047,-0.018619934282584905
2018-08-10,89500,90100,88000,89600,18035,0.0
2018-08-13,88500,89600,88000,88600,21534,-0.011160714285714302
2018-08-14,89100,89100,87300,87500,25895,-0.01241534988713322
2018-08-16,86500,87800,85400,87700,27458,0.0022857142857142243
2018-08-17,87700,88200,86700,87200,26865,-0.005701254275940704
2018-08-20,87800,88400,86800,86900,65965,-0.0034403669724770714
2018-08-21,87000,88000,86500,87200,25352,0.0034522439585731313
2018-08-22,88100,88800,87700,88400,59514,0.013761467889908285
