Date,Open,High,Low,Close,Volume,Change
2017-12-01,164500,165500,161500,161500,529049,-0.018237082066869248
2017-12-04,160500,160500,157500,160500,412767,-0.006191950464396245
2017-12-05,159000,162500,159000,161500,298181,0.006230529595015577
2017-12-06,159500,162500,159500,162000,435843,0.003095975232198178
2017-12-07,163000,163000,160000,161500,317111,-0.0030864197530864335
2017-12-08,159500,161000,157000,158500,562488,-0.018575851393188847
2017-12-11,158000,158500,149500,150000,1235495,-0.05362776025236593
2017-12-12,149000,151500,148000,150000,594577,0.0
2017-12-13,151500,152500,150000,151500,449530,0.010000000000000009
2017-12-14,151000,154500,150500,150500,848663,-0.0066006600660065695
2017-12-15,151500,154000,150500,154000,414172,0.023255813953488413
2017-12-18,154000,155000,152000,154000,304658,0.0
2017-12-19,154000,155500,152500,153000,301402,-0.00649350649350644
2017-12-20,153500,154000,151000,152500,330799,-0.0032679738562091387
2017-12-21,151500,152500,150000,150000,393766,-0.016393442622950838
2017-12-22,151000,153000,150500,153000,257517,0.020000000000000018
2017-12-26,152000,155000,151500,154000,319229,0.006535947712418277
2017-12-27,151500,157000,150000,156500,445829,0.016233766233766156
2017-12-28,154500,156000,152000,156000,405259,-0.0031948881789137795
2018-01-02,150500,153000,149000,149500,731763,-0.04166666666666663
2018-01-03,149000,151000,149000,150500,450874,0.006688963210702337
2018-01-04,150500,151000,146000,146500,931558,-0.02657807308970095
2018-01-05,146000,149000,145500,149000,463695,0.017064846416382284
2018-01-08,148500,151000,147500,151000,482619,0.01342281879194629
2018-01-09,151000,152500,149500,152500,465845,0.009933774834437026
2018-01-10,152500,158000,152000,155500,793679,0.01967213114754096
2018-01-11,156000,156500,152500,155000,476891,-0.003215434083601254
2018-01-12,153500,156000,153500,154000,424738,-0.006451612903225823
2018-01-15,154000,155000,151000,155000,315592,0.006493506493506551
2018-01-16,153500,158000,153000,158000,440542,0.019354838709677358
2018-01-17,157000,159000,156000,157500,363034,-0.0031645569620253333
2018-01-18,157500,158000,154000,155000,324686,-0.015873015873015928
2018-01-19,155000,162000,154500,162000,637243,0.04516129032258065
2018-01-22,162500,164000,158500,162500,582519,0.0030864197530864335
2018-01-23,163000,167500,161000,161000,727921,-0.009230769230769265
2018-01-24,160500,162000,156000,156500,653451,-0.02795031055900621
2018-01-25,155500,159000,154000,158500,776214,0.012779552715654896
2018-01-26,155000,155500,149000,152500,1058626,-0.03785488958990535
2018-01-29,153000,155500,152000,154500,504827,0.013114754098360715
2018-01-30,155000,158000,154500,156000,458611,0.009708737864077666
2018-01-31,157000,162000,154500,162000,926031,0.03846153846153855
2018-02-01,161500,162000,158500,160500,478000,-0.0092592592592593
2018-02-02,161000,164000,160500,162500,813167,0.012461059190031154
2018-02-05,162500,163000,159000,159000,670474,-0.021538461538461506
2018-02-06,158000,161000,153500,157500,690538,-0.009433962264150941
2018-02-07,157500,160500,156000,157500,552642,0.0
2018-02-08,158500,163500,156500,161000,883512,0.022222222222222143
2018-02-09,156500,158500,154500,155000,721962,-0.037267080745341574
2018-02-12,155500,156500,153500,154000,554120,-0.006451612903225823
2018-02-13,154000,155500,152000,152500,528608,-0.009740259740259716
2018-02-14,152000,155000,152000,154500,265716,0.013114754098360715
2018-02-19,156500,157000,154500,155000,265257,0.003236245954692629
2018-02-20,155000,156000,152500,153500,218792,-0.009677419354838679
2018-02-21,152500,161000,152500,160000,537567,0.04234527687296419
2018-02-22,159000,159500,156000,157000,339005,-0.018750000000000044
2018-02-23,158500,159500,157500,159000,275917,0.01273885350318471
2018-02-26,159000,162000,157500,161000,513314,0.012578616352201255
2018-02-27,160500,162000,160000,161000,273491,0.0
2018-02-28,159000,163000,158000,161500,496851,0.0031055900621117516
2018-03-02,158000,159000,154500,156000,591106,-0.034055727554179516
2018-03-05,155500,157000,152500,153000,410894,-0.019230769230769273
2018-03-06,154500,158000,154500,157000,375611,0.02614379084967311
2018-03-07,154000,155000,152000,152500,598406,-0.0286624203821656
2018-03-08,153500,155000,152000,154500,488545,0.013114754098360715
2018-03-09,153500,155000,152500,154000,460548,-0.003236245954692518
2018-03-12,154000,155500,153000,153500,422236,-0.0032467532467532756
2018-03-13,152500,155000,152500,153500,378343,0.0
2018-03-14,152500,157000,152000,156000,605609,0.016286644951140072
2018-03-15,156500,159000,155000,157500,367882,0.009615384615384581
2018-03-16,158000,159500,156000,157500,351970,0.0
2018-03-19,152500,153000,150000,151500,749609,-0.03809523809523807
2018-03-20,150500,153500,150000,152500,311027,0.0066006600660066805
2018-03-21,152500,155000,152500,154500,277076,0.013114754098360715
2018-03-22,154500,154500,152000,152500,330219,-0.012944983818770184
2018-03-23,151000,153000,150500,151500,578521,-0.006557377049180357
2018-03-26,151000,152500,149500,149500,466599,-0.01320132013201325
2018-03-27,150000,154000,149500,154000,683470,0.030100334448160515
2018-03-28,153000,155000,148000,151500,905733,-0.016233766233766267
2018-03-29,150500,152000,142500,143500,1532300,-0.05280528052805278
2018-03-30,144000,145500,142500,143500,525910,0.0
2018-04-02,144500,148500,144000,148500,569272,0.03484320557491283
2018-04-03,147000,152500,145500,152000,2258712,0.023569023569023573
2018-04-04,156000,159500,155000,156500,1198367,0.02960526315789469
2018-04-05,157000,158000,153500,154000,404008,-0.015974440894568676
2018-04-06,155000,155500,152000,152500,377964,-0.009740259740259716
2018-04-09,152000,153000,150500,151000,319141,-0.00983606557377048
2018-04-10,150000,153000,149000,151000,371422,0.0
2018-04-11,150500,152000,150000,150000,329076,-0.0066225165562914245
2018-04-12,151000,152500,150000,152000,297375,0.01333333333333342
2018-04-13,151500,152000,149500,150500,425396,-0.009868421052631526
2018-04-16,151000,154000,150000,153000,303065,0.01661129568106312
2018-04-17,154000,158000,154000,157500,670905,0.02941176470588225
2018-04-18,158000,159500,157000,158500,507655,0.006349206349206327
