Open,High,Low,Close,Volume,Change
43550,43800,42450,42450,227865,-0.02188940092165903
42800,44450,42700,44450,244641,0.04711425206124842
43950,44500,43650,43850,171205,-0.013498312710911176
44150,45650,44100,45450,438089,0.036488027366020415
45400,46650,45100,45150,342667,-0.0066006600660065695
45450,46150,44550,44850,187659,-0.006644518272425293
44300,45500,44250,45300,151022,0.010033444816053505
44500,44950,44000,44200,179905,-0.02428256070640178
44300,46500,44300,46200,243525,0.045248868778280604
46600,47300,46200,47150,473464,0.02056277056277067
47150,47300,45950,46650,289694,-0.010604453870625696
46750,46900,45900,46650,205669,0.0
46500,47300,46500,46550,246299,-0.002143622722400873
46600,48050,46600,47800,299378,0.02685284640171859
47500,48150,47250,47450,174585,-0.007322175732217606
47950,48300,47000,47300,160534,-0.0031612223393044925
47300,48500,47300,48400,158179,0.023255813953488413
47100,47300,45850,47000,158642,-0.02892561983471076
46700,48000,46550,47000,146891,0.0
46650,47150,46300,46950,103616,-0.0010638297872340718
46300,47050,45750,45800,200746,-0.024494142705005273
45850,46000,44050,44050,350289,-0.03820960698689957
44050,44500,43700,44100,201418,0.0011350737797957144
44300,44600,44000,44200,135537,0.0022675736961450532
44200,44450,44050,44050,216842,-0.0033936651583710287
44150,45000,44050,44600,345342,0.012485811577752637
45000,45200,43850,45200,293060,0.013452914798206317
45450,46650,44950,46050,339558,0.01880530973451333
46050,47400,46050,47000,189127,0.02062975027144409
46600,47350,46350,47000,189222,0.0
46550,47250,46450,46950,140010,-0.0010638297872340718
46550,47300,46100,46350,231962,-0.012779552715655007
45800,46950,45750,46950,222466,0.012944983818770295
47300,47400,45800,46400,147963,-0.011714589989350377
46050,47000,45800,46950,147407,0.0118534482758621
46950,47650,45750,45850,182460,-0.023429179978700754
45550,46500,45300,45650,155453,-0.004362050163576936
45250,45900,44800,45100,169870,-0.012048192771084376
45200,45550,45000,45400,160011,0.006651884700665134
45400,46400,45300,45400,228115,0.0
45800,46350,43500,46350,237921,0.020925110132158586
45850,47800,45700,47200,274038,0.01833872707659112
46500,47800,46100,46200,169640,-0.021186440677966156
46200,46200,45000,45700,182431,-0.010822510822510845
46000,46300,43600,44350,276619,-0.029540481400437635
44000,44500,43650,43900,236643,-0.01014656144306647
43600,44400,42750,42750,253260,-0.026195899772209597
41950,42500,41200,41400,194160,-0.03157894736842104
41700,42450,41450,42200,132714,0.019323671497584627
42200,42850,41450,41550,156556,-0.0154028436018957
41550,42050,41350,41450,114214,-0.002406738868832692
42300,42350,41750,42000,120000,0.013268998793727338
41850,41850,40950,41100,118778,-0.021428571428571463
41200,41800,40550,41750,194576,0.015815085158150888
41350,41600,40800,40900,222738,-0.02035928143712573
41300,42200,40900,42150,173487,0.030562347188264116
42650,42700,41750,41800,148262,-0.008303677342823224
42100,42450,41250,41300,149507,-0.011961722488038284
40550,41550,40550,41300,198214,0.0
