Company_Name,Year,Total_Assets,Total_Debt,Total_Equity,Revenue,Operating_Income(added),Net_Income(added),Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER
삼성전자,2017,198241360000000.0,46671585000000.0,151569775000000.0,161915007000000.0,34857091000000.0,28800837000000.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,5997.0,8.5
삼성전자,2018,219021357000000.0,46033232000000.0,172988125000000.0,170381870000000.0,43699451000000.0,32815127000000.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,6461.0,5.99
삼성전자,2019,216180920000000.0,38310673000000.0,177870247000000.0,154772859000000.0,14115067000000.0,15353323000000.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,3166.0,17.62
삼성전자,2020,229664427000000.0,46347703000000.0,183316724000000.0,166311191000000.0,20518974000000.0,15615018000000.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3841.0,21.09
삼성전자,2021,251112184000000.0,57918452000000.0,193193732000000.0,199744705000000.0,31993162000000.0,30970954000000.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,5777.0,13.55
삼성전자,2022,260083750000000.0,50667559000000.0,209416191000000.0,211867483000000.0,25319329000000.0,25418778000000.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,8057.0,6.86
SK하이닉스,2017,44312846000000.0,11540971000000.0,32771875000000.0,29718939000000.0,13340791000000.0,10110797000000.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,15073.0,5.08
SK하이닉스,2018,60980608000000.0,15319715000000.0,45660893000000.0,40324651000000.0,20579078000000.0,15407086000000.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,22255.0,2.72
SK하이닉스,2019,57710070000000.0,11665849000000.0,46044221000000.0,25320755000000.0,1983239000000.0,1484294000000.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,2943.0,31.97
SK하이닉스,2020,64071005000000.0,14496701000000.0,49574304000000.0,30524987000000.0,4545877000000.0,4217841000000.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,6952.0,17.05
SK하이닉스,2021,84972544000000.0,26234930000000.0,58737614000000.0,41557337000000.0,12183360000000.0,9567226000000.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,13989.0,9.36
SK하이닉스,2022,91800233000000.0,31637411000000.0,60162822000000.0,37878699000000.0,7660947000000.0,2790457000000.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,3242.0,23.13
LG에너지솔루션,2017,,,,,,,,,,,,,,,,,
LG에너지솔루션,2018,,,,,,,,,,,,,,,,,
LG에너지솔루션,2019,,,,,,,,,,,,,,,,,
LG에너지솔루션,2020,,,,,,,,,,,,,,,,,
LG에너지솔루션,2021,,,,,,,,,,,,,,,,,
LG에너지솔루션,2022,,,,,,,,,,,,,,,,,
삼성바이오로직스,2017,7183091162578.0,3206640270217.0,3976450892361.0,464629334143.0,65979402411.0,-96972115811.0,0.0,0.0,0.0,P,P,L,30.79,14.53,19.0,-1466.0,-250.11
삼성바이오로직스,2018,5980408648293.0,1824940197145.0,4155468451148.0,535805801067.0,55678744526.0,224109194872.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Turned,26.61,14.98,18.97,3387.0,112.78
삼성바이오로직스,2019,5911626511920.0,1557172766554.0,4354453745366.0,701591859755.0,91742387198.0,202904099088.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,3067.0,139.53
삼성바이오로직스,2020,4367217698635.0,1372376630197.0,2994841068438.0,1164776873641.0,292588545213.0,250968822411.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3642.0,224.14
삼성바이오로직스,2021,5903411708929.0,2488139898272.0,3415271810657.0,1568006928039.0,536494668567.0,423177019136.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,5949.0,150.01
삼성바이오로직스,2022,12165838879527.0,4869235661247.0,7296603218280.0,2437286111838.0,968050593669.0,686792936517.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,11442.0,71.75
현대차,2017,70075274000000.0,16144574000000.0,53930700000000.0,41604869000000.0,2163447000000.0,2551319000000.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,14993.0,10.4
현대차,2018,69408737000000.0,17166721000000.0,52242016000000.0,43160108000000.0,-59322000000.0,374888000000.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,L_Turned,P_Contd,26.61,14.98,18.97,5632.0,21.04
현대차,2019,73758825000000.0,20238210000000.0,53520615000000.0,49155693000000.0,1580164000000.0,2767666000000.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Turned,P_Contd,21.54,7.1,8.63,11310.0,10.65
현대차,2020,78252289000000.0,25063780000000.0,53188509000000.0,50661002000000.0,768626000000.0,526975000000.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,5454.0,35.2
현대차,2021,79758300000000.0,27083288000000.0,52675012000000.0,55605120000000.0,661623000000.0,645526000000.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,18979.0,11.01
현대차,2022,83412349000000.0,27656534000000.0,55755815000000.0,65308350000000.0,2828569000000.0,3701958000000.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,28521.0,5.29
삼성전자우,2017,,,,,,,,,,,,,,,,,
삼성전자우,2018,,,,,,,,,,,,,,,,,
삼성전자우,2019,,,,,,,,,,,,,,,,,
삼성전자우,2020,,,,,,,,,,,,,,,,,
삼성전자우,2021,,,,,,,,,,,,,,,,,
삼성전자우,2022,,,,,,,,,,,,,,,,,
기아,2017,38605013000000.0,16467689000000.0,22137324000000.0,32109883000000.0,602609000000.0,927052000000.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,2414.0,13.88
기아,2018,37149602000000.0,15151912000000.0,21997690000000.0,31912189000000.0,392641000000.0,400796000000.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,2883.0,11.69
기아,2019,38356281000000.0,15206063000000.0,23150218000000.0,33857781000000.0,1479048000000.0,1515598000000.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,4556.0,9.72
기아,2020,41591553000000.0,18007411000000.0,23584142000000.0,34362327000000.0,1169129000000.0,765221000000.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3710.0,16.82
기아,2021,45188766000000.0,19612854000000.0,25575912000000.0,40979570000000.0,2819212000000.0,2231008000000.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,11874.0,6.92
기아,2022,46715448000000.0,20245275000000.0,26470173000000.0,46409721000000.0,3000886000000.0,1953513000000.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,13495.0,4.39
셀트리온,2017,3138184504740.0,733242262979.0,2404942241761.0,828917201749.0,477891619440.0,362083993186.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,2898.0,70.31
셀트리온,2018,3370639261764.0,766576994169.0,2604062267595.0,861884226306.0,319413201208.0,238274199791.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,1932.0,102.13
셀트리온,2019,3674522702268.0,803855701471.0,2870667000797.0,981870268852.0,363391097232.0,289754684653.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,2369.0,70.94
셀트리온,2020,4781125289232.0,1359837342211.0,3421287947021.0,1689786996813.0,709774140131.0,514270057774.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3855.0,88.04
셀트리온,2021,5315369383748.0,1315561451471.0,3999807932277.0,1615839889808.0,717162652560.0,575982802441.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,4160.0,45.85
셀트리온,2022,5571483129934.0,1401534327356.0,4169948802578.0,1937469297473.0,618890773445.0,511383102268.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,3894.0,41.22
POSCO홀딩스,2017,53692257509875.0,7750802575899.0,45941454933976.0,28553814576380.0,2902452866692.0,2545685288495.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,34464.0,9.65
POSCO홀딩스,2018,54125979686154.0,8853877911368.0,45272101774786.0,30659425433515.0,3809375812684.0,1072591562885.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,20911.0,11.62
POSCO홀딩스,2019,55710766417120.0,10096581285877.0,45614185131243.0,30373510738515.0,2586359351732.0,1175712402299.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,22823.0,10.36
